probe_id	gene	sample_variance	aggregation	selected
202834_at	AGT	0.21431612674769393	mean_probes	True
1438_at	EPHB3	0.045575615211933825	mean_probes	True
204600_at	EPHB3	0.043801871347426025	mean_probes	True
209576_at	GNAI1	0.0900687180600811	mean_probes	True
227692_at	GNAI1	0.10974774804696232	mean_probes	True
206722_s_at	LPAR2	0.008907712491696586	mean_probes	True
206723_s_at	LPAR2	0.018156725183745132	mean_probes	True
232226_at	LRRC4C	0.015389295497779386	mean_probes	True
241585_at	LRRC4C	0.004694406897675568	mean_probes	True
205440_s_at	NPY1R	0.06609583245482138	mean_probes	True
1561365_at	NRP1	0.006948674002940012	mean_probes	True
210510_s_at	NRP1	0.04356797121032296	mean_probes	True
210615_at	NRP1	0.0027309017654402394	mean_probes	True
212298_at	NRP1	0.07126041497144046	mean_probes	True
1558338_at	SEMA6A	0.007931415160579406	mean_probes	True
215028_at	SEMA6A	0.11623213495269487	mean_probes	True
220454_s_at	SEMA6A	0.004428030584838019	mean_probes	True
223449_at	SEMA6A	0.10198317776694109	mean_probes	True
225660_at	SEMA6A	0.11173922599112368	mean_probes	True
202834_at	AGT	0.21431612674769393	max_variance_probe	True
1438_at	EPHB3	0.045575615211933825	max_variance_probe	True
204600_at	EPHB3	0.043801871347426025	max_variance_probe	False
209576_at	GNAI1	0.0900687180600811	max_variance_probe	False
227692_at	GNAI1	0.10974774804696232	max_variance_probe	True
206722_s_at	LPAR2	0.008907712491696586	max_variance_probe	False
206723_s_at	LPAR2	0.018156725183745132	max_variance_probe	True
232226_at	LRRC4C	0.015389295497779386	max_variance_probe	True
241585_at	LRRC4C	0.004694406897675568	max_variance_probe	False
205440_s_at	NPY1R	0.06609583245482138	max_variance_probe	True
1561365_at	NRP1	0.006948674002940012	max_variance_probe	False
210510_s_at	NRP1	0.04356797121032296	max_variance_probe	False
210615_at	NRP1	0.0027309017654402394	max_variance_probe	False
212298_at	NRP1	0.07126041497144046	max_variance_probe	True
1558338_at	SEMA6A	0.007931415160579406	max_variance_probe	False
215028_at	SEMA6A	0.11623213495269487	max_variance_probe	True
220454_s_at	SEMA6A	0.004428030584838019	max_variance_probe	False
223449_at	SEMA6A	0.10198317776694109	max_variance_probe	False
225660_at	SEMA6A	0.11173922599112368	max_variance_probe	False
