category	gene	use	provenance
stress_dissociation	FOS	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	FOSB	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	FOSL1	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	FOSL2	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	JUN	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	JUNB	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	JUND	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	EGR1	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	EGR2	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	EGR3	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	IER2	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	IER3	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	ATF3	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	DUSP1	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	DUSP2	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	DUSP4	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	DUSP5	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	DUSP6	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	HSPA1A	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	HSPA1B	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	HSPA6	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	HSPB1	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	DNAJB1	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	DDIT3	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	GADD45A	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	GADD45B	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	GADD45G	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	NR4A1	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	NR4A2	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	NR4A3	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	ARC	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	RHOB	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	KLF2	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	KLF4	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	ZFP36	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	ZFP36L1	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	BTG2	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	TXNIP	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
stress_dissociation	NFKBIA	automatic_technical_screen	Canonical immediate-early/dissociation-response panel
cell_cycle	MCM5	review_flag	Seurat canonical S-phase marker set
cell_cycle	PCNA	review_flag	Seurat canonical S-phase marker set
cell_cycle	TYMS	review_flag	Seurat canonical S-phase marker set
cell_cycle	FEN1	review_flag	Seurat canonical S-phase marker set
cell_cycle	MCM2	review_flag	Seurat canonical S-phase marker set
cell_cycle	MCM4	review_flag	Seurat canonical S-phase marker set
cell_cycle	RRM1	review_flag	Seurat canonical S-phase marker set
cell_cycle	UNG	review_flag	Seurat canonical S-phase marker set
cell_cycle	GINS2	review_flag	Seurat canonical S-phase marker set
cell_cycle	MCM6	review_flag	Seurat canonical S-phase marker set
cell_cycle	CDCA7	review_flag	Seurat canonical S-phase marker set
cell_cycle	DTL	review_flag	Seurat canonical S-phase marker set
cell_cycle	PRIM1	review_flag	Seurat canonical S-phase marker set
cell_cycle	UHRF1	review_flag	Seurat canonical S-phase marker set
