k	mean_prediction_error	error_drop_from_previous_k_pct	min_discovery_silhouette	median_discovery_silhouette	max_discovery_within_k_program_cosine	cross_seed_pass_fraction	cell_resample_pass_fraction	patient_holdout_pass_fraction	patient_holdout_median_cosine	patient_holdout_median_top50_jaccard	effective_patients_min	effective_patients_median	contributors_ge5pct_min	contributors_ge5pct_median
5	16328137.471467		0.833385	0.852993	-0.001373	1.000000	1.000000	0.800000	0.297136	0.030928	7.237244	7.808201	5	6.000000
6	16157017.348778	1.048008	0.999036	0.999045	0.066630	1.000000	1.000000	0.500000	0.251451	0.020514	6.389034	7.156966	5	6.000000
7	16073467.292361	0.517113	0.757992	0.758760	0.167708	1.000000	1.000000	0.714286	0.174481	0.030928	6.027624	7.169842	5	7.000000
8	15875692.530952	1.230442	0.788850	0.797659	0.148449	1.000000	1.000000	0.750000	0.182856	0.025668	4.994676	6.769948	4	5.000000
9	15743562.679951	0.832278	0.871797	0.882210	0.193048	1.000000	1.000000	0.666667	0.194961	0.030928	4.616184	6.244993	4	6.000000
10	15639383.208635	0.661727	0.808137	0.823416	0.199284	1.000000	0.900000	0.900000	0.223531	0.030928	4.215267	6.050303	3	6.000000
11	15516919.000264	0.783050	0.740682	0.765154	0.192789	1.000000	0.909091	0.727273	0.213881	0.030928	4.155841	6.385331	3	6.000000
12	15408232.451844	0.700439	0.742080	0.758909	0.206116	1.000000	0.916667	0.750000	0.192547	0.030928	4.025365	6.462899	2	6.000000
13	15300476.155838	0.699342	0.720945	0.736068	0.219077	1.000000	1.000000	0.769231	0.201773	0.041667	3.344124	6.083448	2	5.000000
14	15201243.690829	0.648558	0.746657	0.756399	0.218950	1.000000	1.000000	0.714286	0.203955	0.036297	3.130799	6.359862	2	5.000000
15	15120676.081549	0.530007	0.717434	0.738640	0.215948	1.000000	0.933333	0.600000	0.207604	0.030928	3.124376	6.169017	1	5.000000
16	15020545.078768	0.662212	0.721961	0.729043	0.219073	1.000000	0.937500	0.625000	0.197759	0.036297	2.895689	6.220605	2	5.000000
17	14926050.594940	0.629102	0.735554	0.743627	0.541222	0.941176	0.970588	0.705882	0.219408	0.030928	2.821094	6.293516	1	5.000000
18	14844342.494183	0.547419	0.729672	0.734845	0.539748	1.000000	0.944444	0.555556	0.231987	0.036297	2.822959	6.293778	1	5.000000
19	14759641.840995	0.570592	0.751341	0.763924	0.559590	1.000000	0.973684	0.578947	0.233209	0.041667	2.749720	6.210824	1	5.000000
20	14689232.636484	0.477039	0.775420	0.782437	0.562317	1.000000	1.000000	0.550000	0.211345	0.036297	3.096265	6.083626	2	5.000000
