panel_order	cell_type_coarse_crc_atlas	reference_cells	unexpected_support	unexpected_support_fraction	dataset	sample_id	analysis_patient_id
1	B cell	19	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T1	Liu_2024_Cancer_Res.Pt01
1	Mast cell	15	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T1	Liu_2024_Cancer_Res.Pt01
1	Myeloid cell	37	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T1	Liu_2024_Cancer_Res.Pt01
1	NK	3	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T1	Liu_2024_Cancer_Res.Pt01
1	Neutrophil	4	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T1	Liu_2024_Cancer_Res.Pt01
1	Plasma cell	96	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T1	Liu_2024_Cancer_Res.Pt01
1	T cell	126	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T1	Liu_2024_Cancer_Res.Pt01
2	B cell	3	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T2	Liu_2024_Cancer_Res.Pt01
2	Mast cell	4	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T2	Liu_2024_Cancer_Res.Pt01
2	Myeloid cell	88	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T2	Liu_2024_Cancer_Res.Pt01
2	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T2	Liu_2024_Cancer_Res.Pt01
2	Neutrophil	4	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T2	Liu_2024_Cancer_Res.Pt01
2	Plasma cell	82	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T2	Liu_2024_Cancer_Res.Pt01
2	T cell	117	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt01_T2	Liu_2024_Cancer_Res.Pt01
3	B cell	9	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T1	Liu_2024_Cancer_Res.Pt02
3	Mast cell	36	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T1	Liu_2024_Cancer_Res.Pt02
3	Myeloid cell	38	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T1	Liu_2024_Cancer_Res.Pt02
3	Neutrophil	41	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T1	Liu_2024_Cancer_Res.Pt02
3	Plasma cell	109	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T1	Liu_2024_Cancer_Res.Pt02
3	T cell	67	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T1	Liu_2024_Cancer_Res.Pt02
4	B cell	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T2	Liu_2024_Cancer_Res.Pt02
4	Mast cell	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T2	Liu_2024_Cancer_Res.Pt02
4	Myeloid cell	65	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T2	Liu_2024_Cancer_Res.Pt02
4	NK	6	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T2	Liu_2024_Cancer_Res.Pt02
4	Neutrophil	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T2	Liu_2024_Cancer_Res.Pt02
4	T cell	223	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt02_T2	Liu_2024_Cancer_Res.Pt02
5	B cell	17	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T1	Liu_2024_Cancer_Res.Pt03
5	Mast cell	11	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T1	Liu_2024_Cancer_Res.Pt03
5	Myeloid cell	78	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T1	Liu_2024_Cancer_Res.Pt03
5	NK	5	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T1	Liu_2024_Cancer_Res.Pt03
5	Plasma cell	56	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T1	Liu_2024_Cancer_Res.Pt03
5	T cell	133	2	0.015037593984962405	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T1	Liu_2024_Cancer_Res.Pt03
6	Mast cell	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T2	Liu_2024_Cancer_Res.Pt03
6	Myeloid cell	174	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T2	Liu_2024_Cancer_Res.Pt03
6	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T2	Liu_2024_Cancer_Res.Pt03
6	Plasma cell	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T2	Liu_2024_Cancer_Res.Pt03
6	T cell	121	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T2	Liu_2024_Cancer_Res.Pt03
7	B cell	26	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T1	Liu_2024_Cancer_Res.Pt04
