k	program	unit	units_total	normalized_shannon_entropy	effective_unit_number	contributors_ge_5pct	calculation
5	1	analysis_patient_id	11	0.7936883626248491	6.707199976851629	6	mean cell usage within unit, then normalize contributions across units
5	1	dataset	11	0.7936883626248491	6.707199976851629	6	mean cell usage within unit, then normalize contributions across units
5	2	analysis_patient_id	11	0.5786147759885166	4.004655807444212	3	mean cell usage within unit, then normalize contributions across units
5	2	dataset	11	0.5786147759885167	4.0046558074442125	3	mean cell usage within unit, then normalize contributions across units
5	3	analysis_patient_id	11	0.6146274114345636	4.365846783522188	4	mean cell usage within unit, then normalize contributions across units
5	3	dataset	11	0.6146274114345635	4.365846783522187	4	mean cell usage within unit, then normalize contributions across units
5	4	analysis_patient_id	11	0.622923861787631	4.45357072037827	3	mean cell usage within unit, then normalize contributions across units
5	4	dataset	11	0.622923861787631	4.45357072037827	3	mean cell usage within unit, then normalize contributions across units
5	5	analysis_patient_id	11	0.8048655743291906	6.8893955729905	4	mean cell usage within unit, then normalize contributions across units
5	5	dataset	11	0.8048655743291906	6.8893955729905	4	mean cell usage within unit, then normalize contributions across units
6	1	analysis_patient_id	11	0.7810013019538743	6.5062244735812405	6	mean cell usage within unit, then normalize contributions across units
6	1	dataset	11	0.7810013019538743	6.506224473581241	6	mean cell usage within unit, then normalize contributions across units
6	2	analysis_patient_id	11	0.5774299151513987	3.9932940387062064	3	mean cell usage within unit, then normalize contributions across units
6	2	dataset	11	0.5774299151513987	3.9932940387062064	3	mean cell usage within unit, then normalize contributions across units
6	3	analysis_patient_id	11	0.6185969295386696	4.407601452202526	3	mean cell usage within unit, then normalize contributions across units
6	3	dataset	11	0.6185969295386695	4.407601452202525	3	mean cell usage within unit, then normalize contributions across units
6	4	analysis_patient_id	11	0.5103799102607747	3.4002112911447533	3	mean cell usage within unit, then normalize contributions across units
6	4	dataset	11	0.5103799102607747	3.4002112911447533	3	mean cell usage within unit, then normalize contributions across units
6	5	analysis_patient_id	11	0.38931910885849674	2.543513647087125	1	mean cell usage within unit, then normalize contributions across units
6	5	dataset	11	0.38931910885849663	2.5435136470871247	1	mean cell usage within unit, then normalize contributions across units
6	6	analysis_patient_id	11	0.7832290648189171	6.541073345092231	3	mean cell usage within unit, then normalize contributions across units
6	6	dataset	11	0.7832290648189172	6.541073345092233	3	mean cell usage within unit, then normalize contributions across units
7	1	analysis_patient_id	11	0.7453330323194568	5.972887954195774	5	mean cell usage within unit, then normalize contributions across units
7	1	dataset	11	0.7453330323194567	5.972887954195773	5	mean cell usage within unit, then normalize contributions across units
7	2	analysis_patient_id	11	0.5703704445575618	3.926265001749978	3	mean cell usage within unit, then normalize contributions across units
7	2	dataset	11	0.5703704445575617	3.926265001749977	3	mean cell usage within unit, then normalize contributions across units
7	3	analysis_patient_id	11	0.49940457086168116	3.311892769642187	3	mean cell usage within unit, then normalize contributions across units
7	3	dataset	11	0.49940457086168116	3.311892769642187	3	mean cell usage within unit, then normalize contributions across units
7	4	analysis_patient_id	11	0.5614934623321945	3.8435734470138456	3	mean cell usage within unit, then normalize contributions across units
7	4	dataset	11	0.5614934623321945	3.8435734470138456	3	mean cell usage within unit, then normalize contributions across units
7	5	analysis_patient_id	11	0.40346572558751753	2.631275096124177	2	mean cell usage within unit, then normalize contributions across units
7	5	dataset	11	0.40346572558751753	2.631275096124177	2	mean cell usage within unit, then normalize contributions across units
7	6	analysis_patient_id	11	0.37696408498639133	2.4692646589869667	1	mean cell usage within unit, then normalize contributions across units
7	6	dataset	11	0.37696408498639133	2.4692646589869667	1	mean cell usage within unit, then normalize contributions across units
7	7	analysis_patient_id	11	0.7737508425771001	6.394085917405733	3	mean cell usage within unit, then normalize contributions across units
7	7	dataset	11	0.7737508425771001	6.394085917405733	3	mean cell usage within unit, then normalize contributions across units
8	1	analysis_patient_id	11	0.715347237338452	5.558497060286418	5	mean cell usage within unit, then normalize contributions across units
8	1	dataset	11	0.7153472373384517	5.558497060286415	5	mean cell usage within unit, then normalize contributions across units
8	2	analysis_patient_id	11	0.5695539960056685	3.91858584396898	3	mean cell usage within unit, then normalize contributions across units
8	2	dataset	11	0.5695539960056685	3.91858584396898	3	mean cell usage within unit, then normalize contributions across units
8	3	analysis_patient_id	11	0.4564261903848824	2.9875755460100173	2	mean cell usage within unit, then normalize contributions across units
8	3	dataset	11	0.4564261903848824	2.9875755460100173	2	mean cell usage within unit, then normalize contributions across units
8	4	analysis_patient_id	11	0.5895292435021694	4.110848217506346	3	mean cell usage within unit, then normalize contributions across units
8	4	dataset	11	0.5895292435021692	4.110848217506344	3	mean cell usage within unit, then normalize contributions across units
