comparison_type	left_run	left_k	right_run	right_k	permutations	cosine_null_q99	jaccard_null_q99
same_k_cross_seed	seed_20260810	5	seed_20260811	5	100	0.09739737599448432	0.010101010101010102
same_k_cross_seed	seed_20260810	6	seed_20260811	6	100	0.09495779069445441	0.010101010101010102
same_k_cross_seed	seed_20260810	7	seed_20260811	7	100	0.09147637895717473	0.02040816326530612
same_k_cross_seed	seed_20260810	8	seed_20260811	8	100	0.10039250291461595	0.010101010101010102
same_k_cross_seed	seed_20260810	9	seed_20260811	9	100	0.10345038686933947	0.010101010101010102
same_k_cross_seed	seed_20260810	10	seed_20260811	10	100	0.09640517469960441	0.010101010101010102
same_k_cross_input	seed_20260810	5	holdout_A	5	100	0.10222990699561163	0.010101010101010102
same_k_cross_input	seed_20260810	6	holdout_A	6	100	0.10203112555539187	0.010101010101010102
same_k_cross_input	seed_20260810	7	holdout_A	7	100	0.09321987300703814	0.010101010101010102
same_k_cross_input	seed_20260810	8	holdout_A	8	100	0.09807815543237203	0.010101010101010102
same_k_cross_input	seed_20260810	9	holdout_A	9	100	0.10074885685098939	0.010101010101010102
same_k_cross_input	seed_20260810	10	holdout_A	10	100	0.08999336487686825	0.010101010101010102
same_k_cross_input	seed_20260810	5	holdout_B	5	100	0.04478682998613235	0.010204081632652968
same_k_cross_input	seed_20260810	6	holdout_B	6	100	0.0437269305109968	0.010101010101010102
same_k_cross_input	seed_20260810	7	holdout_B	7	100	0.04217086427286868	0.010101010101010102
same_k_cross_input	seed_20260810	8	holdout_B	8	100	0.05045731817508439	0.02040816326530612
same_k_cross_input	seed_20260810	9	holdout_B	9	100	0.049180576744735506	0.010204081632652968
same_k_cross_input	seed_20260810	10	holdout_B	10	100	0.04785205008147183	0.02040816326530612
same_k_cross_input	seed_20260811	5	holdout_A	5	100	0.10204425238252855	0.010101010101010102
same_k_cross_input	seed_20260811	6	holdout_A	6	100	0.10172513842096556	0.010101010101010102
same_k_cross_input	seed_20260811	7	holdout_A	7	100	0.09362065079197163	0.010101010101010102
same_k_cross_input	seed_20260811	8	holdout_A	8	100	0.10161258612825184	0.010101010101010102
same_k_cross_input	seed_20260811	9	holdout_A	9	100	0.1014087703700577	0.010101010101010102
same_k_cross_input	seed_20260811	10	holdout_A	10	100	0.10387473153544108	0.010101010101010102
same_k_cross_input	seed_20260811	5	holdout_B	5	100	0.0476727245435266	0.010101010101010102
same_k_cross_input	seed_20260811	6	holdout_B	6	100	0.04150443863571991	0.010204081632652968
same_k_cross_input	seed_20260811	7	holdout_B	7	100	0.04323587202561735	0.010101010101010102
same_k_cross_input	seed_20260811	8	holdout_B	8	100	0.0515357610570018	0.010204081632652968
same_k_cross_input	seed_20260811	9	holdout_B	9	100	0.05001880492896213	0.010101010101010102
same_k_cross_input	seed_20260811	10	holdout_B	10	100	0.0524080350399678	0.010101010101010102
same_k_independent_patient_dataset_holdout	holdout_A	5	holdout_B	5	100	0.052454551209150824	0.010101010101010102
same_k_independent_patient_dataset_holdout	holdout_A	6	holdout_B	6	100	0.046177404697914766	0.010204081632652968
same_k_independent_patient_dataset_holdout	holdout_A	7	holdout_B	7	100	0.045107005982574035	0.010101010101010102
same_k_independent_patient_dataset_holdout	holdout_A	8	holdout_B	8	100	0.051556555031743785	0.010101010101010102
same_k_independent_patient_dataset_holdout	holdout_A	9	holdout_B	9	100	0.051592083858607425	0.010101010101010102
same_k_independent_patient_dataset_holdout	holdout_A	10	holdout_B	10	100	0.05147251989483338	0.010101010101010102
adjacent_k_same_seed	seed_20260810	5	seed_20260810	6	100	0.0969106030793846	0.010101010101010102
adjacent_k_same_seed	seed_20260810	6	seed_20260810	7	100	0.09031945265868525	0.010101010101010102
adjacent_k_same_seed	seed_20260810	7	seed_20260810	8	100	0.09383487512600772	0.010101010101010102
adjacent_k_same_seed	seed_20260810	8	seed_20260810	9	100	0.09988321047488384	0.010101010101010102
adjacent_k_same_seed	seed_20260810	9	seed_20260810	10	100	0.09403529796306803	0.02040816326530612
adjacent_k_same_seed	seed_20260811	5	seed_20260811	6	100	0.09415866802010353	0.010101010101010102
adjacent_k_same_seed	seed_20260811	6	seed_20260811	7	100	0.09121501921722978	0.010101010101010102
adjacent_k_same_seed	seed_20260811	7	seed_20260811	8	100	0.09867917568916323	0.010101010101010102
adjacent_k_same_seed	seed_20260811	8	seed_20260811	9	100	0.10618614797014787	0.010101010101010102
adjacent_k_same_seed	seed_20260811	9	seed_20260811	10	100	0.10910069963337558	0.010204081632652968
adjacent_k_same_seed	holdout_A	5	holdout_A	6	100	0.11739364787055731	0.010101010101010102
adjacent_k_same_seed	holdout_A	6	holdout_A	7	100	0.10418558630288824	0.010101010101010102
adjacent_k_same_seed	holdout_A	7	holdout_A	8	100	0.09649799167726832	0.010101010101010102
adjacent_k_same_seed	holdout_A	8	holdout_A	9	100	0.09827681148578776	0.010101010101010102
adjacent_k_same_seed	holdout_A	9	holdout_A	10	100	0.09776619116180983	0.010101010101010102
adjacent_k_same_seed	holdout_B	5	holdout_B	6	100	0.026023935615051803	0.010101010101010102
adjacent_k_same_seed	holdout_B	6	holdout_B	7	100	0.024598593368584696	0.010101010101010102
adjacent_k_same_seed	holdout_B	7	holdout_B	8	100	0.028659223959516828	0.010101010101010102
adjacent_k_same_seed	holdout_B	8	holdout_B	9	100	0.031475825919322575	0.010101010101010102
adjacent_k_same_seed	holdout_B	9	holdout_B	10	100	0.03157298782757664	0.010101010101010102
