provisional_program_family	member	run	k	program	direct_independent_holdout_match	members	runs	k_values	contains_holdout_A	contains_holdout_B	pooled_seed_members	replicates_across_independent_holdouts	contains_both_holdouts
PF002	seed_20260810|K10|P1	seed_20260810	10	1	True	89	4	6	True	True	39	True	True
PF005	seed_20260810|K10|P2	seed_20260810	10	2	True	53	4	6	True	True	29	True	True
PF004	seed_20260810|K10|P3	seed_20260810	10	3	True	33	4	6	True	True	21	True	True
PF005	seed_20260810|K10|P4	seed_20260810	10	4	True	53	4	6	True	True	29	True	True
PF002	seed_20260810|K10|P5	seed_20260810	10	5	True	89	4	6	True	True	39	True	True
PF002	seed_20260810|K10|P6	seed_20260810	10	6	True	89	4	6	True	True	39	True	True
PF004	seed_20260810|K10|P7	seed_20260810	10	7	True	33	4	6	True	True	21	True	True
PF002	seed_20260810|K10|P8	seed_20260810	10	8	True	89	4	6	True	True	39	True	True
PF005	seed_20260810|K10|P9	seed_20260810	10	9	True	53	4	6	True	True	29	True	True
PF002	seed_20260810|K10|P10	seed_20260810	10	10	True	89	4	6	True	True	39	True	True
PF002	seed_20260810|K5|P1	seed_20260810	5	1	True	89	4	6	True	True	39	True	True
PF005	seed_20260810|K5|P2	seed_20260810	5	2	True	53	4	6	True	True	29	True	True
PF004	seed_20260810|K5|P3	seed_20260810	5	3	True	33	4	6	True	True	21	True	True
PF002	seed_20260810|K5|P4	seed_20260810	5	4	True	89	4	6	True	True	39	True	True
PF005	seed_20260810|K5|P5	seed_20260810	5	5	True	53	4	6	True	True	29	True	True
PF002	seed_20260810|K6|P1	seed_20260810	6	1	True	89	4	6	True	True	39	True	True
PF004	seed_20260810|K6|P2	seed_20260810	6	2	True	33	4	6	True	True	21	True	True
PF002	seed_20260810|K6|P3	seed_20260810	6	3	True	89	4	6	True	True	39	True	True
PF005	seed_20260810|K6|P4	seed_20260810	6	4	True	53	4	6	True	True	29	True	True
PF005	seed_20260810|K6|P5	seed_20260810	6	5	True	53	4	6	True	True	29	True	True
PF006	seed_20260810|K6|P6	seed_20260810	6	6	False	1	1	1	False	False	1	False	False
PF002	seed_20260810|K7|P1	seed_20260810	7	1	True	89	4	6	True	True	39	True	True
PF005	seed_20260810|K7|P2	seed_20260810	7	2	True	53	4	6	True	True	29	True	True
PF004	seed_20260810|K7|P3	seed_20260810	7	3	True	33	4	6	True	True	21	True	True
PF002	seed_20260810|K7|P4	seed_20260810	7	4	True	89	4	6	True	True	39	True	True
PF002	seed_20260810|K7|P5	seed_20260810	7	5	True	89	4	6	True	True	39	True	True
PF004	seed_20260810|K7|P6	seed_20260810	7	6	True	33	4	6	True	True	21	True	True
PF005	seed_20260810|K7|P7	seed_20260810	7	7	True	53	4	6	True	True	29	True	True
PF002	seed_20260810|K8|P1	seed_20260810	8	1	True	89	4	6	True	True	39	True	True
PF004	seed_20260810|K8|P2	seed_20260810	8	2	True	33	4	6	True	True	21	True	True
PF005	seed_20260810|K8|P3	seed_20260810	8	3	True	53	4	6	True	True	29	True	True
PF002	seed_20260810|K8|P4	seed_20260810	8	4	True	89	4	6	True	True	39	True	True
PF002	seed_20260810|K8|P5	seed_20260810	8	5	True	89	4	6	True	True	39	True	True
PF005	seed_20260810|K8|P6	seed_20260810	8	6	True	53	4	6	True	True	29	True	True
PF004	seed_20260810|K8|P7	seed_20260810	8	7	True	33	4	6	True	True	21	True	True
PF005	seed_20260810|K8|P8	seed_20260810	8	8	True	53	4	6	True	True	29	True	True
PF002	seed_20260810|K9|P1	seed_20260810	9	1	True	89	4	6	True	True	39	True	True
PF005	seed_20260810|K9|P2	seed_20260810	9	2	True	53	4	6	True	True	29	True	True
PF004	seed_20260810|K9|P3	seed_20260810	9	3	True	33	4	6	True	True	21	True	True
PF002	seed_20260810|K9|P4	seed_20260810	9	4	True	89	4	6	True	True	39	True	True
PF005	seed_20260810|K9|P5	seed_20260810	9	5	True	53	4	6	True	True	29	True	True
PF002	seed_20260810|K9|P6	seed_20260810	9	6	True	89	4	6	True	True	39	True	True
PF004	seed_20260810|K9|P7	seed_20260810	9	7	True	33	4	6	True	True	21	True	True
PF005	seed_20260810|K9|P8	seed_20260810	9	8	True	53	4	6	True	True	29	True	True
PF002	seed_20260810|K9|P9	seed_20260810	9	9	True	89	4	6	True	True	39	True	True
PF002	seed_20260811|K10|P1	seed_20260811	10	1	True	89	4	6	True	True	39	True	True
PF004	seed_20260811|K10|P2	seed_20260811	10	2	True	33	4	6	True	True	21	True	True
PF005	seed_20260811|K10|P3	seed_20260811	10	3	True	53	4	6	True	True	29	True	True
PF002	seed_20260811|K10|P4	seed_20260811	10	4	True	89	4	6	True	True	39	True	True
PF002	seed_20260811|K10|P5	seed_20260811	10	5	True	89	4	6	True	True	39	True	True
PF005	seed_20260811|K10|P6	seed_20260811	10	6	True	53	4	6	True	True	29	True	True
PF004	seed_20260811|K10|P7	seed_20260811	10	7	True	33	4	6	True	True	21	True	True
PF002	seed_20260811|K10|P8	seed_20260811	10	8	True	89	4	6	True	True	39	True	True
PF005	seed_20260811|K10|P9	seed_20260811	10	9	True	53	4	6	True	True	29	True	True
PF002	seed_20260811|K10|P10	seed_20260811	10	10	True	89	4	6	True	True	39	True	True
