marker_group	gene	target_cells	target_patients	target_datasets	target_mean_expression	background_mean_expression	target_detection_fraction	background_detection_fraction	log2_mean_ratio	multi_patient	multi_dataset
B cell memory	CD27	2603	317	49	0.7823363542556763	0.11026894301176071	0.8828275067230119	0.1309788696733009	2.815580945692292	True	True
B cell memory	TNFRSF13B	2603	317	49	0.4453413784503937	0.02369537763297558	0.5074913561275451	0.039928184510565165	4.175834623859075	True	True
B cell naive	CD69	2729	335	55	1.2007732391357422	0.3718392848968506	0.6907292048369366	0.2715194150897026	1.6885389163458977	True	True
B cell naive	CD72	2729	335	55	0.45855647325515747	0.027228767052292824	0.44155368266764383	0.05221645367412141	4.025004137361176	True	True
B cell naive	FCER2	2729	335	55	0.7401306629180908	0.014367369003593922	0.6592158299743496	0.01995269107888916	5.591785822932785	True	True
B cell naive	FOS	2729	335	55	1.1943145990371704	1.20430588722229	0.630633931843166	0.6526634308183829	-0.012008949543151185	True	True
B cell naive	IER2	2729	335	55	0.5296353101730347	0.6586741209030151	0.43825577134481497	0.5836277340869993	-0.3140328286105816	True	True
B cell naive	IL4R	2729	335	55	0.35493311285972595	0.10809455066919327	0.34701355807988277	0.20001843204718603	1.7060271145642754	True	True
B cell naive	JUNB	2729	335	55	1.3872712850570679	1.0479353666305542	0.725174056430927	0.6918161710493979	0.40436373100998013	True	True
Cancer cell	ELF3	15219	464	48	1.0448827743530273	0.1927705705165863	0.8207503778172022	0.17023734687983147	2.4322997802117516	True	True
Cancer cell	EPCAM	15219	464	48	1.1600404977798462	0.19331447780132294	0.8084631053288652	0.17006744932805518	2.5789529941252485	True	True
Cancer cell	KRT18	15219	464	48	1.608942985534668	0.2845025062561035	0.8843550824627111	0.24139044156373707	2.4954342823771047	True	True
Cancer cell	KRT19	15219	464	48	1.2134333848953247	0.18330180644989014	0.8159537420329851	0.16536978202144106	2.7201412393930777	True	True
Cancer cell	KRT8	15219	464	48	1.606453537940979	0.3164953589439392	0.8898744989815363	0.24479688747685147	2.3399696300497803	True	True
Colonocyte	ANPEP	3156	329	49	0.3851666748523712	0.054459456354379654	0.36280101394169834	0.08904230973717261	2.7997182895208703	True	True
Colonocyte	CEACAM7	3156	329	49	0.4647679328918457	0.03615215793251991	0.3127376425855513	0.038965642120187084	3.648093401267365	True	True
Colonocyte	FABP1	3156	329	49	2.3407862186431885	0.25927820801734924	0.8488593155893536	0.1906904708701582	3.169482947191936	True	True
Colonocyte	SI	3156	329	49	0.0384996272623539	0.008022267371416092	0.10107731305449937	0.02061164577249366	2.130277093868756	True	True
Colonocyte BEST4	BEST4	2553	296	45	2.093409299850464	0.013363853096961975	0.9130434782608695	0.014633697386182355	7.187956794858906	True	True
Colonocyte BEST4	OTOP2	2553	296	45	1.276397943496704	0.006238817702978849	0.7669408538973757	0.007324518345809302	7.4632382327008315	True	True
Colonocyte BEST4	SPIB	2553	296	45	1.0536551475524902	0.06656458228826523	0.8605562083822953	0.08120628297950669	3.9643603553218107	True	True
Crypt cell	ASCL2	2610	302	44	0.23599177598953247	0.04049625247716904	0.3283524904214559	0.07412124885864019	2.5137840382689376	True	True
Crypt cell	LGR5	2610	302	44	0.28819921612739563	0.009232345037162304	0.41954022988505746	0.0219908384294889	4.820854918586178	True	True
Crypt cell	SMOC2	2610	302	44	0.42729315161705017	0.019588004797697067	0.5122605363984675	0.03344663807192677	4.378722679836166	True	True
DC mature	CCL22	1740	275	48	1.329257845878601	0.008013253100216389	0.6913793103448276	0.012477419453188716	7.205442293812399	True	True
DC mature	CCR7	1740	275	48	1.5165802240371704	0.07141498476266861	0.8442528735632184	0.08014664969473387	4.389340709955493	True	True
DC mature	LAMP3	1740	275	48	1.3576374053955078	0.013776113279163837	0.889080459770115	0.027119522550058308	6.522749837542473	True	True
Dividing	CDK1	6572	430	62	0.27982860803604126	0.02035958506166935	0.42711503347534996	0.0419103390970601	3.7167343844632814	True	True
Dividing	MKI67	6572	430	62	0.7868624329566956	0.03876771777868271	0.9738283627510651	0.06148854508764294	4.30827407054517	True	True
Endothelial arterial	GJA4	2878	338	54	0.2886008620262146	0.01023907121270895	0.3255733148019458	0.013194011948423408	4.687471174249344	True	True
Endothelial arterial	GJA5	2878	338	54	0.17745131254196167	0.0012051244266331196	0.19457956914523974	0.0031447266240706142	6.338526638711319	True	True
Endothelial arterial	HEY1	2878	338	54	0.29518914222717285	0.009134646505117416	0.41660875608061154	0.02019083646652673	4.869151081116255	True	True
Endothelial arterial	SEMA3G	2878	338	54	0.20150920748710632	0.0016977631021291018	0.24565670604586518	0.004782444890395897	6.230080027388949	True	True
Endothelial lymphatic	PROX1	2093	290	51	0.32953646779060364	0.024984173476696014	0.3411371237458194	0.053147259331723276	3.6691043771925007	True	True
Endothelial venous	ACKR1	2702	355	59	1.6240843534469604	0.007045113947242498	0.7905255366395263	0.0072868276576957035	7.6581860361367555	True	True
Endothelial venous	APLNR	2702	355	59	0.538551926612854	0.013488905504345894	0.5384900074019245	0.01767574000844627	5.218741289159356	True	True
Endothelial venous	NR2F2	2702	355	59	0.4685065448284149	0.06725610047578812	0.5540340488527017	0.1211809421430491	2.782115369291097	True	True
Endothelial venous	PLA1A	2702	355	59	0.16952434182167053	0.005035122856497765	0.2616580310880829	0.013229930510231504	4.820450743870131	True	True
Enteroendocrine	CHGA	1654	301	52	2.162809371948242	0.005224533379077911	0.6862152357920194	0.0071144017123313755	8.441392000477588	True	True
Enteroendocrine	CPE	1654	301	52	0.7916661500930786	0.040520135313272476	0.6741233373639661	0.052794345040865914	4.25483031852861	True	True
Enteroendocrine	FEV	1654	301	52	0.7172994613647461	0.0010316538391634822	0.6003627569528416	0.002856424670368593	8.465787012223295	True	True
Enteroendocrine	NEUROD1	1654	301	52	0.5109409689903259	0.001038659829646349	0.47944377267230953	0.00473023925413039	7.9722125873283805	True	True
Enteroendocrine	PCSK1N	1654	301	52	1.5810093879699707	0.01838475465774536	0.7666263603385731	0.025288879748329943	6.350691875059441	True	True
Enteroendocrine	SCG5	1654	301	52	0.6655864119529724	0.007252230308949947	0.5574365175332527	0.01894380841388451	6.335864013353156	True	True
Enteroendocrine	SCGN	1654	301	52	1.0441350936889648	0.002016250276938081	0.7327690447400241	0.003343921147444833	8.436717578226716	True	True
Eosinophil	CCR3	120	12	1	0.19867976009845734	0.0013640552060678601	0.175	0.0035914077264205635	6.400280569668869	True	False
Eosinophil	CLC	120	12	1	0.44364088773727417	0.002674100687727332	0.275	0.002243688684430457	6.919105646152303	True	False
Fibroblast S1	ADAMDEC1	2129	298	53	2.5591676235198975	0.048351503908634186	0.8914983560356975	0.04241330805455324	5.6970004124134555	True	True
Fibroblast S1	APOE	2129	298	53	1.8682643175125122	0.1361771821975708	0.8121183654297792	0.09508592746621002	3.768358152000394	True	True
Fibroblast S1	FABP5	2129	298	53	0.796741247177124	0.2889360189437866	0.6049788633161108	0.3050501498379304	1.4601863028367055	True	True
