provisional_program_family	member	run	k	program	members	runs	k_values
PF001	seed_20260810|K5|P1	seed_20260810	5	1	6	2	3
PF002	seed_20260810|K5|P2	seed_20260810	5	2	6	2	3
PF003	seed_20260810|K5|P3	seed_20260810	5	3	6	2	3
PF004	seed_20260810|K5|P4	seed_20260810	5	4	6	2	3
PF005	seed_20260810|K5|P5	seed_20260810	5	5	6	2	3
PF001	seed_20260810|K6|P1	seed_20260810	6	1	6	2	3
PF006	seed_20260810|K6|P2	seed_20260810	6	2	4	2	2
PF002	seed_20260810|K6|P3	seed_20260810	6	3	6	2	3
PF003	seed_20260810|K6|P4	seed_20260810	6	4	6	2	3
PF004	seed_20260810|K6|P5	seed_20260810	6	5	6	2	3
PF005	seed_20260810|K6|P6	seed_20260810	6	6	6	2	3
PF007	seed_20260810|K7|P1	seed_20260810	7	1	2	2	1
PF001	seed_20260810|K7|P2	seed_20260810	7	2	6	2	3
PF002	seed_20260810|K7|P3	seed_20260810	7	3	6	2	3
PF006	seed_20260810|K7|P4	seed_20260810	7	4	4	2	2
PF003	seed_20260810|K7|P5	seed_20260810	7	5	6	2	3
PF004	seed_20260810|K7|P6	seed_20260810	7	6	6	2	3
PF005	seed_20260810|K7|P7	seed_20260810	7	7	6	2	3
PF001	seed_20260811|K5|P1	seed_20260811	5	1	6	2	3
PF002	seed_20260811|K5|P2	seed_20260811	5	2	6	2	3
PF003	seed_20260811|K5|P3	seed_20260811	5	3	6	2	3
PF004	seed_20260811|K5|P4	seed_20260811	5	4	6	2	3
PF005	seed_20260811|K5|P5	seed_20260811	5	5	6	2	3
PF001	seed_20260811|K6|P1	seed_20260811	6	1	6	2	3
PF005	seed_20260811|K6|P2	seed_20260811	6	2	6	2	3
PF003	seed_20260811|K6|P3	seed_20260811	6	3	6	2	3
PF006	seed_20260811|K6|P4	seed_20260811	6	4	4	2	2
PF004	seed_20260811|K6|P5	seed_20260811	6	5	6	2	3
PF002	seed_20260811|K6|P6	seed_20260811	6	6	6	2	3
PF007	seed_20260811|K7|P1	seed_20260811	7	1	2	2	1
PF001	seed_20260811|K7|P2	seed_20260811	7	2	6	2	3
PF002	seed_20260811|K7|P3	seed_20260811	7	3	6	2	3
PF006	seed_20260811|K7|P4	seed_20260811	7	4	4	2	2
PF003	seed_20260811|K7|P5	seed_20260811	7	5	6	2	3
PF004	seed_20260811|K7|P6	seed_20260811	7	6	6	2	3
PF005	seed_20260811|K7|P7	seed_20260811	7	7	6	2	3
