k	rank	program	gene
5	1	1	UBE2S
5	2	1	RPS2
5	3	1	RPL13A
5	4	1	TXN
5	5	1	MZT2B
5	6	1	DDT
5	7	1	LDHB
5	8	1	HLA-DPB1
5	9	1	HLA-DRA
5	10	1	SLC25A5
5	11	1	NPM1
5	12	1	PHB1
5	13	1	PSMA7
5	14	1	TMSB4X
5	15	1	CHCHD10
5	16	1	PSME2
5	17	1	H2AZ1
5	18	1	NDUFA4
5	19	1	RPS17
5	20	1	UBB
5	21	1	IER3
5	22	1	HLA-DRB1
5	23	1	SRSF9
5	24	1	PRDX2
5	25	1	HSPD1
5	26	1	CIAO2B
5	27	1	PRDX4
5	28	1	CD74
5	29	1	RAB5IF
5	30	1	COX4I1
5	31	1	HLA-DPA1
5	32	1	RPN2
5	33	1	RPL21
5	34	1	RPL27
5	35	1	TSPO
5	36	1	CXCL1
5	37	1	RPL3
5	38	1	SNRPE
5	39	1	HNRNPA1
5	40	1	PSMB9
5	41	1	RPL22L1
5	42	1	EPCAM
5	43	1	RPL7
5	44	1	RPL27A
5	45	1	RPSA
5	46	1	TUBA1B
5	47	1	PPA1
5	48	1	C1QBP
5	49	1	TUBA1C
5	50	1	HLA-DMA
5	51	1	SLIRP
5	52	1	CKS2
5	53	1	NR4A1
5	54	1	NDUFAB1
5	55	1	KLF6
5	56	1	MAZ
5	57	1	H3-3A
5	58	1	COX7A2
5	59	1	HSPE1
5	60	1	UQCRQ
5	61	1	RHOB
5	62	1	NAP1L1
5	63	1	BSG
5	64	1	NME1
5	65	1	COPS9
5	66	1	ATP5PF
5	67	1	RPL15
5	68	1	PARK7
5	69	1	SSR4
5	70	1	ZNF593
5	71	1	RPS20
5	72	1	GUK1
5	73	1	PRELID1
5	74	1	EIF3L
5	75	1	NHP2
5	76	1	HLA-DQB1
5	77	1	COX5B
5	78	1	RPS27L
5	79	1	RPS26
5	80	1	UQCRH
5	81	1	RPS10
5	82	1	RAN
5	83	1	PSMD7
5	84	1	HSPA8
5	85	1	SLC25A3
5	86	1	JTB
5	87	1	CHCHD2
5	88	1	CKLF
5	89	1	EIF1AX
5	90	1	UQCR11
5	91	1	COX7C
5	92	1	SPCS1
5	93	1	PCBP1
5	94	1	MZT2A
5	95	1	POLR2F
5	96	1	RPS14
5	97	1	RAC1
5	98	1	PSME1
5	99	1	CXCL3
5	100	1	STOML2
5	1	2	SCHLAP1
5	2	2	ENSG00000257283
5	3	2	PCNP
5	4	2	STEAP1B
5	5	2	RBFOX2
5	6	2	CSF1R
5	7	2	ZNF730
5	8	2	ENSG00000267924
5	9	2	MT-TC
5	10	2	ABI3BP
5	11	2	THSD4
5	12	2	SLC35F1
5	13	2	ENSG00000258077
5	14	2	ARMC9
5	15	2	CHCHD3
5	16	2	PCDH15
5	17	2	MT-TS1
5	18	2	ICA1L
5	19	2	ENSG00000267881
5	20	2	PLEKHA7
5	21	2	ZNF141
5	22	2	EPB42
5	23	2	PDE1C
5	24	2	METTL8
5	25	2	ENSG00000280571
5	26	2	ADAMTS9-AS2
5	27	2	ARSF
5	28	2	CCSER1
5	29	2	CTNNA3
5	30	2	MAN2B2
5	31	2	ASTN2
5	32	2	ENSG00000258472
5	33	2	IL6ST
5	34	2	MT-RNR2
5	35	2	MICOS10
5	36	2	PCYT1B
5	37	2	PTPRN2
5	38	2	RELCH
5	39	2	IGSF1
5	40	2	DHFR
5	41	2	SNHG31
5	42	2	TTC7B
5	43	2	ANKRD31
5	44	2	PLPP3
5	45	2	ATG10
5	46	2	LANCL1-AS1
5	47	2	SH3GL2
5	48	2	SLC35F2
5	49	2	ENSG00000265542
5	50	2	GACAT3
5	51	2	SPIC
5	52	2	LINC02958
5	53	2	CACNG7
5	54	2	DNAI2
5	55	2	PPP1R9A-AS1
5	56	2	GLIS1
5	57	2	CLEC2L
5	58	2	AKR1B15
5	59	2	TMPRSS11F
5	60	2	ENSG00000260473
5	61	2	CYP26B1
5	62	2	KIAA1755
5	63	2	TPBGL
5	64	2	APOC4
5	65	2	ENSG00000236299
5	66	2	USP29
5	67	2	SCGB1D1
5	68	2	DCAF12L2
5	69	2	DIRAS1
5	70	2	ENSG00000253374
5	71	2	BLACE
5	72	2	LINC02435
5	73	2	ENSG00000229839
5	74	2	MIR4300HG
5	75	2	COX7B2
5	76	2	METTL15
5	77	2	SLC5A7
5	78	2	OPN1SW
5	79	2	PRR20C
5	80	2	ENSG00000251555
5	81	2	LYZL4
5	82	2	FAM163A
5	83	2	ENSG00000234699
5	84	2	SCGB3A2
5	85	2	DBX2
5	86	2	ENSG00000273891
5	87	2	GARIN1B
5	88	2	ENSG00000228560
5	89	2	MIR1343
5	90	2	LINC01477
5	91	2	LINC02974
5	92	2	ENSG00000226782
5	93	2	DOCK8-AS2
5	94	2	UMOD
5	95	2	ENSG00000267261
5	96	2	ENSG00000225498
5	97	2	CSAG1
5	98	2	LINC01115
5	99	2	LINC01249
5	100	2	LUZP2
5	1	3	FAAP20
5	2	3	LCN1
5	3	3	RPL8
5	4	3	RER1
5	5	3	S100A4
5	6	3	TFF3
5	7	3	LY6E
5	8	3	SPINK4
5	9	3	RPL30
5	10	3	PLA2G2F
5	11	3	ATP6V0C
5	12	3	FBLN2
5	13	3	ENO1
5	14	3	NDRG1
5	15	3	FKBP10
5	16	3	MFAP2
5	17	3	CYP51A1
5	18	3	EEF1G
5	19	3	ZFP57
5	20	3	MIF
5	21	3	GPR37L1
5	22	3	APOA2
5	23	3	KLRC4
5	24	3	EEF1D
5	25	3	NKG7
5	26	3	GPR157
5	27	3	CALY
5	28	3	FCRL6
5	29	3	TRBV28
5	30	3	GRINA
5	31	3	CD244
5	32	3	HS3ST5
5	33	3	TOMM6
5	34	3	RAMP1
5	35	3	CLDN18
5	36	3	GIMAP5
5	37	3	LCN15
5	38	3	GABARAP
5	39	3	ELL3
5	40	3	TMEM176A
5	41	3	NAT8
5	42	3	RPL7A
5	43	3	TNFRSF14
5	44	3	SLC38A3
5	45	3	TRAV19
5	46	3	MT-CO2
5	47	3	TCEA1
5	48	3	MFGE8
5	49	3	IFI30
5	50	3	RPL17
5	51	3	IGFALS
5	52	3	MUC3A
5	53	3	RPS3
5	54	3	SCO2
5	55	3	TRAV14DV4
5	56	3	ASPH
5	57	3	TM4SF4
5	58	3	S1PR5
5	59	3	KCNH2
5	60	3	APOB
5	61	3	ABCB6
5	62	3	CTSW
5	63	3	SKI
5	64	3	KCNF1
5	65	3	ENSG00000226097
5	66	3	RPS7
5	67	3	GFAP
5	68	3	SERF2
5	69	3	IFITM1
5	70	3	ENSG00000250950
5	71	3	ANXA13
5	72	3	SERPINE1
5	73	3	MT-ND4L
5	74	3	ENSG00000266651
5	75	3	CCL5
5	76	3	TNFRSF11B
5	77	3	LINC00261
5	78	3	AGR2
5	79	3	H3C4
5	80	3	ENSG00000282012
5	81	3	ENSG00000237070
5	82	3	SUSD2
5	83	3	RPS8
5	84	3	A1BG-AS1
5	85	3	CX3CR1
5	86	3	CALML6
5	87	3	OR2L2
5	88	3	PRB3
5	89	3	KIR2DL3
5	90	3	MTDH
5	91	3	LINC02446
5	92	3	TRBV23-1
5	93	3	PRAP1
5	94	3	TM4SF5
5	95	3	LYNX1
5	96	3	KANK3
5	97	3	RPLP1
5	98	3	LYPD8
5	99	3	CD3E
5	100	3	PLCH2
5	1	4	IGFBP6
5	2	4	VGLL1
5	3	4	S100A2
5	4	4	FAM83A
5	5	4	KLK6
5	6	4	MUC16
5	7	4	LNCAROD
5	8	4	WNT7B
5	9	4	RPS28
5	10	4	UPK2
5	11	4	SFTA1P
5	12	4	UCA1
5	13	4	SLC14A1
5	14	4	C19orf33
5	15	4	SLC2A1
5	16	4	RPL18A
5	17	4	CST6
5	18	4	RPS21
5	19	4	IGFL2-AS1
5	20	4	KLK10
5	21	4	CAV1
5	22	4	AHNAK2
5	23	4	KRT7
5	24	4	LINC02156
5	25	4	AIRN
5	26	4	MED8-AS1
5	27	4	ENSG00000275024
5	28	4	WEE2
5	29	4	RAG2
5	30	4	ENSG00000250057
5	31	4	SLC7A10
5	32	4	PHKA2-AS1
5	33	4	ENSG00000282849
5	34	4	KLK8
5	35	4	IFITM10
5	36	4	EEF1G
5	37	4	LY6D
5	38	4	ZBED2
5	39	4	PABPC1
5	40	4	OLFML2A
5	41	4	TH
5	42	4	C17orf49
5	43	4	PSCA
5	44	4	GAPDH
5	45	4	ALPP
5	46	4	KLK7
5	47	4	CRIP1
5	48	4	GPR78
5	49	4	MIR1915HG
5	50	4	S100A6
5	51	4	FTH1
5	52	4	DMKN
5	53	4	MIF
5	54	4	NME2
5	55	4	MFSD4B
