dataset	samples	cells	samples_probability_available	samples_status_without_probability	samples_doublet_not_available	cells_below_count_threshold	cells_below_gene_threshold	cells_above_mito_threshold
Borras_2023_KUL5_CD45Pos	6	9069	6	0	0	2	0	0
Borras_2023_SMC5	25	33225	25	0	0	26	0	0
Burclaff_2022	9	4385	9	0	0	0	0	0
Che_2021	15	125025	15	0	0	172	0	0
Chen_2024	158	892915	158	0	0	0	0	0
Conde_2022	9	8789	9	0	0	36	0	0
Elmentaite_2021_10x3p	1	799	1	0	0	0	0	0
Elmentaite_2021_10x3p_CD45Neg	6	20847	6	0	0	0	0	0
Elmentaite_2021_10x3p_CD45Pos	6	14443	6	0	0	0	0	0
Elmentaite_2021_10x5p	15	25868	15	0	0	187	0	0
Elmentaite_2021_10x5p_CD45Neg	11	7534	11	0	0	24	0	0
Elmentaite_2021_10x5p_CD45Pos	11	39899	11	0	0	522	0	0
GarridoTrigo_2023	6	36458	6	0	0	60	0	0
Giguelay_2022_CAF	6	4649	6	0	0	0	0	0
Giguelay_2022_EPCAM_Pos	6	3498	6	0	0	0	0	0
Guo_2022	6	25407	6	0	0	59	0	0
Harmon_2023_CD56Pos	6	9688	6	0	0	0	0	0
He_2020	3	17086	3	0	0	42	0	0
Huang_2024	9	62288	9	0	0	0	0	0
James_2020_10x3p_CD45Pos_CD3Neg_CD4Neg	12	19447	12	0	0	24	0	0
James_2020_10x3p_CD45Pos_CD3Pos_CD4Pos	11	12915	11	0	0	24	0	0
James_2020_10x5p	4	4861	4	0	0	33	0	0
James_2020_10x5p_CD45Pos	4	10567	4	0	0	99	0	0
Ji_2024_CD14Pos	3	14590	3	0	0	0	0	0
Ji_2024_scopeV1	2	10051	2	0	0	131	0	0
Ji_2024_scopeV2	3	21173	3	0	0	191	0	0
Joanito_2022_KUL5	22	41301	22	0	0	0	0	0
Joanito_2022_SG1	78	208367	78	0	0	0	0	0
Joanito_2022_SG2	30	38095	30	0	0	0	0	0
Khaliq_2022	23	49852	23	0	0	36	0	0
Kong_2023	8	30771	8	0	0	104	0	0
Lee_2020_KUL3	26	52108	26	0	0	151	0	0
Lee_2020_SMC	33	63688	33	0	0	0	0	0
Lee_2020_SMC_test_setup_fresh	8	13395	8	0	0	0	0	0
Lee_2020_SMC_test_setup_frozen	2	5014	2	0	0	0	0	0
Li_2017	18	156	0	18	0	0	0	0
Li_2023_10Xv2	4	15196	4	0	0	0	0	0
Li_2023_10Xv3	36	113793	36	0	0	0	0	0
Liu_2024_mixCD45PosCD45Neg	37	176531	37	0	0	123	0	0
MUI_Innsbruck	36	106162	0	36	0	145	49	8
Mazzurana_2021_CD127Pos	6	888	0	6	0	0	0	0
Parikh_2019	3	4247	3	0	0	0	0	0
Pelka_2021_10Xv2	75	140766	75	0	0	0	0	0
Pelka_2021_10Xv2_CD45Pos	71	108710	71	0	0	0	0	0
Pelka_2021_10Xv3	26	69901	26	0	0	0	0	0
Pelka_2021_10Xv3_CD45Pos	8	21309	8	0	0	0	0	0
Qi_2022	10	53564	10	0	0	0	0	0
Qian_2020	21	44679	21	0	0	12	0	0
Sathe_2023	6	13438	6	0	0	15	0	0
Scheid_2023_CD27PosCD38Pos	23	67084	23	0	0	0	0	0
Smillie_2019_10Xv1	40	63097	40	0	0	74	0	0
Smillie_2019_10Xv2	8	22678	8	0	0	13	0	0
Thomas_2024_Nat_Med_CD45Pos	8	32966	8	0	0	82	0	0
Tian_2023	86	78954	86	0	0	0	0	0
Uhlitz_2021	25	68702	25	0	0	0	0	0
VUMC_HTAN_CRC	7	8113	7	0	0	63	0	0
VUMC_HTAN_cohort3	82	73704	82	0	0	92	0	0
VUMC_HTAN_discovery	62	39974	62	0	0	0	0	0
VUMC_HTAN_validation	59	55384	59	0	0	27	0	0
Wang_2020	4	8435	4	0	0	4	0	0
Wang_2021	8	735	0	8	0	0	0	0
Wang_2023_CD45Neg	10	41729	0	10	0	2	0	0
Wang_2023_CD45Pos	23	151064	0	23	0	3	0	0
Wu_2022_CD45Pos	72	135676	72	0	0	0	0	0
Wu_2024_CD66bPos	10	12272	10	0	0	19	0	0
Yang_2023	2	5965	2	0	0	13	0	0
Zhang_2018_CD3Pos	101	11138	0	101	0	0	0	0
Zhang_2020_10X_CD45Pos	26	43817	26	0	0	0	0	0
Zhang_2020_CD45Pos_CD45Neg	26	10088	0	26	0	0	0	0
Zheng_2022	12	46629	12	0	0	0	0	0
deVries_2023_LUMC	5	4655	5	0	0	8	0	0
