panel_patient_id	panel_sample_type	available_dual_supported_cells	selected_cells	cap	cell_sampling_seed
Che_2021_Cell_Discov.COL07	metastasis	988	500	500	20260812
Che_2021_Cell_Discov.COL07	tumor	2509	500	500	20260812
Che_2021_Cell_Discov.COL12	metastasis	273	273	500	20260812
Che_2021_Cell_Discov.COL12	tumor	179	179	500	20260812
Che_2021_Cell_Discov.COL15	metastasis	1144	500	500	20260812
Che_2021_Cell_Discov.COL15	tumor	443	443	500	20260812
Che_2021_Cell_Discov.COL16	metastasis	108	108	500	20260812
Che_2021_Cell_Discov.COL16	tumor	1030	500	500	20260812
Che_2021_Cell_Discov.COL18	metastasis	189	189	500	20260812
Che_2021_Cell_Discov.COL18	tumor	121	121	500	20260812
