signature_program	usage_program	spearman_rho
1	1	0.5746144636641555
1	2	-0.07610995992000032
1	3	-0.2068417524309484
1	4	-0.18719484530152056
1	5	0.18646644502525542
1	6	-0.05647434657897441
1	7	0.008621521183862016
1	8	-0.11992315268463512
1	9	0.011172237779012058
1	10	0.016604418573904774
2	1	-0.2802794502012344
2	2	0.711727406024185
2	3	-0.16400652458230086
2	4	0.13007641058330868
2	5	-0.0688985672414598
2	6	-0.23673991692412047
2	7	0.05341202477171543
2	8	-0.2519544793481344
2	9	0.10608643306832027
2	10	-0.025383631975877664
3	1	-0.20144826587524245
3	2	-0.011264432970370532
3	3	0.69559809637333
3	4	-0.12624350030537662
3	5	0.025698415925218793
3	6	0.0216717083929031
3	7	-0.211681139466436
3	8	0.2663895873857567
3	9	0.16395096189489122
3	10	-0.17979503148706344
4	1	-0.3961882147176089
4	2	0.2820644877280119
4	3	-0.27191956065562833
4	4	0.6154083795878756
4	5	0.021383286792563152
4	6	-0.1808388902803752
4	7	0.000538019374760018
4	8	-0.23293458366218117
4	9	0.17644372546860146
4	10	-0.25095495742770385
5	1	0.013139666255630013
5	2	-0.19918467523518466
5	3	-0.04533491172419354
5	4	-0.3680630303283511
5	5	0.5968692869524954
5	6	0.17391339586121657
5	7	-0.03582974423925258
5	8	0.3649262483493315
5	9	0.17280685756839753
5	10	-0.027807272245663334
6	1	-0.05561736717093075
6	2	-0.22363387899818085
6	3	-0.11388615811490727
6	4	-0.18307994538937006
6	5	0.3324411278476328
6	6	0.5184910635384293
6	7	-0.05304344159221595
6	8	0.3819093962024768
6	9	0.013497551672577227
6	10	-0.048645886465737934
7	1	-0.17261515338138164
7	2	0.05656353184874238
7	3	-0.17645112795214948
7	4	-0.009663021835163293
7	5	-0.021907396896129576
7	6	-0.1716098163457625
7	7	0.6825166995548319
7	8	-0.05715941144186403
7	9	-0.3323236859978263
7	10	0.2369145680270709
8	1	-0.28550360138067654
8	2	-0.22614573180631656
8	3	0.06841516822251321
8	4	-0.1038119786233579
8	5	0.20943789839464777
8	6	0.08594267184989714
8	7	0.015970226394992775
8	8	0.7716331758295937
8	9	-0.09208117736029749
8	10	-0.0941098922016428
9	1	-0.22706177639048195
9	2	-0.08226658075341607
9	3	-0.009831545858307377
9	4	-0.06436709201958211
9	5	0.24201101959789112
9	6	0.015566172730776559
9	7	-0.016327558452905403
9	8	0.14206317983235103
9	9	0.5600113604380383
9	10	-0.20352180846043003
10	1	-0.05293497849203611
10	2	0.22474558000130443
10	3	-0.27362282388569137
10	4	-0.28634850021591357
10	5	-0.007882687864984257
10	6	-0.14652008978543238
10	7	0.27229572891035825
10	8	-0.18269300551579382
10	9	-0.11003313616336419
10	10	0.6578121500214541
