program_id	analysis_patient_id	delta_lm_minus_primary
1	Liu_2024_Cancer_Res.Pt01	0.015752773333333303
1	Liu_2024_Cancer_Res.Pt02	-0.013419039999999993
1	Liu_2024_Cancer_Res.Pt03	0.060012920000000025
1	Liu_2024_Cancer_Res.Pt04	-0.07125290628879893
1	Liu_2024_Cancer_Res.Pt05	-0.0016396604810996473
1	Liu_2024_Cancer_Res.Pt06	-0.055161733254484535
1	Liu_2024_Cancer_Res.Pt07	0.08338833841906435
1	Liu_2024_Cancer_Res.Pt08	-0.06350556000000002
1	Liu_2024_Cancer_Res.Pt11	0.08062107333333335
1	Liu_2024_Cancer_Res.Pt15	-0.06267882449511403
1	Liu_2024_Cancer_Res.Pt18	-0.0071081599999999745
2	Liu_2024_Cancer_Res.Pt01	0.08568441333333338
2	Liu_2024_Cancer_Res.Pt02	0.02595913333333333
2	Liu_2024_Cancer_Res.Pt03	-0.06672105333333328
2	Liu_2024_Cancer_Res.Pt04	0.1734017081781376
2	Liu_2024_Cancer_Res.Pt05	-0.06929741085910654
2	Liu_2024_Cancer_Res.Pt06	0.08948930613049474
2	Liu_2024_Cancer_Res.Pt07	-0.05380489247311826
2	Liu_2024_Cancer_Res.Pt08	-0.028486933333333353
2	Liu_2024_Cancer_Res.Pt11	-0.035023920000000014
2	Liu_2024_Cancer_Res.Pt15	0.010936674397394125
2	Liu_2024_Cancer_Res.Pt18	0.07837045333333331
3	Liu_2024_Cancer_Res.Pt01	0.04217399999999999
3	Liu_2024_Cancer_Res.Pt02	0.08219530666666663
3	Liu_2024_Cancer_Res.Pt03	0.03508475999999999
3	Liu_2024_Cancer_Res.Pt04	-0.004732162699055353
3	Liu_2024_Cancer_Res.Pt05	-0.02069257841924399
3	Liu_2024_Cancer_Res.Pt06	-0.00545949434259807
3	Liu_2024_Cancer_Res.Pt07	-0.0602951172624237
3	Liu_2024_Cancer_Res.Pt08	-0.06210174666666668
3	Liu_2024_Cancer_Res.Pt11	-0.15850276666666663
3	Liu_2024_Cancer_Res.Pt15	-0.04109885159609117
3	Liu_2024_Cancer_Res.Pt18	-0.04581720000000006
4	Liu_2024_Cancer_Res.Pt01	0.05257325333333335
4	Liu_2024_Cancer_Res.Pt02	0.033841613333333326
4	Liu_2024_Cancer_Res.Pt03	-0.023721853333333376
4	Liu_2024_Cancer_Res.Pt04	0.07635896685560051
4	Liu_2024_Cancer_Res.Pt05	-0.061754853470790405
4	Liu_2024_Cancer_Res.Pt06	0.11112637808003153
4	Liu_2024_Cancer_Res.Pt07	-0.07686852702702698
4	Liu_2024_Cancer_Res.Pt08	-0.014331759999999999
4	Liu_2024_Cancer_Res.Pt11	-0.07796148666666666
4	Liu_2024_Cancer_Res.Pt15	0.03472741176981542
4	Liu_2024_Cancer_Res.Pt18	-0.032966133333333314
5	Liu_2024_Cancer_Res.Pt01	0.027257906666666665
5	Liu_2024_Cancer_Res.Pt02	-0.0020524399999999887
5	Liu_2024_Cancer_Res.Pt03	0.02870093333333329
5	Liu_2024_Cancer_Res.Pt04	-0.08715285392712552
5	Liu_2024_Cancer_Res.Pt05	-0.03695702969072162
5	Liu_2024_Cancer_Res.Pt06	-0.024491241395623864
5	Liu_2024_Cancer_Res.Pt07	-0.013080484016274374
5	Liu_2024_Cancer_Res.Pt08	0.010141693333333368
5	Liu_2024_Cancer_Res.Pt11	-0.10027396
5	Liu_2024_Cancer_Res.Pt15	-0.029612191530944576
5	Liu_2024_Cancer_Res.Pt18	-0.018119666666666645
6	Liu_2024_Cancer_Res.Pt01	-0.0019388933333333025
6	Liu_2024_Cancer_Res.Pt02	-0.018851373333333366
6	Liu_2024_Cancer_Res.Pt03	0.018569306666666646
6	Liu_2024_Cancer_Res.Pt04	-0.0737645059109312
6	Liu_2024_Cancer_Res.Pt05	-0.028599982405498325
6	Liu_2024_Cancer_Res.Pt06	-0.061693097181155176
6	Liu_2024_Cancer_Res.Pt07	-0.00958588847718686
6	Liu_2024_Cancer_Res.Pt08	-0.016646373333333353
6	Liu_2024_Cancer_Res.Pt11	-0.05299543999999995
6	Liu_2024_Cancer_Res.Pt15	5.3920477741581374e-05
6	Liu_2024_Cancer_Res.Pt18	-0.02979072000000002
7	Liu_2024_Cancer_Res.Pt01	0.10262328000000004
7	Liu_2024_Cancer_Res.Pt02	0.019084600000000035
7	Liu_2024_Cancer_Res.Pt03	-0.031851080000000004
7	Liu_2024_Cancer_Res.Pt04	0.005008553252361658
7	Liu_2024_Cancer_Res.Pt05	-0.00906189264604812
7	Liu_2024_Cancer_Res.Pt06	0.06192925006899272
7	Liu_2024_Cancer_Res.Pt07	-0.00283574229875036
7	Liu_2024_Cancer_Res.Pt08	0.0009970666666666572
7	Liu_2024_Cancer_Res.Pt11	0.02091830666666669
7	Liu_2024_Cancer_Res.Pt15	-0.0003389761129207469
7	Liu_2024_Cancer_Res.Pt18	-0.02210069333333331
8	Liu_2024_Cancer_Res.Pt01	0.020901346666666668
8	Liu_2024_Cancer_Res.Pt02	-0.03444666666666665
8	Liu_2024_Cancer_Res.Pt03	-0.021510746666666664
8	Liu_2024_Cancer_Res.Pt04	-0.033788938947368424
8	Liu_2024_Cancer_Res.Pt05	-0.028635334570446702
8	Liu_2024_Cancer_Res.Pt06	-0.019626380445495764
8	Liu_2024_Cancer_Res.Pt07	-0.019466056596919495
8	Liu_2024_Cancer_Res.Pt08	-0.002343426666666662
8	Liu_2024_Cancer_Res.Pt11	-0.08000860666666665
8	Liu_2024_Cancer_Res.Pt15	0.03892094836047774
8	Liu_2024_Cancer_Res.Pt18	-0.032287159999999995
9	Liu_2024_Cancer_Res.Pt01	0.03683293333333337
9	Liu_2024_Cancer_Res.Pt02	0.02234300000000003
9	Liu_2024_Cancer_Res.Pt03	0.17733608
9	Liu_2024_Cancer_Res.Pt04	-0.001586458623481779
9	Liu_2024_Cancer_Res.Pt05	-0.013142217457044636
9	Liu_2024_Cancer_Res.Pt06	0.0013859221762271001
9	Liu_2024_Cancer_Res.Pt07	-0.013409696963092133
9	Liu_2024_Cancer_Res.Pt08	0.00160818666666665
9	Liu_2024_Cancer_Res.Pt11	-0.022390466666666664
9	Liu_2024_Cancer_Res.Pt15	0.0016785487947882372
9	Liu_2024_Cancer_Res.Pt18	-0.0030240533333332764
10	Liu_2024_Cancer_Res.Pt01	0.02094098666666669
10	Liu_2024_Cancer_Res.Pt02	-0.03924337333333333
10	Liu_2024_Cancer_Res.Pt03	-0.01834694666666667
10	Liu_2024_Cancer_Res.Pt04	0.017712421754385976
10	Liu_2024_Cancer_Res.Pt05	-0.046217934570446734
10	Liu_2024_Cancer_Res.Pt06	0.18316305271042774
10	Liu_2024_Cancer_Res.Pt07	-0.000554102513804125
10	Liu_2024_Cancer_Res.Pt08	-0.02470100000000003
10	Liu_2024_Cancer_Res.Pt11	0.014956959999999991
10	Liu_2024_Cancer_Res.Pt15	-0.00893788112920739
10	Liu_2024_Cancer_Res.Pt18	0.01852378666666668
