program_id	top20_genes	cross_seed_target_program	cross_seed_pass	cell_resample_target_program	cell_resample_pass	holdout_A_target_program	holdout_A_pass	holdout_B_target_program	holdout_B_pass	holdout_bridge_actual_B_program	holdout_bridge_connects_expected_B	holdout_bridge_pass	patient_A_B_joint_pass	exclude_high_unresolved_target_program	exclude_high_unresolved_pass	include_one_method_target_program	include_one_method_pass	required_stability_pass_count	all_required_stability_pass	primary_effective_patient_number	primary_contributors_ge_5pct	other_seed_mapped_program	other_seed_effective_patient_number	other_seed_contributors_ge_5pct	resample_mapped_program	resample_effective_patient_number	resample_contributors_ge_5pct	min_effective_patient_number	min_contributors_ge_5pct	patient_contribution_pass	top50_mitochondrial_n	top50_ribosomal_n	top50_stress_dissociation_n	top50_hemoglobin_n	top50_cell_cycle_n	top50_immune_lineage_n	top50_fibroblast_lineage_n	top50_endothelial_lineage_n	top50_liver_plasma_abundance_n	rho_log1p_total_counts	rho_detected_genes	rho_mito_fraction	mito_fraction_metric_available	mito_fraction_metric_note	technical_dominant	technical_failure_reasons	review_flags	adjacent_K9_mapped_program	adjacent_K9_pass_descriptive	adjacent_K11_mapped_program	adjacent_K11_pass_descriptive	che_eligibility	eligibility_use	failed_hard_gates	eligibility_reason_plain
1	SELENOP,BEX4,CEACAM6,PLCB4,CST3,TSPAN8,SPINK1,FGGY,CEACAM5,B2M,RRBP1,SMIM26,APOC2,FZD10,IL2RG,CYSTM1,SEC62,CD24,ENSG00000236449,ST6GAL1	1	True	1	True	5	True	7	True	7	True	True	True	9	True	1	True	5	True	7.270850306896587	6	1	7.210777738732026	6	1	7.335033909085196	5	7.210777738732026	5	True	0	0	0	0	0	0	0	0	1	-0.12331964289010909	-0.11257161639479248		False	No varying mitochondrial fraction can be calculated from the frozen cNMF input	False			1.0	True	1	True	eligible_for_confirmatory_che	core_candidate		五项稳定性、患者贡献及技术筛查均通过。
2	CLDN4,CD55,EFNB2,CD9,PCCA,MIR22HG,EMP1,TUBB2A,ALDOA,MISP,NR4A1,COMMD6,TACSTD2,TMEM219,MIDN,ITPKC,RGCC,CAMK2N1,KLF4,PDLIM4	2	True	3	True	1	True	3	True	6	False	False	False	2	True	3	True	4	False	5.886190782093596	4	2	5.90142121625302	4	3	6.150796785341642	4	5.886190782093596	4	True	0	0	5	0	0	0	1	1	0	-0.1223771713870761	-0.13755178633493587		False	No varying mitochondrial fraction can be calculated from the frozen cNMF input	False			2.0	True	3	True	not_eligible_for_confirmatory_che	negative_or_exploratory_only	patient_A_B_joint	未通过：patient_A_B_joint。
3	PFN1,GNAS,C1QBP,TAF10,ECH1,TMEM238,HSPB6,MZT2B,PPDPF,MDH2,NME4,TRAPPC1,SNRPN,ASCL2,FCGRT,CD81,PSMB6,MZT2A,SCAND1,RNASEK	3	True	10	False	2	True	2	True	2	True	True	True	10	False	10	False	2	False	5.587584954583005	3	3	5.744748456719595	3	10	5.681901398252941	5	5.587584954583005	3	True	0	0	0	0	0	0	0	0	0	-0.03817988145593023	-0.008541162829158839		False	No varying mitochondrial fraction can be calculated from the frozen cNMF input	False				False	2	True	not_eligible_for_confirmatory_che	negative_or_exploratory_only	cell_resample;exclude_high_unresolved;include_one_method	未通过：cell_resample；exclude_high_unresolved；include_one_method。
4	JUN,BTG2,TOX,EGR1,HES6,PCSK1,TUBA1A,ATF3,RHOB,ITPR2,UBC,MATN2,DUSP1,CA8,FOSB,JUND,ROBO2,KLK12,HEPACAM2,SCG3	4	True	9	True	4	True	5	False	5	True	True	False	3	True	9	True	4	False	8.488532317729737	7	4	8.485743022704785	7	9	7.463823872089225	6	7.463823872089225	6	True	0	0	13	0	0	0	0	0	0	-0.15861606516718327	-0.0837022198977849		False	No varying mitochondrial fraction can be calculated from the frozen cNMF input	True	stress_dissociation_top50_ge_10		4.0	True	4	True	not_eligible_for_confirmatory_che	negative_or_exploratory_only	patient_A_B_joint;technical_dominant	未通过：patient_A_B_joint；technical_dominant。
5	ANPEP,SLC25A5,PRAC1,NDUFS5,AGR2,TMSB4X,CYCS,TPM2,ENO1,MESP1,NOS3,PCK1,EIF3I,SSBP1,DDT,MAOA,ATP5MF,CYP2W1,TPM1,SERPINA6	6	True	6	True	10	False	4	True	9	False	False	False	4	True	4	True	4	False	7.099305069971099	6	6	7.044382412271953	6	6	6.91283906288921	6	6.91283906288921	6	True	0	0	0	0	0	0	0	0	0	0.2699266795634967	0.2028158624468151		False	No varying mitochondrial fraction can be calculated from the frozen cNMF input	False			7.0	True	6	True	not_eligible_for_confirmatory_che	negative_or_exploratory_only	patient_A_B_joint	未通过：patient_A_B_joint。
6	CYC1,PSMG1,G3BP1,LARS1,L1TD1,CSNK1A1,DNAJA2,PDGFRA,CDX1,SMIM3,SRP72,PAICS,TCOF1,RBCK1,ADISSP,EXOSC4,NDUFA6,XRN2,COX5A,FERMT1	5	True	4	True	3	True	1	False	4	False	False	False	1	False	5	True	3	False	5.908328748550038	8	5	5.949808718388454	7	4	6.2985615721378885	7	5.908328748550038	7	True	0	0	0	0	0	0	1	0	0	0.14579425882973718	0.22729496501383378		False	No varying mitochondrial fraction can be calculated from the frozen cNMF input	False			6.0	True	5	True	not_eligible_for_confirmatory_che	negative_or_exploratory_only	patient_A_B_joint;exclude_high_unresolved	未通过：patient_A_B_joint；exclude_high_unresolved。
7	S100A11,KLK6,RBP1,ARL4C,TM4SF1,PHLDA3,HLA-A,DCBLD2,TESC,S100A10,PHLDA1,S100A6,FSCN1,ANXA2,TMSB10,SERPINB5,SERPINB1,FLNA,BMP4,MSN	7	True	5	True	6	True	10	True	10	True	True	True	6	True	6	True	5	True	5.246848073266711	6	7	5.229732551991398	6	5	5.468270102945889	5	5.229732551991398	5	True	0	0	0	0	0	0	0	0	0	0.11351150448604903	0.08554941527371322		False	No varying mitochondrial fraction can be calculated from the frozen cNMF input	False			8.0	True	7	True	eligible_for_confirmatory_che	core_candidate		五项稳定性、患者贡献及技术筛查均通过。
8	TPX2,PLK1,NUSAP1,UBE2C,TOP2A,TUBA1B,CCNB1,CCNA2,BIRC5,CDK1,HMGB2,CDKN3,HMMR,CKAP2,CDCA3,PTTG1,CDC20,KIF20B,CKS1B,CENPA	8	True	7	True	8	True	8	True	8	True	True	True	5	True	7	True	5	True	10.326824360087056	11	8	10.326701054813956	11	7	10.240453658150722	10	10.240453658150722	10	True	0	0	0	0	28	0	0	0	0	0.330667138567622	0.3491292665309836		False	No varying mitochondrial fraction can be calculated from the frozen cNMF input	False		cell_cycle_dominant	5.0	True	8	True	eligible_for_confirmatory_che	eligible_control_or_review		五项稳定性、患者贡献及技术筛查均通过。
9	AGR3,SNX3,PCSK1N,LINC01819,ST8SIA6-AS1,FAM3B,TSPAN6,CSRP2,PTGES3,AKR7A3,TCEA1,HSPD1,HSPE1,RFPL2,ST13,CCT6A,MOCS2,CACYBP,OTUD6B-AS1,ZNF706	9	True	2	True	9	False	9	True	1	False	False	False	7	True	2	True	4	False	5.0654571433801765	4	9	5.062439958059985	4	2	6.95964212727311	5	5.062439958059985	4	True	0	0	0	0	0	0	0	0	0	0.044025954986297904	0.016005596830466873		False	No varying mitochondrial fraction can be calculated from the frozen cNMF input	False			3.0	True	10	True	not_eligible_for_confirmatory_che	negative_or_exploratory_only	patient_A_B_joint	未通过：patient_A_B_joint。
10	KLK7,KLK10,TSPAN1,PLAAT4,SPRR3,LCN2,UCA1,APOL1,KRT7,CTSE,IGFL2,CRIP1,CALB1,PSORS1C2,TIMP2,CLIC3,SPNS2,NXN,ITGB4,C19orf33	10	True	8	True	7	True	6	False	3	False	False	False	8	True	8	True	4	False	4.215266805667172	3	10	4.223905917041813	3	8	4.855580063558112	4	4.215266805667172	3	True	0	0	0	0	0	0	0	0	0	-0.08429936230342437	-0.11913804596555877		False	No varying mitochondrial fraction can be calculated from the frozen cNMF input	False			9.0	True	9	True	not_eligible_for_confirmatory_che	negative_or_exploratory_only	patient_A_B_joint	未通过：patient_A_B_joint。
