component	eligibility_required	anchor_program	left_run	left_k	left_program	right_run	right_k	right_program	expected_right_program	connects_expected_program	cosine	top_gene_jaccard	cosine_null_q99	jaccard_null_q99	exceeds_both_nulls	component_pass	source_file
cross_seed	True	1	seed_20260812	10.0	1.0	seed_20260813	10.0	1.0		True	0.9995085237174528	0.8867924528301887	0.0415525974274892	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cell_resample	True	1	seed_20260812	10.0	1.0	cell_resample_20260813	10.0	1.0		True	0.9909103380239992	0.8181818181818182	0.0445423284711832	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_A	True	1	seed_20260812	10.0	1.0	patient_holdout_A	10.0	5.0		True	0.8097936781589007	0.3513513513513513	0.0393141266082818	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_B	True	1	seed_20260812	10.0	1.0	patient_holdout_B	10.0	7.0		True	0.4856332516050423	0.0416666666666666	0.0303334754263743	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
exclude_high_unresolved	True	1	primary_seed_20260812	10.0	1.0	exclude_high_unresolved	10.0	9.0		True	0.4917434243412331	0.1111111111111111	0.0390430173505663	0.0102040816326529	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
include_one_method	True	1	primary_seed_20260812	10.0	1.0	include_one_method	10.0	1.0		True	0.9697814793449396	0.5625	0.0355291457260045	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
holdout_A_to_B_bridge	True	1	patient_holdout_A	10.0	5.0	patient_holdout_B	10.0	7.0	7.0	True	0.3825031246826905	0.0416666666666666	0.0286751484030765	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K9_descriptive	False	1	seed_20260812	9.0	1.0	seed_20260812	10.0	1.0		True	0.9893534398779664	0.7857142857142857	0.043335381820764	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K11_descriptive	False	1	seed_20260812	10.0	1.0	seed_20260812	11.0	1.0		True	0.9988966646555892	0.8518518518518519	0.0421526941309638	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cross_seed	True	2	seed_20260812	10.0	2.0	seed_20260813	10.0	2.0		True	0.9999534597632596	1.0	0.0415525974274892	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cell_resample	True	2	seed_20260812	10.0	2.0	cell_resample_20260813	10.0	3.0		True	0.9865551205607336	0.8518518518518519	0.0445423284711832	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_A	True	2	seed_20260812	10.0	2.0	patient_holdout_A	10.0	1.0		True	0.2988954523232755	0.0526315789473684	0.0393141266082818	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_B	True	2	seed_20260812	10.0	2.0	patient_holdout_B	10.0	3.0		True	0.8851708945608053	0.4705882352941176	0.0303334754263743	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
