program_id	rank	gene	technical_or_review_categories
1	1	SELENOP	
1	2	BEX4	
1	3	CEACAM6	
1	4	PLCB4	
1	5	CST3	
1	6	TSPAN8	
1	7	SPINK1	
1	8	FGGY	
1	9	CEACAM5	
1	10	B2M	
1	11	RRBP1	
1	12	SMIM26	
1	13	APOC2	liver_plasma_abundance
1	14	FZD10	
1	15	IL2RG	
1	16	CYSTM1	
1	17	SEC62	
1	18	CD24	
1	19	ENSG00000236449	
1	20	ST6GAL1	
1	21	IFI27	
1	22	APIP	
1	23	SUB1	
1	24	MAGED2	
1	25	UQCRQ	
1	26	SKP1	
1	27	AKR1C3	
1	28	SLCO4A1-AS1	
1	29	NDUFA2	
1	30	SNRPB2	
1	31	OST4	
1	32	MPP1	
1	33	TIMP1	
1	34	LYPD8	
1	35	FERMT1	
1	36	DSTN	
1	37	ACSL6	
1	38	ATP5F1E	
1	39	MEP1A	
1	40	HIGD2A	
1	41	ELOB	
1	42	CES1	
1	43	LDOC1	
1	44	CTSA	
1	45	CLDN10	
1	46	OGT	
1	47	TMEM59	
1	48	COX4I1	
1	49	ANKRD10	
1	50	COX6B1	
2	1	CLDN4	
2	2	CD55	
2	3	EFNB2	
2	4	CD9	
2	5	PCCA	
2	6	MIR22HG	
2	7	EMP1	
2	8	TUBB2A	
2	9	ALDOA	
2	10	MISP	
2	11	NR4A1	stress_dissociation
2	12	COMMD6	
2	13	TACSTD2	
2	14	TMEM219	
2	15	MIDN	
2	16	ITPKC	
2	17	RGCC	endothelial_lineage
2	18	CAMK2N1	
2	19	KLF4	stress_dissociation
2	20	PDLIM4	
2	21	FOSB	stress_dissociation
2	22	GJB3	
2	23	YPEL3	
2	24	HBEGF	
2	25	CLTB	
2	26	TPI1	
2	27	MAPK3	
2	28	NRARP	
2	29	ITM2C	
2	30	FOSL1	stress_dissociation
2	31	CLDN3	
2	32	COL6A2	fibroblast_lineage
2	33	STK24	
2	34	DDAH2	
2	35	EZR	
2	36	TMEM265	
2	37	EPHA2	
2	38	ANXA11	
2	39	RAC1	
2	40	MAFF	
2	41	GPX4	
2	42	METRNL	
2	43	SERTAD1	
2	44	CSRNP1	
2	45	PRAP1	
2	46	JUNB	stress_dissociation
2	47	AGPAT2	
2	48	LAMC2	
2	49	VSIG2	
2	50	SOX15	
3	1	PFN1	
3	2	GNAS	
3	3	C1QBP	
3	4	TAF10	
3	5	ECH1	
3	6	TMEM238	
3	7	HSPB6	
3	8	MZT2B	
3	9	PPDPF	
3	10	MDH2	
3	11	NME4	
3	12	TRAPPC1	
3	13	SNRPN	
3	14	ASCL2	
3	15	FCGRT	
3	16	CD81	
3	17	PSMB6	
3	18	MZT2A	
3	19	SCAND1	
3	20	RNASEK	
3	21	SOX9	
3	22	RPRML	
3	23	ETV4	
3	24	PHPT1	
3	25	CPNE1	
3	26	DNPH1	
3	27	H1-10	
3	28	KRBOX1	
3	29	SMIM24	
3	30	NME2	
3	31	TMEM176A	
3	32	CENPV	
3	33	NDUFAF3	
3	34	MPLKIP	
3	35	EBPL	
3	36	ERGIC3	
3	37	TMEM141	
3	38	ARF5	
3	39	EEF1A1	
3	40	BMP7	
3	41	MMP24OS	
3	42	POLR1D	
3	43	TMEM176B	
3	44	EIF3F	
3	45	C17orf49	
3	46	SIVA1	
3	47	GNB2	
3	48	CISD3	
3	49	SLC2A4RG	
3	50	EMC6	
4	1	JUN	stress_dissociation
4	2	BTG2	stress_dissociation
4	3	TOX	
4	4	EGR1	stress_dissociation
4	5	HES6	
4	6	PCSK1	
4	7	TUBA1A	
4	8	ATF3	stress_dissociation
4	9	RHOB	stress_dissociation
4	10	ITPR2	
4	11	UBC	
4	12	MATN2	
4	13	DUSP1	stress_dissociation
4	14	CA8	
4	15	FOSB	stress_dissociation
4	16	JUND	stress_dissociation
4	17	ROBO2	
4	18	KLK12	
4	19	HEPACAM2	
4	20	SCG3	
4	21	SMAD9	
4	22	AQP3	
4	23	LRRC26	
4	24	HSPA1B	stress_dissociation
4	25	DACH1	
4	26	FOS	stress_dissociation
4	27	DNAJB1	stress_dissociation
4	28	MYADM	
4	29	FOXA2	
4	30	NKD1	
4	31	SCN3A	
4	32	EYA2	
4	33	ATOH1	
4	34	ENSG00000260573	
4	35	ITGA6	
4	36	GMPR	
4	37	CSRNP3	
4	38	TRIB1	
4	39	CCL24	
4	40	H3-3B	
4	41	TMX4	
4	42	DLL1	
4	43	KLK11	
4	44	ZNF503	
4	45	LEF1	
4	46	CDKN1C	
4	47	ARC	stress_dissociation
4	48	MIR7-3HG	
4	49	IER2	stress_dissociation
4	50	MCL1	
5	1	ANPEP	
5	2	SLC25A5	
5	3	PRAC1	
5	4	NDUFS5	
5	5	AGR2	
5	6	TMSB4X	
5	7	CYCS	
5	8	TPM2	
5	9	ENO1	
5	10	MESP1	
5	11	NOS3	
5	12	PCK1	
5	13	EIF3I	
5	14	SSBP1	
5	15	DDT	
5	16	MAOA	
5	17	ATP5MF	
5	18	CYP2W1	
5	19	TPM1	
5	20	SERPINA6	
5	21	ACY3	
5	22	ASS1	
5	23	COX7B	
5	24	ARHGDIB	
5	25	NAA10	
5	26	UQCRH	
5	27	PGK1	
5	28	AZGP1	
5	29	HSD17B10	
5	30	PARK7	
5	31	PNP	
5	32	CDK2AP2	
5	33	NDUFA1	
5	34	SAT1	
5	35	IGF2BP3	
5	36	LDHB	
5	37	SNAI1	
5	38	NOX1	
5	39	SLC25A6	
5	40	EBP	
5	41	FSIP1	
5	42	CXCR3	
5	43	PPIA	
5	44	PSMA5	
5	45	LINC02691	
5	46	CLIC1	
5	47	CXCL3	
5	48	CALM1	
5	49	ATP5MJ	
5	50	BTF3	
6	1	CYC1	
6	2	PSMG1	
6	3	G3BP1	
6	4	LARS1	
6	5	L1TD1	
6	6	CSNK1A1	
6	7	DNAJA2	
6	8	PDGFRA	fibroblast_lineage
6	9	CDX1	
6	10	SMIM3	
6	11	SRP72	
6	12	PAICS	
6	13	TCOF1	
6	14	RBCK1	
6	15	ADISSP	
6	16	EXOSC4	
6	17	NDUFA6	
6	18	XRN2	
6	19	COX5A	
6	20	FERMT1	
6	21	RBM27	
6	22	PRKDC	
6	23	GAL	
6	24	CHCHD10	
6	25	IDH3B	
6	26	GPCPD1	
6	27	CSNK2A1	
6	28	NOLC1	
6	29	SMOC2	
6	30	BOP1	
6	31	PRELID2	
6	32	C2CD4B	
6	33	G3BP2	
6	34	PIGR	
6	35	ATP5F1D	
6	36	SET	
6	37	NCL	
6	38	EREG	
6	39	HMGXB3	
6	40	TUSC3	
6	41	PPARGC1B	
6	42	SLC35D3	
6	43	DMKN	
6	44	CANX	
6	45	CHRAC1	
6	46	NUPR1	
6	47	SH3RF2	
6	48	FAM210B	
6	49	CENPB	
6	50	NOP56	
7	1	S100A11	
7	2	KLK6	
7	3	RBP1	
7	4	ARL4C	
7	5	TM4SF1	
7	6	PHLDA3	
7	7	HLA-A	
7	8	DCBLD2	
7	9	TESC	
7	10	S100A10	
7	11	PHLDA1	
7	12	S100A6	
7	13	FSCN1	
7	14	ANXA2	
7	15	TMSB10	
7	16	SERPINB5	
7	17	SERPINB1	
7	18	FLNA	
7	19	BMP4	
7	20	MSN	
7	21	S100A16	
7	22	AHNAK2	
7	23	BST2	
7	24	IFI16	
7	25	HOMER3	
7	26	LMNA	
7	27	HLA-F	
7	28	LINC02474	
7	29	ST3GAL1	
7	30	BARX1	
7	31	TNFSF9	
7	32	SOX4	
7	33	TCN1	
7	34	HLA-C	
7	35	DUSP10	
7	36	SPON2	
7	37	IL32	
7	38	CXCL8	
7	39	ADAM19	
7	40	SP9	
7	41	LINC00460	
7	42	TAP1	
7	43	LGALS1	
7	44	LAMC2	
7	45	PRSS22	
7	46	PLEC	
7	47	IL23A	
7	48	HEBP2	
7	49	AIM2	
7	50	PLAU	
8	1	TPX2	cell_cycle
8	2	PLK1	
8	3	NUSAP1	cell_cycle
8	4	UBE2C	cell_cycle
8	5	TOP2A	cell_cycle
8	6	TUBA1B	
8	7	CCNB1	
8	8	CCNA2	
8	9	BIRC5	cell_cycle
8	10	CDK1	cell_cycle
8	11	HMGB2	cell_cycle
8	12	CDKN3	
8	13	HMMR	cell_cycle
8	14	CKAP2	cell_cycle
8	15	CDCA3	cell_cycle
8	16	PTTG1	
8	17	CDC20	cell_cycle
8	18	KIF20B	cell_cycle
8	19	CKS1B	cell_cycle
8	20	CENPA	cell_cycle
8	21	CEP55	
8	22	CENPW	
8	23	SMC4	cell_cycle
8	24	CDCA8	cell_cycle
8	25	NUF2	cell_cycle
8	26	GTSE1	cell_cycle
8	27	MKI67	cell_cycle
8	28	ASPM	
8	29	AURKA	cell_cycle
8	30	UBE2T	
8	31	H2AZ1	
8	32	PRC1	
8	33	DLGAP5	cell_cycle
8	34	UBE2S	
8	35	MAD2L1	
8	36	HMGB1	
8	37	KPNA2	
8	38	BUB1	cell_cycle
8	39	TUBB	
8	40	KIF11	cell_cycle
8	41	NEK2	cell_cycle
8	42	KIF4A	
8	43	KIFC1	
8	44	NCAPH	
8	45	CCNB2	cell_cycle
8	46	RACGAP1	
8	47	AURKB	cell_cycle
8	48	DIAPH3	
8	49	KIF23	cell_cycle
8	50	ANLN	cell_cycle
9	1	AGR3	
9	2	SNX3	
9	3	PCSK1N	
9	4	LINC01819	
9	5	ST8SIA6-AS1	
9	6	FAM3B	
9	7	TSPAN6	
9	8	CSRP2	
9	9	PTGES3	
9	10	AKR7A3	
9	11	TCEA1	
9	12	HSPD1	
9	13	HSPE1	
9	14	RFPL2	
9	15	ST13	
9	16	CCT6A	
9	17	MOCS2	
9	18	CACYBP	
9	19	OTUD6B-AS1	
9	20	ZNF706	
9	21	PRDX1	
9	22	ATP6V1C1	
9	23	FNTA	
9	24	POU6F2	
9	25	TATDN1	
9	26	TSPAN13	
9	27	MAP4K1	
9	28	EIF3H	
9	29	CLU	
9	30	RBIS	
9	31	PLPP5	
9	32	BEX2	
9	33	HSP90AB1	
9	34	PARVB	
9	35	EIF4EBP1	
9	36	VPS28	
9	37	AQP1	
9	38	NDUFB9	
9	39	SELENOM	
9	40	LINC02315	
9	41	ENSG00000268756	
9	42	PPID	
9	43	ZFAND1	
9	44	HSP90AA1	
9	45	UBR4	
9	46	GZMB	
9	47	LYPLA1	
9	48	SEC61G	
9	49	TRAM1	
9	50	LBHD1	
10	1	KLK7	
10	2	KLK10	
10	3	TSPAN1	
10	4	PLAAT4	
10	5	SPRR3	
10	6	LCN2	
10	7	UCA1	
10	8	APOL1	
10	9	KRT7	
10	10	CTSE	
10	11	IGFL2	
10	12	CRIP1	
10	13	CALB1	
10	14	PSORS1C2	
10	15	TIMP2	
10	16	CLIC3	
10	17	SPNS2	
10	18	NXN	
10	19	ITGB4	
10	20	C19orf33	
10	21	ANXA1	
10	22	PSCA	
10	23	RNASE1	
10	24	NRCAM	
10	25	LY6G6C	
10	26	S100A14	
10	27	HEPHL1	
10	28	CYP21A2	
10	29	PDZK1IP1	
10	30	COL17A1	
10	31	SH3BGRL3	
10	32	MUC1	
10	33	KRT23	
10	34	CTSD	
10	35	UPK2	
10	36	CDC42EP5	
10	37	CST5	
10	38	SEMA3B	
10	39	HSPG2	
10	40	SNCG	
10	41	IGFL1	
10	42	QSOX1	
10	43	HYAL1	
10	44	KLK11	
10	45	S100A4	
10	46	TRNP1	
10	47	S100P	
10	48	KRTAP3-1	
10	49	AGRN	
10	50	HSPB8	
