data_id	route_id	requirement_id	name	accession	uri	source	disease	tissue	modality	subjects	biological_unit	fields_checked	contract_match	access	verification	independence	decision	checked_at	checksum	notes
SPP-DATA-R01-01	SPP-R01	SPP-DREQ-R01-01	Single-cell analyses reveal phenotypic linkage between CRC and liver metastasis	GSE164522	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164522	NCBI GEO	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent tissues;mesenteric lymph node;PBMC	scRNA-seq	17	patient or donor	subject_count;study_design;tissue_types;processed_file_list;metadata_file	unknown	public	metadata_checked	not_applicable	candidate	2026-08-07		Official page reports 101 biological samples aggregated under 17 patient records and large processed matrices; donor and field contract still require file parsing.
SPP-DATA-R01-02	SPP-R01	SPP-DREQ-R01-02	Single-cell and spatial transcriptome analysis of liver metastatic CRC	GSE225857	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225857	NCBI GEO	colorectal cancer liver metastasis	primary CRC;normal colon;CRLM;normal liver;PBMC	scRNA-seq	6	patient or donor	subject_count;study_design;treatment;processed_file_list;raw_archive	unknown	public	metadata_checked	independent	candidate	2026-08-07		All six patients received preoperative chemotherapy and/or radiotherapy; LN in this source design denotes normal liver at least 2 cm from tumour, not lymph node.
SPP-DATA-R01-03	SPP-R01	SPP-DREQ-R01-02	Single-cell atlas of CRC liver metastases and preoperative chemotherapy	GSE178318	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178318	NCBI GEO	colorectal cancer liver metastasis	paired primary CRC;CRLM;PBMC	scRNA-seq	6	patient or donor	subject_ids;sample_list;tissue_types;treatment_context;processed_file_list	unknown	public	metadata_checked	independent	candidate	2026-08-07		Six patients and 15 samples are visible; matrix MTX is public and raw is in SRA, but per-patient treatment and response fields must be parsed from article supplements.
SPP-DATA-R01-04	SPP-R01	SPP-DREQ-R01-03	High-definition spatial transcriptomics of human CRC	GSE280315	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280315	NCBI GEO and 10x Genomics	colorectal cancer	primary CRC	Visium HD spatial transcriptomics	3	patient or donor	sample_count;tissue;platform;official_code_repository	unknown	public	metadata_checked	independent	candidate	2026-08-07		Three primary CRC samples only; GSE280315 is the Visium HD subseries under the paper-level super-series GSE280318. Useful for primary spatial validation and code donation but cannot validate CRLM-specific spatial claims.
SPP-DATA-R01-05	SPP-R01	SPP-DREQ-R01-04	Spatial transcriptomics of four CRC liver metastases	GSE217414	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217414	NCBI GEO	colorectal cancer liver metastasis	CRLM	Visium spatial transcriptomics	4	patient or donor	subject_count;sample_list;tissue;treatment;processed_file_list;raw_access	unknown	public	metadata_checked	independent	candidate	2026-08-07		All four patients received neoadjuvant chemotherapy; processed 113 MB archive and raw SRA are public.
SPP-DATA-R02-01	SPP-R02	SPP-DREQ-R02-01	Single-cell analyses reveal phenotypic linkage between CRC and liver metastasis	GSE164522	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164522	NCBI GEO	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent tissues	scRNA-seq	17	patient or donor	subject_count;study_design;tissue_types;processed_file_list;metadata_file	unknown	public	metadata_checked	not_applicable	candidate	2026-08-07		Candidate for three-cell-source comparison; actual tumour macrophage and fibroblast coverage must be parsed.
SPP-DATA-R02-02	SPP-R02	SPP-DREQ-R02-02	High-definition spatial transcriptomics of human CRC	GSE280315	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280315	NCBI GEO and 10x Genomics	colorectal cancer	primary CRC	Visium HD spatial transcriptomics	3	patient or donor	sample_count;tissue;platform;official_code_repository	unknown	public	metadata_checked	independent	candidate	2026-08-07		Primary CRC spatial source attribution candidate; GSE280315 is the Visium HD subseries and GSE280318 is the paper-level super-series.
SPP-DATA-R02-03	SPP-R02	SPP-DREQ-R02-03	Spatial transcriptomics of four CRC liver metastases	GSE217414	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217414	NCBI GEO	colorectal cancer liver metastasis	CRLM	Visium spatial transcriptomics	4	patient or donor	subject_count;sample_list;tissue;treatment;processed_file_list;raw_access	unknown	public	metadata_checked	independent	candidate	2026-08-07		CRLM spatial source attribution candidate; chemotherapy context must remain explicit.
SPP-DATA-R03-01	SPP-R03	SPP-DREQ-R03-01	Single-cell atlas of CRC liver metastases and preoperative chemotherapy	GSE178318	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178318	NCBI GEO	colorectal cancer liver metastasis	paired primary CRC;CRLM;PBMC	scRNA-seq	6	patient or donor	subject_ids;sample_list;tissue_types;treatment_context;processed_file_list	unknown	public	metadata_checked	not_applicable	candidate	2026-08-07		Only candidate whose title and design explicitly include treated and untreated patients; crossed site-treatment-response matrix is not yet verified.
SPP-DATA-R03-02	SPP-R03	SPP-DREQ-R03-02	Single-cell and spatial transcriptome analysis of liver metastatic CRC	GSE225857	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225857	NCBI GEO	colorectal cancer liver metastasis	primary CRC;CRLM;adjacent tissues	scRNA-seq	6	patient or donor	subject_count;study_design;treatment;processed_file_list	false	public	metadata_checked	independent	reject	2026-08-07		All patients were treated, so this cohort cannot by itself validate a treatment interaction; it may only validate treated-site patterns.
