panel	source_key	page_1based	x0_top	y0_top	x1_top	y1_top
Figure1A	MAIN_ARTICLE	36	0.010	0.075	0.397	0.375
Figure1B	MAIN_ARTICLE	36	0.395	0.045	0.640	0.430
Figure1C	MAIN_ARTICLE	36	0.630	0.045	0.995	0.420
Figure1D	MAIN_ARTICLE	36	0.000	0.405	0.350	0.855
Figure1E	MAIN_ARTICLE	36	0.350	0.405	0.790	0.855
Figure2A	MAIN_ARTICLE	37	0.005	0.045	0.445	0.210
Figure2B	MAIN_ARTICLE	37	0.005	0.220	0.215	0.435
Figure2C	MAIN_ARTICLE	37	0.005	0.490	0.995	0.995
Figure2D	MAIN_ARTICLE	37	0.215	0.220	0.435	0.435
Figure2E	MAIN_ARTICLE	37	0.485	0.045	0.995	0.454
Figure3A	MAIN_ARTICLE	38	0.005	0.045	0.435	0.365
Figure3B	MAIN_ARTICLE	38	0.428	0.045	0.995	0.365
Figure3C	MAIN_ARTICLE	38	0.005	0.385	0.440	0.785
Figure3D	MAIN_ARTICLE	38	0.420	0.365	0.995	0.674
Figure3E	MAIN_ARTICLE	38	0.440	0.678	0.995	0.802
Figure3F	MAIN_ARTICLE	38	0.005	0.760	0.440	0.995
Figure3G	MAIN_ARTICLE	38	0.465	0.805	0.995	0.995
Figure4A	MAIN_ARTICLE	39	0.005	0.040	0.255	0.330
Figure4B	MAIN_ARTICLE	39	0.250	0.040	0.500	0.330
Figure4C	MAIN_ARTICLE	39	0.500	0.040	0.750	0.330
Figure4D	MAIN_ARTICLE	39	0.745	0.040	0.995	0.330
Figure4E	MAIN_ARTICLE	39	0.005	0.330	0.500	0.450
Figure4F	MAIN_ARTICLE	39	0.005	0.455	0.500	0.995
Figure4G	MAIN_ARTICLE	39	0.505	0.330	0.995	0.450
Figure4H	MAIN_ARTICLE	39	0.505	0.455	0.995	0.995
Figure5A	MAIN_ARTICLE	40	0.005	0.040	0.340	0.222
Figure5B	MAIN_ARTICLE	40	0.340	0.040	0.655	0.222
Figure5C	MAIN_ARTICLE	40	0.670	0.040	0.995	0.225
Figure5D	MAIN_ARTICLE	40	0.005	0.225	0.342	0.425
Figure5E	MAIN_ARTICLE	40	0.005	0.440	0.342	0.556
Figure5F	MAIN_ARTICLE	40	0.345	0.225	0.995	0.557
Figure5G	MAIN_ARTICLE	40	0.005	0.555	0.342	0.820
Figure5H	MAIN_ARTICLE	40	0.335	0.555	0.995	0.815
SupplementaryFigure1A	SUPPLEMENT_PDF	1	0.005	0.010	0.500	0.995
SupplementaryFigure1B	SUPPLEMENT_PDF	1	0.520	0.010	0.995	0.995
SupplementaryFigure2A	SUPPLEMENT_PDF	3	0.005	0.005	0.355	0.2517
SupplementaryFigure2B	SUPPLEMENT_PDF	3	0.345	0.005	0.995	0.245
SupplementaryFigure2A_secondary_GSE81089	SUPPLEMENT_PDF	3	0.005	0.005	0.355	0.2517
SupplementaryFigure2B_secondary_GSE81089	SUPPLEMENT_PDF	3	0.345	0.005	0.995	0.245
SupplementaryFigure2C	SUPPLEMENT_PDF	3	0.005	0.255	0.355	0.560
