section	metric	value
Figure1C	samples	1017
Figure1C	TFs	351
Figure1C	LUAD_specific_TFs	158
Figure1C	LUSC_specific_TFs	193
Figure1C	max_abs_row_mean	4.91726729257221e-17
Figure1C	max_abs_row_sd_minus_1	1.11022302462516e-16
SupplementaryFigure1	tcga_all	1141
SupplementaryFigure1	tcga_primary	1029
SupplementaryFigure1	tcga_non_primary	112
SupplementaryFigure1	tcga_unique	1017
SupplementaryFigure1	tcga_duplicate	12
SupplementaryFigure1	gse_all	218
SupplementaryFigure1	gse_tumor	199
SupplementaryFigure1	gse_normal	19
SupplementaryFigure1	gse_target_histology	175
SupplementaryFigure1	gse_non_target_histology	24
SupplementaryFigure1	gse_target_with_expression	175
SupplementaryFigure1	gse_unmatched	0
