TF	discovery_category	externally_replicated
ARX	LUAD	TRUE
ATOH8	LUAD	TRUE
BCLAF3	LUAD	TRUE
CREB3L2	LUAD	TRUE
CREBRF	LUAD	TRUE
CRY2	LUAD	TRUE
DRGX	LUAD	TRUE
E2F5	LUAD	TRUE
ELF3	LUAD	TRUE
EPAS1	LUAD	TRUE
ESR1	LUAD	TRUE
ETV1	LUAD	TRUE
FOXA1	LUAD	TRUE
FOXA2	LUAD	TRUE
FOXA3	LUAD	TRUE
FOXD2	LUAD	TRUE
FOXP1	LUAD	TRUE
GATA5	LUAD	TRUE
HNF4G	LUAD	TRUE
HOPX	LUAD	TRUE
HOXD1	LUAD	TRUE
IKZF4	LUAD	TRUE
IRX3	LUAD	TRUE
JADE1	LUAD	TRUE
KANK2	LUAD	TRUE
KAT2B	LUAD	TRUE
LIMD1	LUAD	TRUE
LMO3	LUAD	TRUE
LPIN2	LUAD	TRUE
MAGED2	LUAD	TRUE
MDFIC	LUAD	TRUE
MEF2C	LUAD	TRUE
MSANTD1	LUAD	TRUE
MYRF	LUAD	TRUE
NCOA7	LUAD	TRUE
NFE2	LUAD	TRUE
NKX2-1	LUAD	TRUE
NOTO	LUAD	TRUE
NR0B2	LUAD	TRUE
NR1H4	LUAD	TRUE
NR2F1	LUAD	TRUE
NR3C2	LUAD	TRUE
ONECUT1	LUAD	TRUE
PHC2	LUAD	TRUE
PRDM16	LUAD	TRUE
PRDM8	LUAD	TRUE
RARA	LUAD	TRUE
RORC	LUAD	TRUE
SP5	LUAD	TRUE
SPDEF	LUAD	TRUE
TBX15	LUAD	TRUE
TBXT	LUAD	TRUE
TCF21	LUAD	TRUE
TFCP2L1	LUAD	TRUE
TOX3	LUAD	TRUE
VSX1	LUAD	TRUE
WWC1	LUAD	TRUE
WWC2	LUAD	TRUE
ZBTB10	LUAD	TRUE
ZBTB18	LUAD	TRUE
ZFHX2	LUAD	TRUE
ZFP2	LUAD	TRUE
ZNF117	LUAD	TRUE
ZNF141	LUAD	TRUE
ZNF19	LUAD	TRUE
ZNF214	LUAD	TRUE
ZNF239	LUAD	TRUE
ZNF254	LUAD	TRUE
ZNF281	LUAD	TRUE
ZNF33A	LUAD	TRUE
ZNF33B	LUAD	TRUE
ZNF382	LUAD	TRUE
ZNF396	LUAD	TRUE
ZNF429	LUAD	TRUE
ZNF441	LUAD	TRUE
ZNF467	LUAD	TRUE
ZNF483	LUAD	TRUE
ZNF486	LUAD	TRUE
ZNF493	LUAD	TRUE
ZNF540	LUAD	TRUE
ZNF597	LUAD	TRUE
ZNF608	LUAD	TRUE
ZNF620	LUAD	TRUE
ZNF671	LUAD	TRUE
ZNF678	LUAD	TRUE
ZNF681	LUAD	TRUE
ZNF69	LUAD	TRUE
ZNF717	LUAD	TRUE
ZNF737	LUAD	TRUE
ZNF75D	LUAD	TRUE
ZNF763	LUAD	TRUE
ZNF792	LUAD	TRUE
ZNF852	LUAD	TRUE
ZNF860	LUAD	TRUE
ZSCAN16	LUAD	TRUE
ACTL6A	LUSC	TRUE
AEBP2	LUSC	TRUE
ANKRD2	LUSC	TRUE
ARNTL2	LUSC	TRUE
ATAD2	LUSC	TRUE
BACH2	LUSC	TRUE
BCL11A	LUSC	TRUE
BCL11B	LUSC	TRUE
BNC1	LUSC	TRUE
BRD4	LUSC	TRUE
CEBPG	LUSC	TRUE
DLX1	LUSC	TRUE
DLX2	LUSC	TRUE
DLX5	LUSC	TRUE
DLX6	LUSC	TRUE
DMRT2	LUSC	TRUE
