TF	NES	p_value	FDR	regulon_size	logFC	AveExpr	t	P.Value	adj.P.Val	B	category
AATF	-1.36136203718283	0.17339930688618	0.323110183869876	85	-0.0971331618422436	6.09828745730482	-2.87715616064946	0.00409629405142258	0.00546789008521765	-4.31124321967439	Non-Significant
ABHD14B	3.02490462345075	0.00248711544531367	0.0199554439259285	148	0.670146175631063	5.44138209934139	16.7549026256082	7.44856642252805e-56	1.79937380809583e-54	115.696641473365	LUAD
ABRA	2.96503798370398	0.00302645559597806	0.0219579012389047	519	0.568351538029272	-4.82477249203947	6.36348997095779	2.97265466181701e-10	7.87377199981277e-10	12.1625322726545	LUAD
ACTL6A	-3.37766527923208	0.000731040061569984	0.0131202453155455	330	-1.36228268857536	6.06955542208345	-28.8591392560728	2.06454964415417e-134	5.50179334991705e-132	296.202249479727	LUSC
ACTL6B	-0.176853153737528	0.859623736390084	0.922765039167949	365	-0.0454979017991151	-5.02329744624872	-0.392483212961541	0.694783103701883	0.718404737941152	-7.62673520258909	Non-Significant
ACTR5	-0.928909133523591	0.352936179195582	0.51615970166845	52	0.0357022717904602	3.63562708681624	1.0076295096908	0.313871010593151	0.34292566087879	-7.65587188462135	Non-Significant
ACTR8	1.8386194488832	0.0659711786161266	0.169996261270271	64	0.238104904573495	4.21947273387973	9.85127743478671	6.19493505565114e-22	4.26342102550296e-21	38.14157859359	Non-Significant
ACTRT1	0.552482005530339	0.580618159664789	0.72742561177172	312	0.200616673559311	-6.29885966795512	3.79626784935347	0.000155540364944092	0.000234702721162242	-1.07616093952336	Non-Significant
ADCYAP1	0.955573822655883	0.339287592086837	0.503395513712595	108	-0.0389952622193508	-1.22516632627125	-0.291535655062997	0.770700877182369	0.790494158137293	-7.68017636459113	Non-Significant
AEBP1	0.0237584321753577	0.981045297000241	0.989264996383683	198	0.267143904036795	8.04504953739306	3.28676693922442	0.00104796130524785	0.00147506386752638	-3.30385107578235	Non-Significant
AEBP2	-2.92464171309237	0.00344853020023061	0.0232286443584664	66	-0.601611248473574	5.49792822757997	-15.6932092733638	6.94014339903302e-50	1.38492915303672e-48	101.993641788072	LUSC
AFAP1L2	-1.96338538895692	0.0496014102700263	0.14017194117745	103	-0.425537972368703	4.14470755789611	-5.09425897564737	4.16843236373099e-07	7.85755979443765e-07	4.60034673314575	Non-Significant
AHR	0.85209727817171	0.394160102541168	0.560424996385844	122	0.292442954945026	6.82122930669247	5.05611032415692	5.06942247067627e-07	9.4858329659271e-07	4.10871384166338	Non-Significant
AHRR	-0.664179970844222	0.506575131128512	0.665672908342283	122	-0.338242759224135	-3.04827446207763	-3.25477479845562	0.001172081944362	0.00164222458875845	-2.37313598180488	Non-Significant
AIRE	0.135969013742933	0.891845776883871	0.94207781304672	228	-0.216014045713546	-3.70123488327787	-1.90233941486371	0.0574078628644099	0.0685344636582351	-5.81757099241266	Non-Significant
AJUBA	-2.88959063185662	0.00385743793878029	0.0243474128892202	30	-0.875465925171287	5.26781922063895	-14.3534567870053	1.07163986011929e-42	1.6588784049833e-41	85.5312381269626	LUSC
AKIRIN1	-0.52524865916485	0.599410342693318	0.744622684365834	48	0.0312733079847587	6.12400160192869	0.924820052183564	0.355277966810166	0.385163159180307	-8.01106751705369	Non-Significant
AKIRIN2	-3.01139131085849	0.00260053483567636	0.020233281970773	29	-0.412246747787553	5.42182764921411	-14.2230782406118	5.10006556691107e-42	7.69633307376395e-41	83.9626655396519	LogFC Non-Significant
