TF	NES	p_value	FDR	regulon_size	logFC	AveExpr	t	P.Value	adj.P.Val	B	category
AATF	-2.2583065473869	0.023926554380687	0.100367234609895	112	-0.14204631147541	8.99548669201521	-2.1463356387135	0.0327559721013671	0.0992993543569115	-4.7063779689632	VIPER Significant
ABHD14B	2.38133838542552	0.0172498581262511	0.0805535192002101	123	0.433373702185792	6.92083650190114	3.68494258890715	0.000277443233538433	0.00174197065800712	-0.390922369116637	LUAD
ABRA	-0.621885464986331	0.534017183275899	0.808086991224132	14	0.0266140027322404	2.83598098859316	0.503949820548055	0.614716110723059	0.786005985897055	-6.85258984657085	Non-Significant
ACTL6A	-3.18147646240318	0.00146526428912434	0.0169028701923986	372	-1.25558142076503	8.35114448669201	-9.69154538316075	3.33411472121465e-19	4.7606662783366e-17	32.9614396345346	LUSC
ACTL6B	0.359978685186151	0.718863073295071	0.902031743641982	27	0.0580948770491802	2.84888593155894	0.632804463122129	0.527408008049973	0.721375628705097	-6.77979069910919	Non-Significant
ACTR5	0.618939912808902	0.535955943615903	0.808086991224132	78	0.177647950819672	7.1765855513308	2.15215096263981	0.032290442528575	0.0982574703608671	-4.69415413725198	Non-Significant
ACTR8	1.25783300986309	0.208452154878918	0.464986505703664	84	0.389649726775956	4.69282509505703	3.81492136041595	0.000169631649821991	0.00112274948225931	0.0694713202591855	LogFC Significant
ACTRT1	-0.405940373390198	0.684786412279634	0.894077155707122	133	-0.0376350409836067	4.97330038022814	-0.227865399614717	0.819926920135832	0.909217391019734	-6.95307253701124	Non-Significant
ADCYAP1	-0.962081059455088	0.336008887551941	0.637939197274762	65	0.0113607240437157	4.0508174904943	0.0898214193520742	0.928497100899926	0.966802292368395	-6.97489320677586	Non-Significant
AEBP1	1.18770482438266	0.234949722421299	0.505251400413313	185	0.367160109289617	9.89937642585551	2.16692874195263	0.0311330224584253	0.095495643109261	-4.66294757057285	Non-Significant
AEBP2	-2.89677744149335	0.00377017112904852	0.0256024711770918	89	-0.390114549180328	6.70128897338403	-3.89650450223405	0.000123711644852363	0.000855579636889158	0.365735239445172	LUSC
AFAP1L2	-2.80947231391504	0.00496227870288106	0.0300104232936463	69	-0.397735860655738	5.10488593155894	-2.35578018007271	0.0192140414667599	0.0644423433516985	-4.24606032952204	VIPER Significant
AHR	-1.88939452350647	0.0588389841739685	0.190430780442804	69	-0.401028756830601	6.50179467680608	-2.69330875931317	0.00752678295579174	0.029494405736109	-3.41821152683892	LogFC Significant
AHRR	-0.569408435650225	0.569078993429834	0.822059547754188	30	-0.0974532786885246	2.86684030418251	-1.43759978018163	0.151729568754495	0.320721783055908	-5.95450325776687	Non-Significant
AIRE	0.0545076922963136	0.956530680136369	0.983947164598877	246	0.00658142076502712	12.8767794676806	0.0658622880737367	0.947537216010301	0.976150374209307	-6.97674932242544	Non-Significant
ALX3	-0.294508132966441	0.768369649642126	0.928135365872875	30	-0.0524125683060111	3.39103041825095	-0.681823030620967	0.495947418838957	0.696218193747952	-6.74777606311823	Non-Significant
ALX4	-1.14488000088526	0.252258869517855	0.532546502315471	41	0.00271489071038246	2.56711406844106	0.0554604573728245	0.955813499251592	0.979594173030302	-6.9773773040607	Non-Significant
ANKRD1	2.00820116139629	0.0446219196571003	0.154644635721496	74	0.362668169398907	4.06742585551331	1.83616285787268	0.0674558527537496	0.175925141560875	-5.3118648908832	VIPER Significant
ANKRD2	-1.15536395313478	0.247941416818464	0.525492635382966	42	-0.119583538251366	2.56130418250951	-2.08688975758893	0.0378556010675911	0.111229821587734	-4.82950013965674	Non-Significant
ANKRD33	3.45824028178302	0.000543716224285971	0.0133014479900131	147	0.777617008196721	9.82569201520912	6.55856226346866	2.84073941898952e-10	7.43520280867557e-09	12.8407656792817	LUAD
ANKRD49	-1.88536484616704	0.059380596744132	0.191799327483546	64	-0.0658515027322407	7.76295437262357	-0.945231696960454	0.345403221859369	0.561111876423016	-6.53505513125742	Non-Significant
APBB1	0.156459178882473	0.875671093454456	0.969719277426941	57	-0.0641463797814209	2.8608783269962	-0.936691539862041	0.349771664770597	0.565497145324194	-6.54302599075566	Non-Significant
APBB2	0.840566581614019	0.40059078682362	0.700925374561372	119	0.0813429644808742	3.60326235741445	0.722594351442853	0.470567523062873	0.67391571351288	-6.71933566735625	Non-Significant
APBB3	0.930750723852273	0.351982524581217	0.654683749335331	215	0.111064959016393	7.52806844106464	0.962980306543126	0.336436912833463	0.551420685920893	-6.51825985535646	Non-Significant
AR	2.19074057270161	0.0284705712564293	0.112972905599836	81	0.446588592896175	3.7577566539924	3.17570005325874	0.00167181895857428	0.00816662514916854	-2.05443758237267	LUAD
ARGFX	-0.513791186318205	0.607397990676089	0.844189117850159	34	-0.0501684426229509	2.61686692015209	-1.04382537876041	0.297519200135947	0.508250301831914	-6.43783444353496	Non-Significant
ARID1A	0.711715678785503	0.476640856734741	0.761378069614688	107	0.148735450819672	9.42138022813688	1.39486362114429	0.164227155916923	0.33943217002395	-6.01428264283046	Non-Significant
ARID1B	-2.67982253549974	0.00736612007837758	0.0421854039949638	49	-0.111302049180328	2.97047908745247	-1.78081737433366	0.0760898734187749	0.192600360801871	-5.41025365359173	VIPER Significant
ARID3A	-0.175672330089255	0.860551374598311	0.964462505188253	60	-0.029300204918033	8.12217490494297	-0.248515977242598	0.803928045150459	0.900433421273755	-6.94817819920572	Non-Significant
ARID3B	-0.927011486133405	0.353920570652928	0.656990484602849	177	-0.265014344262295	7.06897338403042	-2.95275758640456	0.00343250144373812	0.0150752473983149	-2.71080360333593	LogFC Significant
ARID3C	-0.294743535390289	0.768189803279463	0.928135365872875	27	-0.100004644808743	2.88536501901141	-1.64166827485336	0.101847140683958	0.239525023375911	-5.64461872456985	Non-Significant
ARID4A	0.550854830395505	0.581733193794626	0.828482458534675	89	0.279562841530055	4.1965247148289	2.22775179371936	0.0267384016444844	0.0845989314323685	-4.5323389637306	Non-Significant
ARID4B	0.648730836682616	0.516512368980733	0.790680071946809	202	0.306300204918033	8.28356653992396	2.12355596233844	0.0346356137262691	0.103882317496679	-4.75395329684444	Non-Significant
ARID5A	0.360375696389212	0.71856619884071	0.902031743641982	94	-0.207899795081967	4.42197718631179	-1.80935050493743	0.0715317028688259	0.183789907007084	-5.35989648597067	Non-Significant
ARID5B	1.23154107655823	0.218120563448781	0.479924672983353	126	-0.0731795765027323	9.81611787072243	-0.730445600570497	0.465764307787793	0.670548637517534	-6.7136700892887	Non-Significant
ARNT	0.990028152470581	0.322160358829091	0.620869903948665	170	0.30438019125683	4.5707680608365	2.49153585482182	0.013332385723195	0.0476121842828051	-3.92577857738874	LogFC Significant
ARNT2	1.05772641732	0.290180187851046	0.57935293656428	50	-0.0238641393442624	5.88135741444867	-0.13193826971784	0.895133420462848	0.949330732922335	-6.97024571671606	Non-Significant
ARNTL	0.746283909899473	0.455495929031073	0.746828350644856	98	0.107007103825136	6.66935741444867	0.841453327514833	0.400854088192243	0.614898023406184	-6.62704330780785	Non-Significant
ARNTL2	-2.88418561900746	0.00392427369150553	0.0265175816392529	48	-0.297842008196721	2.96536882129278	-3.94907159872985	0.000100661144532732	0.000715637384459836	0.559585473644167	LUSC
ARX	-1.01279862998851	0.311156355238753	0.606173116659332	29	0.132221516393443	3.37523954372624	1.10224447989267	0.271357285370996	0.478396368371167	-6.37571951630423	Non-Significant
ASCC1	-1.39411601992109	0.163282572303024	0.392306948011526	96	-0.188793784153006	9.07747148288973	-2.24226269696925	0.0257732733211366	0.0819944316848175	-4.50066447633343	Non-Significant
ASCC2	0.154690591920527	0.877065247272061	0.969719277426941	107	-0.0811597677595631	10.4871901140684	-0.966408497712645	0.334722553928333	0.549532228579711	-6.51498005379996	Non-Significant
