TF	discovery_category	externally_replicated
ABHD14B	LUAD	FALSE
ABRA	LUAD	FALSE
APBB1	LUAD	FALSE
ARX	LUAD	TRUE
ASCL5	LUAD	FALSE
ATOH8	LUAD	TRUE
BATF3	LUAD	FALSE
BCLAF3	LUAD	TRUE
CIITA	LUAD	FALSE
CREB3L2	LUAD	TRUE
CREBRF	LUAD	TRUE
CRY2	LUAD	TRUE
CSRNP1	LUAD	FALSE
DMRTC2	LUAD	FALSE
DRGX	LUAD	TRUE
E2F5	LUAD	TRUE
ELF3	LUAD	TRUE
ELF5	LUAD	FALSE
EPAS1	LUAD	TRUE
ESR1	LUAD	TRUE
ETV1	LUAD	TRUE
FOXA1	LUAD	TRUE
FOXA2	LUAD	TRUE
FOXA3	LUAD	TRUE
FOXD2	LUAD	TRUE
FOXP1	LUAD	TRUE
FOXP4	LUAD	FALSE
GATA5	LUAD	TRUE
GATA6	LUAD	FALSE
GCM1	LUAD	FALSE
GLIS3	LUAD	FALSE
HNF1A	LUAD	FALSE
HNF1B	LUAD	FALSE
HNF4G	LUAD	TRUE
HOPX	LUAD	TRUE
HOXD1	LUAD	TRUE
IKZF4	LUAD	TRUE
IL4	LUAD	FALSE
INSM2	LUAD	FALSE
IRF7	LUAD	FALSE
IRX3	LUAD	TRUE
JADE1	LUAD	TRUE
KANK2	LUAD	TRUE
KAT2B	LUAD	TRUE
KLF2	LUAD	FALSE
KLF9	LUAD	FALSE
LHX9	LUAD	FALSE
LIMD1	LUAD	TRUE
LMO3	LUAD	TRUE
LPIN2	LUAD	TRUE
LYL1	LUAD	FALSE
MAGEC3	LUAD	FALSE
MAGED2	LUAD	TRUE
MAGEE2	LUAD	FALSE
MDFIC	LUAD	TRUE
MEF2C	LUAD	TRUE
MEF2D	LUAD	FALSE
MEIS3P1	LUAD	FALSE
MEIS3P2	LUAD	FALSE
MESP1	LUAD	FALSE
MITF	LUAD	FALSE
MLLT3	LUAD	FALSE
MLLT6	LUAD	FALSE
MSANTD1	LUAD	TRUE
MXD4	LUAD	FALSE
MYRF	LUAD	TRUE
MYRFL	LUAD	FALSE
NANOGP1	LUAD	FALSE
NCOA7	LUAD	TRUE
NEUROG3	LUAD	FALSE
NFATC2	LUAD	FALSE
NFATC4	LUAD	FALSE
NFE2	LUAD	TRUE
NKX2-1	LUAD	TRUE
NOTO	LUAD	TRUE
NR0B2	LUAD	TRUE
NR1H4	LUAD	TRUE
NR2F1	LUAD	TRUE
NR2F6	LUAD	FALSE
NR3C2	LUAD	TRUE
OLIG1	LUAD	FALSE
ONECUT1	LUAD	TRUE
PHC2	LUAD	TRUE
POU1F1	LUAD	FALSE
PPARGC1A	LUAD	FALSE
PRDM16	LUAD	TRUE
PRDM8	LUAD	TRUE
RARA	LUAD	TRUE
RORB	LUAD	FALSE
RORC	LUAD	TRUE
SAMD11	LUAD	FALSE
SMAD6	LUAD	FALSE
SMAD7	LUAD	FALSE
SP110	LUAD	FALSE
SP5	LUAD	TRUE
SPDEF	LUAD	TRUE
TBX15	LUAD	TRUE
TBX4	LUAD	FALSE
TBXT	LUAD	TRUE
TCF21	LUAD	TRUE
TFCP2L1	LUAD	TRUE
TOX3	LUAD	TRUE
TP53INP1	LUAD	FALSE
VDR	LUAD	FALSE
VENTX	LUAD	FALSE
VSX1	LUAD	TRUE
WTIP	LUAD	FALSE
WWC1	LUAD	TRUE
WWC2	LUAD	TRUE
XBP1	LUAD	FALSE
ZBTB10	LUAD	TRUE
ZBTB16	LUAD	FALSE
ZBTB18	LUAD	TRUE
ZBTB42	LUAD	FALSE
ZBTB46	LUAD	FALSE
ZFHX2	LUAD	TRUE
ZFP2	LUAD	TRUE
ZFP57	LUAD	FALSE
ZMYND15	LUAD	FALSE
ZNF117	LUAD	TRUE
ZNF141	LUAD	TRUE
ZNF19	LUAD	TRUE
ZNF214	LUAD	TRUE
ZNF239	LUAD	TRUE
ZNF254	LUAD	TRUE
ZNF281	LUAD	TRUE
ZNF33A	LUAD	TRUE
ZNF33B	LUAD	TRUE
ZNF341	LUAD	FALSE
ZNF382	LUAD	TRUE
ZNF396	LUAD	TRUE
ZNF429	LUAD	TRUE
ZNF441	LUAD	TRUE
ZNF444	LUAD	FALSE
ZNF467	LUAD	TRUE
ZNF483	LUAD	TRUE
ZNF486	LUAD	TRUE
ZNF493	LUAD	TRUE
ZNF540	LUAD	TRUE
ZNF541	LUAD	FALSE
ZNF597	LUAD	TRUE
ZNF608	LUAD	TRUE
ZNF620	LUAD	TRUE
ZNF662	LUAD	FALSE
ZNF671	LUAD	TRUE
ZNF678	LUAD	TRUE
ZNF681	LUAD	TRUE
ZNF69	LUAD	TRUE
ZNF710	LUAD	FALSE
