depmap_id	cell_line_name	stripped_cell_line_name	cell_line	aliases	cosmic_id	sex	source	RRID	WTSI_master_cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	subtype_disease	age	sanger_id	additional_info	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	default_growth_pattern	model_manipulation	model_manipulation_details	patient_id	parent_depmap_id	Cellosaurus_NCIt_disease	Cellosaurus_NCIt_id	Cellosaurus_issues	group	sample_id	system
ACH-000012	HCC827	HCC827	HCC827_LUNG	""	1240146	Female	DepMap_22Q2	CVCL_2063	354	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	39	SIDM01067	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-NdspH5	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000012	cell_line
ACH-000021	NCI-H1693	NCIH1693	NCIH1693_LUNG	""	687802	Female	DepMap_22Q2	CVCL_1488	634	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	55	SIDM00742	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-9p1WQv	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000021	cell_line
ACH-000029	HCC-827-GR5	HCC827GR5	HCC827GR5_LUNG	HCC827 GR5		Female	DepMap_22Q2	CVCL_V622		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	39	""	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-NdspH5	ACH-000012	Lung adenocarcinoma	C3512	""	LUAD	ACH-000029	cell_line
ACH-000030	PC-14	PC14	PC14_LUNG	""	753608	Male	DepMap_22Q2	CVCL_1640	198	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	45	SIDM00237	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-nDRyc6	ACH-000779	Lung adenocarcinoma	C3512	TP53 mutation indicated incorrectly as being at c.742C>T in PubMed=10536175 and PubMed=20557307	LUAD	ACH-000030	cell_line
ACH-000033	NCI-H1819	NCIH1819	NCIH1819_LUNG	""		Female	DepMap_22Q2	CVCL_1497		lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	55	""	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-9p1WQv	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000033	cell_line
ACH-000035	NCI-H1650	NCIH1650	NCIH1650_LUNG	""	687800	Male	DepMap_22Q2	CVCL_1483	1548	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	27	SIDM00745	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-5LVIPg	""	Minimally invasive lung adenocarcinoma	C2923	""	LUAD	ACH-000035	cell_line
ACH-000062	RERF-LC-MS	RERFLCMS	RERFLCMS_LUNG	""	910931	Male	DepMap_22Q2	CVCL_1655	2051	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	SIDM00355	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-Rt0hf4	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000062	cell_line
ACH-000066	HCC4006	HCC4006	HCC4006_LUNG	""		Male	DepMap_22Q2	CVCL_1269		pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Adult	""	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-QxlnnP	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000066	cell_line
ACH-000109	NCI-H3255	NCIH3255	NCIH3255_LUNG	""		Female	DepMap_22Q2	CVCL_6831		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	52	SIDM00046	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-Zwpb82	""	Lung adenocarcinoma	C3512	Removed from DepMap;	LUAD	ACH-000109	cell_line
ACH-000121	NCI-H2405	NCIH2405	NCIH2405_LUNG	""	687821	Male	DepMap_22Q2	CVCL_1551	82	ascites	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	47	SIDM00724	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: mixed adherent and suspension			PT-5S5Gmg	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000121	cell_line
ACH-000150	HCC2935	HCC2935	HCC2935_LUNG	""		Male	DepMap_22Q2	CVCL_1265		pleural_effusion	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	39	""	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-H39843	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000150	cell_line
ACH-000161	COR-L105	CORL105	CORL105_LUNG	""	906805	Male	DepMap_22Q2	CVCL_1138	22	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	SIDM00513	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-G4xjbZ	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000161	cell_line
ACH-000176	LOU-NH91	LOUNH91	LOUNH91_LUNG	""	1298226	Female	DepMap_22Q2	CVCL_2104	1506	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	64	SIDM00341	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-wKL1PE	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000176	cell_line
ACH-000261	RERF-LC-AI	RERFLCAI	RERFLCAI_LUNG	""		Male	DepMap_22Q2	CVCL_4402		pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	""	SIDM00307	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-9jciof	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000261	cell_line
ACH-000282	NCI-H1755	NCIH1755	NCIH1755_LUNG	""	908475	Female	DepMap_22Q2	CVCL_1492	1240	liver	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	65	SIDM00738	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: mixed adherent and suspension			PT-tUaDvw	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000282	cell_line
ACH-000311	NCI-H2122	NCIH2122	NCIH2122_LUNG	""	722046	Female	DepMap_22Q2	CVCL_1531	1015	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	46	SIDM00702	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: suspension			PT-6IoG5q	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000311	cell_line
ACH-000314	HCC-2108	HCC2108	HCC2108_LUNG	""		Male	DepMap_22Q2	CVCL_A352		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	59	""	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-HLJ5qp	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000314	cell_line
