depmap_id	sample_id	group	sex	age_at_diagnosis	primary_or_metastasis	sample_collection_site	lineage_molecular_subtype	growth_pattern	age_group	selected_mutations	oncogene_mutation	suppressor_pathway_mutation	annotation_sources
ACH-000012	ACH-000012	LUAD	Female	39	Primary	lung		2D: adherent	<=60	EGFR;TP53	EGFR	TP53	DepMap 22Q2 model metadata and mutation calls
ACH-000021	ACH-000021	LUAD	Female	55	Metastasis	lymph_node		2D: adherent	<=60	ALK;TP53	ALK	TP53	DepMap 22Q2 model metadata and mutation calls
ACH-000029	ACH-000029	LUAD	Female	39	Primary	lung			<=60	EGFR;RET;TP53	EGFR	TP53	DepMap 22Q2 model metadata and mutation calls
ACH-000030	ACH-000030	LUAD	Male	45	Primary	lung		2D: adherent	<=60	CDKN2A;EGFR;TP53	EGFR	Multiple	DepMap 22Q2 model metadata and mutation calls
ACH-000033	ACH-000033	LUAD	Female	55	Metastasis	lymph_node			<=60	TP53	None detected	TP53	DepMap 22Q2 model metadata and mutation calls
ACH-000035	ACH-000035	LUAD	Male	27	Metastasis	pleural_effusion		2D: adherent	<=60	EGFR;TP53	EGFR	TP53	DepMap 22Q2 model metadata and mutation calls
ACH-000062	ACH-000062	LUAD	Male		Primary	lung		2D: adherent		KEAP1;TP53	None detected	Multiple	DepMap 22Q2 model metadata and mutation calls
ACH-000066	ACH-000066	LUAD	Male		Metastasis	pleural_effusion		2D: adherent		EGFR;TP53	EGFR	TP53	DepMap 22Q2 model metadata and mutation calls
ACH-000109	ACH-000109	LUAD	Female	52	Primary	lung		2D: adherent	<=60	EGFR;TP53	EGFR	TP53	DepMap 22Q2 model metadata and mutation calls
ACH-000121	ACH-000121	LUAD	Male	47	Metastasis	ascites		2D: mixed adherent and suspension	<=60	BRAF;TP53	BRAF	TP53	DepMap 22Q2 model metadata and mutation calls
ACH-000150	ACH-000150	LUAD	Male	39	Primary	pleural_effusion		2D: adherent	<=60	EGFR;KEAP1;PTEN;TP53	EGFR	Multiple	DepMap 22Q2 model metadata and mutation calls
ACH-000161	ACH-000161	LUAD	Male		Metastasis	pleural_effusion		2D: adherent		None detected	None detected	None detected	DepMap 22Q2 model metadata and mutation calls
ACH-000176	ACH-000176	LUSC	Female	64	Primary	lung		2D: adherent	61-70	EGFR;PIK3CA;TP53	EGFR	TP53	DepMap 22Q2 model metadata and mutation calls
ACH-000261	ACH-000261	LUSC	Male		Metastasis	pleural_effusion		2D: adherent		ERBB2;NF1;TP53	ERBB2	Multiple	DepMap 22Q2 model metadata and mutation calls
ACH-000282	ACH-000282	LUAD	Female	65	Metastasis	liver		2D: mixed adherent and suspension	61-70	ALK;BRAF;KEAP1;STK11;TP53	BRAF	Multiple	DepMap 22Q2 model metadata and mutation calls
ACH-000311	ACH-000311	LUAD	Female	46	Metastasis	pleural_effusion		2D: suspension	<=60	KEAP1;KRAS;STK11;TP53	KRAS	Multiple	DepMap 22Q2 model metadata and mutation calls
ACH-000314	ACH-000314	LUAD	Male	59	Primary	lung		2D: adherent	<=60	KRAS;STK11;TP53	KRAS	Multiple	DepMap 22Q2 model metadata and mutation calls
ACH-000327	ACH-000327	LUAD	Female	55	Primary	lung		2D: adherent	<=60	BRAF;STK11	BRAF	STK11	DepMap 22Q2 model metadata and mutation calls
ACH-000337	ACH-000337	LUAD	Male			lung				NF1;ROS1;TP53	ROS1	Multiple	DepMap 22Q2 model metadata and mutation calls
ACH-000339	ACH-000339	LUAD	Male	69		lung			61-70	EGFR;KRAS;PTEN;TP53	EGFR	Multiple	DepMap 22Q2 model metadata and mutation calls
ACH-000343	ACH-000343	LUAD	Male	58	Primary	lung			<=60	RET;TP53	RET	TP53	DepMap 22Q2 model metadata and mutation calls
ACH-000367	ACH-000367	LUSC	Male		Metastasis	pleural_effusion				EGFR	EGFR	None detected	DepMap 22Q2 model metadata and mutation calls
ACH-000379	ACH-000379	LUAD	Female	66	Metastasis	pleural_effusion		2D: adherent	61-70	ERBB2;PTEN;TP53	ERBB2	Multiple	DepMap 22Q2 model metadata and mutation calls
