cohort	field	total_n	available_n	coverage
TCGA	sex	1017	1017	1
TCGA	age_group	1017	989	0.972468043264503
TCGA	stage	1017	1005	0.988200589970501
TCGA	pack_year_group	1017	775	0.76204523107178
TCGA	published_expression_subtype	1017	408	0.40117994100295
TCGA	oncogene_mutation	1017	1017	1
TCGA	suppressor_pathway_mutation	1017	1017	1
GSE81089	sex	173	173	1
GSE81089	age_group	173	173	1
GSE81089	stage	173	173	1
GSE81089	smoking_status	173	173	1
GSE81089	vital_status	173	173	1
PDMR_PDX	sex	56	56	1
PDMR_PDX	age_group	56	56	1
PDMR_PDX	known_metastatic_disease	56	17	0.303571428571429
PDMR_PDX	has_smoked_100_cigarettes	56	56	1
PDMR_PDX	biopsy_site	56	55	0.982142857142857
PDMR_PDX	tissue_type	56	56	1
PDMR_PDX	molecular_record	56	13	0.232142857142857
DepMap_22Q2	sex	103	102	0.990291262135922
DepMap_22Q2	age_group	103	83	0.805825242718447
DepMap_22Q2	primary_or_metastasis	103	94	0.912621359223301
DepMap_22Q2	sample_collection_site	103	103	1
DepMap_22Q2	growth_pattern	103	79	0.766990291262136
DepMap_22Q2	oncogene_mutation	103	103	1
DepMap_22Q2	suppressor_pathway_mutation	103	103	1
