TF	NES	p_value	FDR	regulon_size
ABHD14B	2.61715648827018	0.0088665682089122	0.0551274666725228	153
ABRA	-0.0351611044762586	0.97195127717128	0.999927879915109	2
ACTL6A	-2.99705303372602	0.00272603284846062	0.0263167017293698	142
ACTL6B	0.795533888133401	0.42630300640093	0.767831636487575	2
ACTR5	0.428955502299334	0.667955607741967	0.91117857360453	9
ACTR8	2.86364436490524	0.0041879792352208	0.0323440857858591	22
ACTRT1	-0.187405380825436	0.851342804056572	0.994553520833191	2
ADCYAP1	0.88071710449544	0.378470956591391	0.729077143134758	14
AEBP1	-0.111853828896198	0.91093930598715	0.999927879915109	183
AEBP2	-3.17204427553551	0.00151369927410486	0.0217633093901877	39
AFAP1L2	-0.48900356048858	0.624839176132971	0.8942815863685	22
AHR	1.90789421473891	0.0564048901750294	0.214916545486639	20
AHRR	-0.58911212621434	0.555786059391363	0.85714866390778	7
AIRE	-1.08233600794944	0.279103251538584	0.623403035694635	33
AJUBA	-3.00047893646832	0.00269555396404318	0.0262939152328268	12
AKIRIN1	0.793854246008587	0.427280288453313	0.767831636487575	38
AKIRIN2	-2.60548037664989	0.0091745528808841	0.0559954473702592	51
ALX1	-1.35286335674977	0.176099287661485	0.47147649283235	5
ALX3	-2.01265617326736	0.0441508130293965	0.179827246578151	11
ALX4	-2.43352119242791	0.0149527600778948	0.0813689491501701	16
ANHX	0.00237542090335253	0.998104690118227	0.999927879915109	6
ANKRD1	0.575435093262435	0.564997075921441	0.86538072345557	9
ANKRD2	-2.70878355366593	0.00675303793490522	0.0455240218564572	74
ANKRD33	-0.900015274439303	0.368112122143393	0.719319897209375	14
ANKRD49	-0.244002705829536	0.807228724299466	0.969911984135431	16
APBB1	1.32520488035457	0.185103207127	0.483338413408344	57
APBB2	1.01123526220868	0.311903842382981	0.657354278663789	59
APBB3	-0.680866341760917	0.495956067210054	0.812963088128806	161
AR	2.83047523643599	0.00464789090386269	0.0337833750874641	65
ARGFX	-0.0511428780209879	0.959211668958763	0.999927879915109	5
ARID1A	1.90058820839831	0.0573559712082424	0.216802173823385	28
ARID1B	-1.57106598296801	0.116167323063173	0.356128220932597	22
ARID3A	-1.39473767978702	0.163094957930431	0.451626927825154	40
ARID3B	-2.85615995204687	0.00428799052491651	0.0324407660620246	39
ARID3C	-0.0153153783646638	0.98778057376161	0.999927879915109	7
ARID4A	2.35424865289006	0.0185601909884539	0.0953167864573284	100
ARID4B	1.6737697309618	0.0941758633399503	0.310008415715771	19
ARID5A	-0.899742317582748	0.368257397575318	0.719319897209375	143
ARID5B	-0.521096334692251	0.602299664154756	0.888541345426718	17
ARNT	0.832828399084554	0.404941515742198	0.757276935027905	36
ARNT2	0.868030798741788	0.385377472421673	0.735587418842888	8
ARNTL	0.109474308685528	0.912826297977006	0.999927879915109	12
ARNTL2	-3.51569459782157	0.000438605199017385	0.0193395427209346	105
ARX	3.54691141642003	0.000389775626112845	0.0193395427209346	68
ASCC1	0.052891740905324	0.95781816498946	0.999927879915109	8
ASCC2	-2.37660257391111	0.0174729025825874	0.0918470900152762	42
ASCL1	1.02219014640758	0.306690913535175	0.654451086696974	17
ASCL2	-1.82642814886837	0.0677857950203446	0.245065331175006	25
