TF	NES	p_value	FDR	regulon_size	logFC	AveExpr	t	P.Value	adj.P.Val	B	category
ABHD14B	2.61715648827018	0.0088665682089122	0.0551274666725228	153	0.499519817018984	4.94033883580879	5.7265484645817	4.39229131447378e-08	5.70751112942576e-07	7.46386054545174	LUAD
ABRA	-0.0351611044762586	0.97195127717128	0.999927879915109	2	0.0109589771473833	-4.72193241715583	0.0425149323391529	0.966136775600872	0.978131311193863	-6.71153936917626	Non-Significant
ACTL6A	-2.99705303372602	0.00272603284846062	0.0263167017293698	142	-1.11638679251867	6.5324481937291	-11.3407916155866	1.08591795404942e-22	1.30018872964139e-20	40.553122188615	LUSC
ACTL6B	0.795533888133401	0.42630300640093	0.767831636487575	2	0.0843922157449122	-5.89770015401122	0.305723034801388	0.760179637948966	0.832705494826518	-7.09003674236251	Non-Significant
ACTR5	0.428955502299334	0.667955607741967	0.91117857360453	9	0.0805268216773467	3.63579873368839	1.08930221434765	0.277521434953599	0.402525437747813	-6.86437229705573	Non-Significant
ACTR8	2.86364436490524	0.0041879792352208	0.0323440857858591	22	0.148318574744009	4.88197671384573	2.55207491198847	0.0115650964630231	0.0396467625190607	-4.39426137236813	LUAD
ACTRT1	-0.187405380825436	0.851342804056572	0.994553520833191	2	-0.0762913287178234	-6.59610846503675	-0.669031229770285	0.504358976658016	0.624280870964458	-7.49263491704078	Non-Significant
ADCYAP1	0.88071710449544	0.378470956591391	0.729077143134758	14	-0.0132786789998371	0.614994681590661	-0.0463311995838656	0.963099208185187	0.976065849585968	-7.11291021764841	Non-Significant
AEBP1	-0.111853828896198	0.91093930598715	0.999927879915109	183	0.0130743973593243	7.76625916512054	0.078422785178984	0.93758152947224	0.958200753323379	-7.96380158751325	Non-Significant
AEBP2	-3.17204427553551	0.00151369927410486	0.0217633093901877	39	-0.503121823359806	5.91028722941958	-7.03904534067827	4.2483955598412e-11	9.14870319331694e-10	14.1600618740947	LUSC
AFAP1L2	-0.48900356048858	0.624839176132971	0.8942815863685	22	-0.524661674609384	4.27075311391395	-3.45841658866599	0.000682621852169052	0.00349878077855302	-1.72964331498762	LogFC Significant
AHR	1.90789421473891	0.0564048901750294	0.214916545486639	20	0.285267929000452	8.20212406298663	2.40085400270434	0.0174071388125914	0.0556408889314317	-5.17783169548101	Non-Significant
AHRR	-0.58911212621434	0.555786059391363	0.85714866390778	7	-0.790698734245498	0.636674044570671	-3.99995485029439	9.34216588110352e-05	0.000601652916168345	0.529837088373594	LogFC Significant
AIRE	-1.08233600794944	0.279103251538584	0.623403035694635	33	-0.708471188576372	-3.12734085291739	-2.44256787861168	0.0155790868885441	0.0507364745862691	-3.85420878735091	Non-Significant
AJUBA	-3.00047893646832	0.00269555396404318	0.0262939152328268	12	-0.746608488693809	5.15847236747767	-5.19467336118721	5.66910917029696e-07	5.98378529848021e-06	4.9522432010063	LUSC
AKIRIN1	0.793854246008587	0.427280288453313	0.767831636487575	38	0.0747625349367875	6.46862512217879	1.12116280386975	0.263757820766739	0.387045605661859	-7.16767412534538	Non-Significant
AKIRIN2	-2.60548037664989	0.0091745528808841	0.0559954473702592	51	-0.341196184012249	4.97220193616215	-6.27454743392672	2.67951862448984e-09	4.30126134781672e-08	10.1935455372095	LUSC
ALX1	-1.35286335674977	0.176099287661485	0.47147649283235	5	-1.46648127539542	-4.10951936077294	-3.49622305071694	0.000598323379693546	0.00311566552385241	-0.856405420955795	LogFC Significant
ALX3	-2.01265617326736	0.0441508130293965	0.179827246578151	11	-0.478498133744445	-5.67394906434244	-1.87502685713194	0.0624583792236221	0.154893371274099	-5.25713154850391	VIPER Significant
