submission	dataset	canonical_submission	experiment	run	biosample	sra_sample	cell_line	duration	library_name	library_strategy	library_layout	platform	instrument_model	is_dmso_control	status	accessibility
DRA006908	Dataset2_panel_23_lines	TRUE	DRX128869	DRR136131	SAMD00124264	DRS134680	A427	24h	ATAC-seq_A427_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006909	Dataset2_panel_23_lines	TRUE	DRX128956	DRR136218	SAMD00124351	DRS130509	A549	24h	ATAC-seq_A549_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006910	Dataset2_panel_23_lines	TRUE	DRX129051	DRR136313	SAMD00124446	DRS134313	ABC-1	24h	ATAC-seq_ABC-1_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006911	Dataset2_panel_23_lines	TRUE	DRX129145	DRR136407	SAMD00124540	DRS130604	H322	24h	ATAC-seq_H322_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006913	Dataset2_panel_23_lines	TRUE	DRX129323	DRR136585	SAMD00124718	DRS134131	H1648	24h	ATAC-seq_H1648_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006914	Dataset2_panel_23_lines	TRUE	DRX129417	DRR136679	SAMD00124812	DRS134407	H1650	24h	ATAC-seq_H1650_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006916	Dataset2_panel_23_lines	TRUE	DRX129604	DRR136866	SAMD00124999	DRS135749	H1819	24h	ATAC-seq_H1819_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006917	Dataset2_panel_23_lines	TRUE	DRX129699	DRR136961	SAMD00125094	DRS131882	H1975	24h	ATAC-seq_H1975_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006919	Dataset2_panel_23_lines	TRUE	DRX129875	DRR137137	SAMD00125270	DRS133603	H2228	24h	ATAC-seq_H2228_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006920	Dataset2_panel_23_lines	TRUE	DRX129964	DRR137226	SAMD00125359	DRS131133	H2347	24h	ATAC-seq_H2347_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006921	Dataset2_panel_23_lines	TRUE	DRX130050	DRR137312	SAMD00125445	DRS135562	II-18	24h	ATAC-seq_II-18_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006922	Dataset2_panel_23_lines	TRUE	DRX130140	DRR137402	SAMD00125535	DRS134225	LC2/ad	24h	ATAC-seq_LC2/ad_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006923	Dataset2_panel_23_lines	TRUE	DRX130228	DRR137490	SAMD00125623	DRS136996	PC-9	24h	ATAC-seq_PC-9_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006924	Dataset2_panel_23_lines	TRUE	DRX130311	DRR137573	SAMD00125706	DRS131794	PC-14	24h	ATAC-seq_PC-14_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006925	Dataset2_panel_23_lines	TRUE	DRX130399	DRR137661	SAMD00125794	DRS132399	RERF-LC-Ad1	24h	ATAC-seq_RERF-LC-Ad1_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006926	Dataset2_panel_23_lines	TRUE	DRX130484	DRR137746	SAMD00125879	DRS136020	RERF-LC-Ad2	24h	ATAC-seq_RERF-LC-Ad2_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006927	Dataset2_panel_23_lines	TRUE	DRX130578	DRR137840	SAMD00125973	DRS135118	RERF-LC-KJ	24h	ATAC-seq_RERF-LC-KJ_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006928	Dataset2_panel_23_lines	TRUE	DRX130670	DRR137932	SAMD00126065	DRS135927	RERF-LC-MS	24h	ATAC-seq_RERF-LC-MS_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
DRA006930	Dataset2_panel_23_lines	TRUE	DRX130854	DRR138116	SAMD00126249	DRS134588	VMRC-LCD	24h	ATAC-seq_VMRC-LCD_24h_A01_DMSO_0.1%	ATAC-seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	TRUE	public	open
