cell_line	canonical_atac_submission	depmap_id	depmap_subtype	cellosaurus_id	cellosaurus_disease	cellosaurus_issue	classification_source	evidence_url	figure2_primary_include	broad_nsclc_sensitivity_include	author_panel_reconstruction_include	decision
A427	DRA006908	ACH-000757	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1055	Lung adenocarcinoma		DepMap 22Q2 model annotation + embedded Cellosaurus fields	https://www.cellosaurus.org/CVCL_1055	TRUE	TRUE	TRUE	include_strict_LUAD
A549	DRA006909	ACH-000681	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_0023	Lung adenocarcinoma		DepMap 22Q2 model annotation + embedded Cellosaurus fields	https://www.cellosaurus.org/CVCL_0023	TRUE	TRUE	TRUE	include_strict_LUAD
ABC-1	DRA006910	ACH-000528	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1066	Lung adenocarcinoma		DepMap 22Q2 model annotation + embedded Cellosaurus fields	https://www.cellosaurus.org/CVCL_1066	TRUE	TRUE	TRUE	include_strict_LUAD
H1299	DRA006912			CVCL_0060	Lung large cell carcinoma		Cellosaurus direct record	https://www.cellosaurus.org/CVCL_0060	FALSE	TRUE	TRUE	exclude_primary_include_broad_NSCLC_sensitivity
H1648	DRA006913	ACH-000766	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1482	Lung adenocarcinoma		DepMap 22Q2 model annotation + embedded Cellosaurus fields	https://www.cellosaurus.org/CVCL_1482	TRUE	TRUE	TRUE	include_strict_LUAD
H1650	DRA006914	ACH-000035	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1483	Minimally invasive lung adenocarcinoma		DepMap 22Q2 model annotation + embedded Cellosaurus fields	https://www.cellosaurus.org/CVCL_1483	TRUE	TRUE	TRUE	include_strict_LUAD
H1703	DRA006915	ACH-000747	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1490	Lung squamous cell carcinoma	Indicated to have a TP53 p.Glu285Lys (c.853G>A) mutation according to PubMed=1311061	DepMap 22Q2 model annotation + embedded Cellosaurus fields	https://www.cellosaurus.org/CVCL_1490	FALSE	FALSE	TRUE	exclude_LUSC
H1819	DRA006916	ACH-000033	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1497	Lung adenocarcinoma		DepMap 22Q2 model annotation + embedded Cellosaurus fields	https://www.cellosaurus.org/CVCL_1497	TRUE	TRUE	TRUE	include_strict_LUAD
H1975	DRA006917	ACH-000587	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1511	Lung adenocarcinoma		DepMap 22Q2 model annotation + embedded Cellosaurus fields	https://www.cellosaurus.org/CVCL_1511	TRUE	TRUE	TRUE	include_strict_LUAD
H2126	DRA006918	ACH-000785	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1532	Lung large cell carcinoma		DepMap 22Q2 model annotation + embedded Cellosaurus fields	https://www.cellosaurus.org/CVCL_1532	FALSE	TRUE	TRUE	exclude_primary_include_broad_NSCLC_sensitivity
