system	sample_id	sample_slug	peak_path	bam_path	peak_definition	idr_status
patient	TCGA-44-3918	TCGA-44-3918	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-44-3918.bed.gz	NA	GDC_open_counts_CPM1_both_technical_replicates	not_rerun_open_fixed_peak_matrix
patient	TCGA-44-6146	TCGA-44-6146	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-44-6146.bed.gz	NA	GDC_open_counts_CPM1_both_technical_replicates	not_rerun_open_fixed_peak_matrix
patient	TCGA-44-A47F	TCGA-44-A47F	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-44-A47F.bed.gz	NA	GDC_open_counts_CPM1_both_technical_replicates	not_rerun_open_fixed_peak_matrix
patient	TCGA-49-AARO	TCGA-49-AARO	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-49-AARO.bed.gz	NA	GDC_open_counts_CPM1_both_technical_replicates	not_rerun_open_fixed_peak_matrix
patient	TCGA-4B-A93V	TCGA-4B-A93V	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-4B-A93V.bed.gz	NA	GDC_open_counts_CPM1_both_technical_replicates	not_rerun_open_fixed_peak_matrix
patient	TCGA-73-A9RS	TCGA-73-A9RS	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-73-A9RS.bed.gz	NA	GDC_open_counts_CPM1_both_technical_replicates	not_rerun_open_fixed_peak_matrix
patient	TCGA-86-A4D0	TCGA-86-A4D0	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-86-A4D0.bed.gz	NA	GDC_open_counts_CPM1_both_technical_replicates	not_rerun_open_fixed_peak_matrix
patient	TCGA-86-A4P7	TCGA-86-A4P7	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-86-A4P7.bed.gz	NA	GDC_open_counts_CPM1_both_technical_replicates	not_rerun_open_fixed_peak_matrix
patient	TCGA-86-A4P8	TCGA-86-A4P8	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-86-A4P8.bed.gz	NA	GDC_open_counts_CPM1_both_technical_replicates	not_rerun_open_fixed_peak_matrix
patient	TCGA-91-A4BC	TCGA-91-A4BC	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-91-A4BC.bed.gz	NA	GDC_open_counts_CPM1_both_technical_replicates	not_rerun_open_fixed_peak_matrix
