system	sample_id	sample_slug	run	layout	host_depletion	source_accession	independent_biological_unit	figure2_primary_include
PDX	MGH10022	MGH10022	SRR29662772	PAIRED	mouse_then_human	GSE269746	MGH10022	TRUE
PDX	MGH1062	MGH1062	SRR29662769	PAIRED	mouse_then_human	GSE269746	MGH1062	TRUE
PDX	MGH1065	MGH1065	SRR29662768	PAIRED	mouse_then_human	GSE269746	MGH1065	TRUE
PDX	MGH1068	MGH1068	SRR29662767	PAIRED	mouse_then_human	GSE269746	MGH1068	TRUE
PDX	MGH1089	MGH1089	SRR29662766	PAIRED	mouse_then_human	GSE269746	MGH1089	TRUE
PDX	MGH1109	MGH1109	SRR29662765	PAIRED	mouse_then_human	GSE269746	MGH1109	TRUE
PDX	MGH1112	MGH1112	SRR29662764	PAIRED	mouse_then_human	GSE269746	MGH1112	TRUE
PDX	MGH1139	MGH1139	SRR29662763	PAIRED	mouse_then_human	GSE269746	MGH1139	TRUE
PDX	MGH1157	MGH1157	SRR29662762	PAIRED	mouse_then_human	GSE269746	MGH1157	TRUE
PDX	MGH1174	MGH1174	SRR29662761	PAIRED	mouse_then_human	GSE269746	MGH1174	TRUE
PDX	MGH1181	MGH1181	SRR29662760	PAIRED	mouse_then_human	GSE269746	MGH1181	TRUE
PDX	MGH9183	MGH9183	SRR29662751	PAIRED	mouse_then_human	GSE269746	MGH9183	TRUE
PDX	MGH9243	MGH9243	SRR29662750	PAIRED	mouse_then_human	GSE269746	MGH9243	TRUE
cell_line	A427	A427	DRR136131	SINGLE	none	DRA006908	A427	TRUE
cell_line	A549	A549	DRR136218	SINGLE	none	DRA006909	A549	TRUE
cell_line	ABC-1	ABC-1	DRR136313	SINGLE	none	DRA006910	ABC-1	TRUE
cell_line	H1648	H1648	DRR136585	SINGLE	none	DRA006913	H1648	TRUE
cell_line	H1650	H1650	DRR136679	SINGLE	none	DRA006914	H1650	TRUE
cell_line	H1819	H1819	DRR136866	SINGLE	none	DRA006916	H1819	TRUE
cell_line	H1975	H1975	DRR136961	SINGLE	none	DRA006917	H1975	TRUE
cell_line	H2228	H2228	DRR137137	SINGLE	none	DRA006919	H2228	TRUE
cell_line	H2347	H2347	DRR137226	SINGLE	none	DRA006920	H2347	TRUE
cell_line	H322	H322	DRR136407	SINGLE	none	DRA006911	H322	TRUE
cell_line	II-18	II-18	DRR137312	SINGLE	none	DRA006921	II-18	TRUE
cell_line	LC2/ad	LC2_ad	DRR137402	SINGLE	none	DRA006922	LC2/ad	TRUE
cell_line	PC-14	PC-14	DRR137573	SINGLE	none	DRA006924	PC-14	TRUE
cell_line	PC-9	PC-9	DRR137490	SINGLE	none	DRA006923	PC-9	TRUE
cell_line	RERF-LC-Ad1	RERF-LC-Ad1	DRR137661	SINGLE	none	DRA006925	RERF-LC-Ad1	TRUE
cell_line	RERF-LC-Ad2	RERF-LC-Ad2	DRR137746	SINGLE	none	DRA006926	RERF-LC-Ad2	TRUE
cell_line	RERF-LC-KJ	RERF-LC-KJ	DRR137840	SINGLE	none	DRA006927	RERF-LC-KJ	TRUE
cell_line	RERF-LC-MS	RERF-LC-MS	DRR137932	SINGLE	none	DRA006928	RERF-LC-MS	TRUE
cell_line	VMRC-LCD	VMRC-LCD	DRR138116	SINGLE	none	DRA006930	VMRC-LCD	TRUE
