count_column	count_column_index	stanford_uuid	technical_replicate	donor_id	case_id	tissue_barcode	tissue_sample_type	published_qc_pass	has_rna_seq	raw_reads	final_dedup_reads	tss_enrichment_score	frip	aliquot_id
LUAD_202446E0_6AF3_4F03_856A_0D60F466D2CE_X033_S08_L108_B1_T1_P080	12	202446E0-6AF3-4F03-856A-0D60F466D2CE	T1	TCGA-44-3918	6e3b6b72-142d-4b8d-a462-28a205796e41	TCGA-44-3918-01A-51-A644-42	Primary Solid Tumor	TRUE	TRUE	74703578	56989336	5.78771714576923	0.2466171588388	TCGA-44-3918-01A-51-A644-42
LUAD_202446E0_6AF3_4F03_856A_0D60F466D2CE_X033_S08_L109_B1_T2_P081	13	202446E0-6AF3-4F03-856A-0D60F466D2CE	T2	TCGA-44-3918	6e3b6b72-142d-4b8d-a462-28a205796e41	TCGA-44-3918-01A-51-A644-42	Primary Solid Tumor	TRUE	TRUE	79476732	60698166	5.65257792406403	0.243308685861494	TCGA-44-3918-01A-51-A644-42
LUAD_79DEBC87_22F6_49D5_8EE7_C2A4B0559773_X003_S11_L039_B1_T1_PMRG	24	79DEBC87-22F6-49D5-8EE7-C2A4B0559773	T1	TCGA-44-6146	0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	TCGA-44-6146-01A-41-A602-42	Primary Solid Tumor	TRUE	TRUE	296897000	143097412	7.120887610336	0.377502924598532	TCGA-44-6146-01A-41-A602-42
LUAD_79DEBC87_22F6_49D5_8EE7_C2A4B0559773_X003_S11_L040_B1_T2_PMRG	25	79DEBC87-22F6-49D5-8EE7-C2A4B0559773	T2	TCGA-44-6146	0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	TCGA-44-6146-01A-41-A602-42	Primary Solid Tumor	TRUE	TRUE	317717658	123551156	6.78388944695082	0.363549443127322	TCGA-44-6146-01A-41-A602-42
LUAD_48A8548F_79B1_4013_A31C_B2BFDD33F634_X004_S02_L045_B1_T1_P001	18	48A8548F-79B1-4013-A31C-B2BFDD33F634	T1	TCGA-44-A47F	f61d599a-43bd-4743-9568-678317e75955	TCGA-44-A47F-01A-22-A602-42	Primary Solid Tumor	TRUE	FALSE	116057146	78662556	13.488046419638	0.618676609130467	TCGA-44-A47F-01A-22-A602-42
LUAD_48A8548F_79B1_4013_A31C_B2BFDD33F634_X004_S02_L046_B1_T2_P001	19	48A8548F-79B1-4013-A31C-B2BFDD33F634	T2	TCGA-44-A47F	f61d599a-43bd-4743-9568-678317e75955	TCGA-44-A47F-01A-22-A602-42	Primary Solid Tumor	TRUE	FALSE	87954254	62819260	12.1489460500327	0.580467503125672	TCGA-44-A47F-01A-22-A602-42
LUAD_8DD2E6E7_E560_47C9_8967_7F376B260524_X002_S02_L003_B1_T1_PMRG	32	8DD2E6E7-E560-47C9-8967-7F376B260524	T1	TCGA-49-AARO	5202458b-c38a-47c0-a0ba-5f1a59a762a0	TCGA-49-AARO-01A-22-A602-42	Primary Solid Tumor	TRUE	TRUE	125045542	87319228	5.70306100303924	0.220390182598616	TCGA-49-AARO-01A-22-A602-42
LUAD_8DD2E6E7_E560_47C9_8967_7F376B260524_X002_S02_L004_B1_T2_P005	33	8DD2E6E7-E560-47C9-8967-7F376B260524	T2	TCGA-49-AARO	5202458b-c38a-47c0-a0ba-5f1a59a762a0	TCGA-49-AARO-01A-22-A602-42	Primary Solid Tumor	TRUE	TRUE	99262486	68560232	6.93188563036494	0.251280359117643	TCGA-49-AARO-01A-22-A602-42
LUAD_3AD9F8C2_688A_4795_8E69_9E6CC0A239A5_X042_S06_L034_B1_T1_P086	16	3AD9F8C2-688A-4795-8E69-9E6CC0A239A5	T1	TCGA-4B-A93V	f1f80dd2-891d-46dd-a3e0-f007628cb515	TCGA-4B-A93V-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	72341956	54573450	5.37800050105221	0.253519428211292	TCGA-4B-A93V-01A-22-A646-42
LUAD_3AD9F8C2_688A_4795_8E69_9E6CC0A239A5_X042_S06_L035_B1_T2_P087	17	3AD9F8C2-688A-4795-8E69-9E6CC0A239A5	T2	TCGA-4B-A93V	f1f80dd2-891d-46dd-a3e0-f007628cb515	TCGA-4B-A93V-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	52480094	39140562	5.33000485889549	0.255633040387615	TCGA-4B-A93V-01A-22-A646-42
