system	sample_id	sample_slug	run	layout	host_depletion	source_accession	independent_biological_unit	figure2_primary_include	filtered_human_reads	filtered_human_units	peak_count	frip	worker_hard_qc_status	processing_status	final_artifacts_ok	qc_manifest_match	figure2_qualified	failure_reason	filtered_bam	narrowpeak	qc_record	early_stop_receipt
cell_line	A427	A427	DRR136131	SINGLE	none	DRA006908	A427	TRUE	3911593	3911593	12316	0.07888449	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A427/A427.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A427/peaks/A427_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/A427.tsv	
cell_line	A549	A549	DRR136218	SINGLE	none	DRA006909	A549	TRUE	3171284	3171284	11364	0.05797305	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A549/A549.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A549/peaks/A549_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/A549.tsv	
cell_line	ABC-1	ABC-1	DRR136313	SINGLE	none	DRA006910	ABC-1	TRUE	2132700	2132700	11453	0.08040512	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/ABC-1/ABC-1.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/ABC-1/peaks/ABC-1_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/ABC-1.tsv	
cell_line	H1975	H1975	DRR136961	SINGLE	none	DRA006917	H1975	TRUE	4245782	4245782	34781	0.19331374	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1975/H1975.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1975/peaks/H1975_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H1975.tsv	
cell_line	H2228	H2228	DRR137137	SINGLE	none	DRA006919	H2228	TRUE	1378744	1378744	13551	0.12431967	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H2228/H2228.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H2228/peaks/H2228_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H2228.tsv	
cell_line	H2347	H2347	DRR137226	SINGLE	none	DRA006920	H2347	TRUE	2653449	2653449	42017	0.27422083	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H2347/H2347.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H2347/peaks/H2347_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H2347.tsv	
cell_line	H322	H322	DRR136407	SINGLE	none	DRA006911	H322	TRUE	2749205	2749205	23057	0.12598333	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H322/H322.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H322/peaks/H322_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H322.tsv	
cell_line	II-18	II-18	DRR137312	SINGLE	none	DRA006921	II-18	TRUE	1293013	1293013	15608	0.19370958	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/II-18/II-18.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/II-18/peaks/II-18_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/II-18.tsv	
cell_line	LC2/ad	LC2_ad	DRR137402	SINGLE	none	DRA006922	LC2/ad	TRUE	2440050	2440050	18137	0.10406672	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/LC2_ad/LC2_ad.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/LC2_ad/peaks/LC2_ad_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/LC2_ad.tsv	
cell_line	PC-9	PC-9	DRR137490	SINGLE	none	DRA006923	PC-9	TRUE	9496338	9496338	31736	0.08671395	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/PC-9/PC-9.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/PC-9/peaks/PC-9_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/PC-9.tsv	
