sample_id	cpm0.5_both_reps	cpm1_both_reps	cpm2_both_reps	cpm1_merged_reps	tech1_library_size	tech2_library_size
TCGA-44-3918	135177	124981	101330	132120	8061122	8404982
TCGA-44-6146	122844	109236	91080	112002	36405196	29843382
TCGA-44-A47F	114488	102342	86927	105114	40571658	29924742
TCGA-49-AARO	137044	127216	98216	134078	10955925	10644350
TCGA-4B-A93V	135437	125496	102973	131854	8151643	5919570
TCGA-73-A9RS	119362	103291	84776	109091	12358447	20450541
TCGA-86-A4D0	123210	107825	89093	113636	11046509	22389613
TCGA-86-A4P7	123187	107212	85107	112075	20312335	14798480
TCGA-86-A4P8	120048	105299	88494	110102	14728717	19136722
TCGA-91-A4BC	132659	119884	99471	126027	11402120	12502735
TCGA-91-A4BD	128519	112203	91972	120309	8127637	21217938
TCGA-93-A4JN	121746	107507	88544	111663	14449850	17703271
TCGA-93-A4JO	136051	123222	95129	129976	11653082	7920557
TCGA-93-A4JQ	137265	132075	109513	136861	4969169	5581714
TCGA-L4-A4E6	128106	114032	94367	118998	10283302	13981892
TCGA-L9-A8F4	131940	114402	89878	120209	18048262	13976741
TCGA-MP-A4SV	137119	130058	106837	135045	7782956	6848017
TCGA-MP-A4T4	137039	127386	103124	134283	8465826	9255678
TCGA-MP-A4T7	126924	110429	88366	117692	11679744	9195601
TCGA-MP-A4TE	124383	112012	96015	115216	21138459	18942520
TCGA-MP-A4TF	131912	119610	97286	125150	10890631	10483281
TCGA-NJ-A4YG	135793	125341	103077	130628	9632781	10548496
