system	sample_id	definition	peak_count	peak_path
patient	TCGA-44-3918	cpm0.5_both_reps	135177	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-44-3918.bed.gz
patient	TCGA-44-3918	cpm1_both_reps	124981	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-44-3918.bed.gz
patient	TCGA-44-3918	cpm2_both_reps	101330	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-44-3918.bed.gz
patient	TCGA-44-3918	cpm1_merged_reps	132120	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-44-3918.bed.gz
patient	TCGA-44-6146	cpm0.5_both_reps	122844	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-44-6146.bed.gz
patient	TCGA-44-6146	cpm1_both_reps	109236	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-44-6146.bed.gz
patient	TCGA-44-6146	cpm2_both_reps	91080	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-44-6146.bed.gz
patient	TCGA-44-6146	cpm1_merged_reps	112002	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-44-6146.bed.gz
patient	TCGA-44-A47F	cpm0.5_both_reps	114488	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-44-A47F.bed.gz
patient	TCGA-44-A47F	cpm1_both_reps	102342	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-44-A47F.bed.gz
patient	TCGA-44-A47F	cpm2_both_reps	86927	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-44-A47F.bed.gz
patient	TCGA-44-A47F	cpm1_merged_reps	105114	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-44-A47F.bed.gz
patient	TCGA-49-AARO	cpm0.5_both_reps	137044	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-49-AARO.bed.gz
