system	sample_id	sample_slug	source_peak_path	source_input_rows	noncanonical_or_invalid_removed	blacklist_removed	non_acgt_removed	harmonized_200bp_unique_peaks	cell_line_arm_matching_floor	motif_matchable	nonmatchable_reason	matched_peak_count	original_gc_mean	original_gc_sd	matched_gc_mean	matched_gc_sd	matched_target_path	matched_target_sha256
patient	TCGA-44-3918	TCGA-44-3918	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-44-3918.bed.gz	124981	0	756	0	124225	4491	TRUE	MATCHABLE	3584	0.5441612396860536	0.10656761380498135	0.6323088727678572	0.09157517446078926	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/patient.TCGA-44-3918.bed	8bf6652c6d218c6245d43e803971edabc6d3c30c82a0f90bd8e09441537fc954
patient	TCGA-44-6146	TCGA-44-6146	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-44-6146.bed.gz	109236	0	655	0	108581	4491	TRUE	MATCHABLE	3584	0.5470626536871092	0.11043621817689764	0.6324246651785714	0.09159842003191568	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/patient.TCGA-44-6146.bed	13e9b77390113379074e1e31f6edd550fa38535a0b00f7afd1e700ffa7be35d1
patient	TCGA-44-A47F	TCGA-44-A47F	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-44-A47F.bed.gz	102342	0	553	0	101789	4491	TRUE	MATCHABLE	3584	0.5460751652929099	0.11272776188684024	0.632451171875	0.0913751152027411	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/patient.TCGA-44-A47F.bed	a564eeb0a1576d95040f3ad02b14f966e6d25fac612354889217d1b495f97db2
patient	TCGA-49-AARO	TCGA-49-AARO	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-49-AARO.bed.gz	127216	0	745	0	126471	4491	TRUE	MATCHABLE	3584	0.5400003953475501	0.10784701866006378	0.6320563616071428	0.09171997765507693	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/patient.TCGA-49-AARO.bed	3e5422af918b7ad2c5d1a1468f49da4bbaf4a911f34d1e28f6794fc6c8a359bf
patient	TCGA-4B-A93V	TCGA-4B-A93V	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-4B-A93V.bed.gz	125496	0	700	0	124796	4491	TRUE	MATCHABLE	3584	0.5388483605243758	0.10901189069845724	0.6321554129464285	0.09210775066723102	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/patient.TCGA-4B-A93V.bed	f50a255677859d2ff15102cc9ae963058762560d1414adf85b657aaeba7b6803
patient	TCGA-73-A9RS	TCGA-73-A9RS	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-73-A9RS.bed.gz	103291	0	606	0	102685	4491	TRUE	MATCHABLE	3584	0.5486309587573648	0.11226103163460453	0.6320075334821429	0.0917368385311652	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/patient.TCGA-73-A9RS.bed	ef72162b24aee808eb27456477e4e273d304a03cb8afbb0d828f633b301e4560
patient	TCGA-86-A4D0	TCGA-86-A4D0	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-86-A4D0.bed.gz	107825	0	625	0	107200	4491	TRUE	MATCHABLE	3584	0.5472808768656716	0.11020132749684519	0.6327329799107143	0.09166103526329918	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/patient.TCGA-86-A4D0.bed	0c75e261c610288ba5110e9e44bc0e66b6cacd85fdea042cb96ac646b75c513b
patient	TCGA-86-A4P7	TCGA-86-A4P7	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-86-A4P7.bed.gz	107212	0	635	0	106577	4491	TRUE	MATCHABLE	3584	0.5457547594696792	0.11213324567049454	0.6322251674107143	0.09199598643755767	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/patient.TCGA-86-A4P7.bed	0409c4d5e0de8cc4d7715a4c34cf1baea0a784aff0d9039e083887331364f0e2
patient	TCGA-86-A4P8	TCGA-86-A4P8	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-86-A4P8.bed.gz	105299	0	624	0	104675	4491	TRUE	MATCHABLE	3584	0.5495553857176977	0.11053479255181992	0.6325125558035715	0.09148758123878467	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/patient.TCGA-86-A4P8.bed	442c272a8204796b76630157988304d67730ee7d290ed3bc5a2ed98cdcd767de
patient	TCGA-91-A4BC	TCGA-91-A4BC	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-91-A4BC.bed.gz	119884	0	701	0	119183	4491	TRUE	MATCHABLE	3584	0.5439643237710076	0.10814694182232358	0.6323995535714285	0.09174281951649631	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/patient.TCGA-91-A4BC.bed	52118936fc0fecf38ba22bc8f19929e1f2348a51efed3fba92cd9775e2a2aa3c
