gc_bin	gc_lower_inclusive	gc_upper_exclusive	target_peaks_per_sample	background_peaks
0	0.0	0.05	0	0
1	0.05	0.1	0	0
2	0.1	0.15000000000000002	0	0
3	0.15000000000000002	0.2	0	0
4	0.2	0.25	0	0
5	0.25	0.30000000000000004	0	0
6	0.30000000000000004	0.35000000000000003	2	16
7	0.35000000000000003	0.4	8	64
8	0.4	0.45	64	512
9	0.45	0.5	197	1576
10	0.5	0.55	400	3200
11	0.55	0.6000000000000001	621	4968
12	0.6000000000000001	0.65	646	5168
13	0.65	0.7000000000000001	763	6104
14	0.7000000000000001	0.75	504	4032
15	0.75	0.8	298	2384
16	0.8	0.8500000000000001	79	632
17	0.8500000000000001	0.9	2	16
18	0.9	0.9500000000000001	0	0
19	0.9500000000000001	1.0	0	0
