TF	motif_token	p_value	q_value	target_with_motif	target_total	background_with_motif	background_total	log2_odds_ratio	motif_enriched_q1e-5	system	sample_id	sample_slug
CEBPB	JASPAR2024|000235|MA0466.4	1e-06	0.0	297.0	3583.0	1699.1	27583.0	0.46322531154467655	TRUE	patient	TCGA-44-3918	TCGA-44-3918
XBP1	JASPAR2024|000675|MA0844.2	0.01	0.0308	1698.0	3583.0	12430.1	27583.0	0.13505966420273277	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXD2	JASPAR2024|000361|MA0847.4	0.01	0.0308	1373.0	3583.0	9957.7	27583.0	0.13721602035337205	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CREB3L2	JASPAR2024|000025|MA0608.1	0.1	0.2036	1835.0	3583.0	13710.7	27583.0	0.08695947921297578	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NFATC4	JASPAR2024|000506|MA1525.3	0.1	0.2614	2526.0	3583.0	19108.1	27583.0	0.08361379766747148	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF75D	JASPAR2024|000169|MA1601.2	0.1	0.3047	2538.0	3583.0	19239.9	27583.0	0.07438630616040702	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ETV1	JASPAR2024|000311|MA0761.3	0.1	0.3047	3565.0	3583.0	27379.7	27583.0	0.5206001998933789	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NR3C2	JASPAR2024|000539|MA0727.2	1.0	0.3594	258.0	3583.0	1855.0	27583.0	0.10815235738570249	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CEBPA	JASPAR2024|000234|MA0102.5	1.0	0.5879	2599.0	3583.0	19857.5	27583.0	0.03884429762164916	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NKX2-1	JASPAR2024|000822|MA1994.2	1.0	0.6191	3422.0	3583.0	26275.7	27583.0	0.07690165325639757	FALSE	patient	TCGA-44-3918	TCGA-44-3918
HNF4A	JASPAR2024|000409|MA1494.2	1.0	0.7887	416.0	3583.0	3166.3	27583.0	0.01984389098903257	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA2	JASPAR2024|000357|MA0047.4	1.0	1.0	2786.0	3583.0	21486.3	27583.0	-0.012334135638520873	FALSE	patient	TCGA-44-3918	TCGA-44-3918
