system	sample_id	sample_slug	TF	TF_role	motif_test_status	motif_token	q_value	log2_odds_ratio	motif_enriched_q1e-5
patient	TCGA-44-3918	TCGA-44-3918	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000234|MA0102.5	0.5879	0.03884429762164916	FALSE
patient	TCGA-44-3918	TCGA-44-3918	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0	0.46322531154467655	TRUE
patient	TCGA-44-3918	TCGA-44-3918	CREB3L2	LUAD_HC_TF	TESTED	JASPAR2024|000025|MA0608.1	0.2036	0.08695947921297578	FALSE
patient	TCGA-44-3918	TCGA-44-3918	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	1.0	-0.05885279545824771	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000276|MA0640.3	1.0	0.027028689957204213	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000311|MA0761.3	0.3047	0.5206001998933789	FALSE
patient	TCGA-44-3918	TCGA-44-3918	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000356|MA0148.5	1.0	-0.023446826419971985	FALSE
patient	TCGA-44-3918	TCGA-44-3918	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000357|MA0047.4	1.0	-0.012334135638520873	FALSE
patient	TCGA-44-3918	TCGA-44-3918	FOXA3	LUAD_HC_TF	TESTED	JASPAR2024|000358|MA1683.2	1.0	-0.027225317442143286	FALSE
patient	TCGA-44-3918	TCGA-44-3918	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.0308	0.13721602035337205	FALSE
patient	TCGA-44-3918	TCGA-44-3918	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000382|MA1104.3	1.0	-0.10148205740526936	FALSE
