system	TF	TF_role	n_all_samples	n_peak_count_matchable_samples	n_motif_enriched	fraction_enriched_all_samples	fraction_enriched_matchable_samples	half_threshold_all_samples	half_threshold_matchable_samples	support_fixed_original_denominator	support_matchable_denominator	mean_log2_odds_ratio_tested
patient	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.042878447300391934
patient	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	9	0.4090909090909091	0.4090909090909091	11	11	FALSE	FALSE	0.3851627626117133
patient	CREB3L2	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.1066986402145338
patient	E2F5	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.07661141861506084
patient	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.829789282704799
patient	ETV1	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.45574715842371194
patient	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.001879756512672259
patient	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.015737051812747368
patient	FOXA3	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.014326690138757122
patient	FOXD2	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.11959478671113966
patient	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.06397207621729971
patient	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.004590587858354417
patient	NFATC4	LUAD_HC_TF	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.13239959041618118
patient	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.018375710377606273
patient	NR3C2	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.06837276327715153
patient	XBP1	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.12850993200824715
patient	ZBTB18	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.006962712080256189
patient	ZNF141	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.028758692530263804
patient	ZNF19	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.3881806919661464
patient	ZNF254	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.19575467602443156
patient	ZNF281	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.05175756611118208
patient	ZNF33A	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.09775748069573043
patient	ZNF33B	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.0029059588765763898
patient	ZNF341	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.2876299387429757
patient	ZNF444	LUAD_HC_TF	22	22	4	0.18181818181818182	0.18181818181818182	11	11	FALSE	FALSE	0.18418083796470672
patient	ZNF540	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.00798667799196216
patient	ZNF75D	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.059391721548789175
PDX	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.1198207954037868
PDX	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	7	0.5384615384615384	0.7	7	5	TRUE	TRUE	0.47254376994923575
PDX	CREB3L2	LUAD_HC_TF	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.13329916379533216
