TF	motif_token	p_value	q_value	target_with_motif	target_total	background_with_motif	background_total	log2_odds_ratio	motif_enriched_q1e-5	system	sample_id	sample_slug
FOXA3	CIS-BP2.00|000469|M04831_2.00	1e-18	0.0	212.0	3581.0	842.6	27536.0	0.9976627508717951	TRUE	patient	TCGA-44-3918	TCGA-44-3918
ELF3	CIS-BP2.00|000227|M03002_2.00	1e-08	0.0	1525.0	3581.0	10423.5	27536.0	0.284274813178693	TRUE	patient	TCGA-44-3918	TCGA-44-3918
CEBPB	JASPAR2024|000235|MA0466.4	1e-06	0.0	297.0	3581.0	1699.1	27536.0	0.46148155402311086	TRUE	patient	TCGA-44-3918	TCGA-44-3918
ZNF444	CIS-BP2.00|000420|M04529_2.00	0.001	0.0038	1374.0	3581.0	9813.2	27536.0	0.16927164659887287	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA1	CIS-BP2.00|000890|M07960_2.00	0.001	0.0047	1927.0	3581.0	14067.5	27536.0	0.1575610709294582	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF75D	CIS-BP2.00|000750|M07683_2.00	0.01	0.0221	2313.0	3581.0	17179.8	27536.0	0.13676273476670922	FALSE	patient	TCGA-44-3918	TCGA-44-3918
XBP1	JASPAR2024|000675|MA0844.2	0.01	0.0221	1698.0	3581.0	12430.1	27536.0	0.1321091442778389	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXD2	JASPAR2024|000361|MA0847.4	0.01	0.0221	1373.0	3581.0	9957.7	27536.0	0.13466977185471068	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA2	CIS-BP2.00|000889|M07959_2.00	0.1	0.1009	2183.0	3581.0	16327.6	27536.0	0.10005005846912265	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF19	CIS-BP2.00|000670|M07603_2.00	0.1	0.1009	3575.0	3581.0	27444.4	27536.0	0.8843683588621011	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CEBPB	CIS-BP2.00|000866|M07830_2.00	0.1	0.1009	1628.0	3581.0	12060.7	27536.0	0.09712300185510998	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CREB3L2	CIS-BP2.00|000117|M01812_2.00	0.1	0.1312	1847.0	3581.0	13787.5	27536.0	0.08696801147533047	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CREB3L2	JASPAR2024|000025|MA0608.1	0.1	0.1402	1835.0	3581.0	13710.7	27536.0	0.08371459213837534	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF33A	CIS-BP2.00|000762|M07695_2.00	0.1	0.1486	3289.0	3581.0	25082.1	27536.0	0.13811517391516331	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NFATC4	JASPAR2024|000506|MA1525.3	0.1	0.195	2526.0	3581.0	19108.1	27536.0	0.07832220793998786	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF75D	JASPAR2024|000169|MA1601.2	0.1	0.2557	2538.0	3581.0	19239.9	27536.0	0.06899900409731093	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ETV1	JASPAR2024|000311|MA0761.3	0.1	0.2662	3565.0	3581.0	27379.7	27536.0	0.3074309541132681	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ETV1	CIS-BP2.00|000457|M04708_2.00	1.0	0.2706	3580.0	3581.0	27519.0	27536.0	0.6020992304312313	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CEBPA	CIS-BP2.00|000926|M08076_2.00	1.0	0.2843	1355.0	3581.0	10156.3	27536.0	0.05904624683735956	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NR3C2	JASPAR2024|000539|MA0727.2	1.0	0.3217	258.0	3581.0	1855.0	27536.0	0.10638239517847975	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZBTB18	CIS-BP2.00|000988|M08257_2.00	1.0	0.4539	3173.0	3581.0	24288.3	27536.0	0.05508801525643888	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CEBPA	JASPAR2024|000234|MA0102.5	1.0	0.5383	2599.0	3581.0	19857.5	27536.0	0.03297486660609968	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NKX2-1	JASPAR2024|000822|MA1994.2	1.0	0.6024	3422.0	3581.0	26275.7	27536.0	0.04207690569521016	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXD2	CIS-BP2.00|000235|M03042_2.00	1.0	0.6077	1305.0	3581.0	9929.5	27536.0	0.024068489376377004	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF141	CIS-BP2.00|000653|M07586_2.00	1.0	0.7656	2584.0	3581.0	19831.1	27536.0	0.009637134390798741	FALSE	patient	TCGA-44-3918	TCGA-44-3918
HNF4A	JASPAR2024|000409|MA1494.2	1.0	0.7656	416.0	3581.0	3166.3	27536.0	0.01797543447064477	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF33B	CIS-BP2.00|000777|M07710_2.00	1.0	0.8638	1228.0	3581.0	9444.3	27536.0	-0.0001342979133356905	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF540	CIS-BP2.00|000701|M07634_2.00	1.0	0.9848	758.0	3581.0	5871.7	27536.0	-0.012883637966851838	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA2	JASPAR2024|000357|MA0047.4	1.0	0.9848	2786.0	3581.0	21486.3	27536.0	-0.01987558328976495	FALSE	patient	TCGA-44-3918	TCGA-44-3918
XBP1	CIS-BP2.00|000375|M04231_2.00	1.0	0.9848	3265.0	3581.0	25158.7	27536.0	-0.036360267098234166	FALSE	patient	TCGA-44-3918	TCGA-44-3918
