system	sample_id	sample_slug	TF	TF_role	motif_test_status	motif_token	q_value	log2_odds_ratio	motif_enriched_q1e-5
patient	TCGA-44-3918	TCGA-44-3918	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000926|M08076_2.00	0.2843	0.05904624683735956	FALSE
patient	TCGA-44-3918	TCGA-44-3918	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0	0.46148155402311086	TRUE
patient	TCGA-44-3918	TCGA-44-3918	CREB3L2	LUAD_HC_TF	TESTED	CIS-BP2.00|000117|M01812_2.00	0.1312	0.08696801147533047	FALSE
patient	TCGA-44-3918	TCGA-44-3918	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	1.0	-0.05885279545824771	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000227|M03002_2.00	0.0	0.284274813178693	TRUE
patient	TCGA-44-3918	TCGA-44-3918	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000311|MA0761.3	0.2662	0.3074309541132681	FALSE
patient	TCGA-44-3918	TCGA-44-3918	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000890|M07960_2.00	0.0047	0.1575610709294582	FALSE
patient	TCGA-44-3918	TCGA-44-3918	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000889|M07959_2.00	0.1009	0.10005005846912265	FALSE
patient	TCGA-44-3918	TCGA-44-3918	FOXA3	LUAD_HC_TF	TESTED	CIS-BP2.00|000469|M04831_2.00	0.0	0.9976627508717951	TRUE
patient	TCGA-44-3918	TCGA-44-3918	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.0221	0.13466977185471068	FALSE
patient	TCGA-44-3918	TCGA-44-3918	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000382|MA1104.3	1.0	-0.11114316669264569	FALSE
patient	TCGA-44-3918	TCGA-44-3918	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000409|MA1494.2	0.7656	0.01797543447064477	FALSE
patient	TCGA-44-3918	TCGA-44-3918	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.195	0.07832220793998786	FALSE
patient	TCGA-44-3918	TCGA-44-3918	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	0.6024	0.04207690569521016	FALSE
patient	TCGA-44-3918	TCGA-44-3918	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.3217	0.10638239517847975	FALSE
patient	TCGA-44-3918	TCGA-44-3918	XBP1	LUAD_HC_TF	TESTED	JASPAR2024|000675|MA0844.2	0.0221	0.1321091442778389	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZBTB18	LUAD_HC_TF	TESTED	CIS-BP2.00|000988|M08257_2.00	0.4539	0.05508801525643888	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF141	LUAD_HC_TF	TESTED	CIS-BP2.00|000653|M07586_2.00	0.7656	0.009637134390798741	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF19	LUAD_HC_TF	TESTED	CIS-BP2.00|000670|M07603_2.00	0.1009	0.8843683588621011	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF254	LUAD_HC_TF	TESTED	CIS-BP2.00|000827|M07760_2.00	1.0	-0.11919549933483492	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF281	LUAD_HC_TF	TESTED	JASPAR2024|000706|MA1630.3	1.0	-0.08963737591764405	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF33A	LUAD_HC_TF	TESTED	CIS-BP2.00|000762|M07695_2.00	0.1486	0.13811517391516331	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF33B	LUAD_HC_TF	TESTED	CIS-BP2.00|000777|M07710_2.00	0.8638	-0.0001342979133356905	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF341	LUAD_HC_TF	TESTED	JASPAR2024|000712|MA1655.2	1.0	-5.266689702262406	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF444	LUAD_HC_TF	TESTED	CIS-BP2.00|000420|M04529_2.00	0.0038	0.16927164659887287	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF540	LUAD_HC_TF	TESTED	CIS-BP2.00|000701|M07634_2.00	0.9848	-0.012883637966851838	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF75D	LUAD_HC_TF	TESTED	CIS-BP2.00|000750|M07683_2.00	0.0221	0.13676273476670922	FALSE
patient	TCGA-44-6146	TCGA-44-6146	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000926|M08076_2.00	0.1542	0.07820072607915668	FALSE
patient	TCGA-44-6146	TCGA-44-6146	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0	0.4491526273237316	TRUE
patient	TCGA-44-6146	TCGA-44-6146	CREB3L2	LUAD_HC_TF	TESTED	JASPAR2024|000025|MA0608.1	0.1526	0.07892367493899172	FALSE
patient	TCGA-44-6146	TCGA-44-6146	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	0.565	0.029624194786044823	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000227|M03002_2.00	0.0	0.3396724866555462	TRUE
patient	TCGA-44-6146	TCGA-44-6146	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000311|MA0761.3	0.0524	0.8187793515751729	FALSE
patient	TCGA-44-6146	TCGA-44-6146	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000890|M07960_2.00	0.0006	0.18621772987025711	FALSE
patient	TCGA-44-6146	TCGA-44-6146	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000889|M07959_2.00	0.1031	0.09709678238209003	FALSE
patient	TCGA-44-6146	TCGA-44-6146	FOXA3	LUAD_HC_TF	TESTED	CIS-BP2.00|000469|M04831_2.00	0.0	0.7517971573431261	TRUE
patient	TCGA-44-6146	TCGA-44-6146	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.1309	0.08836150192113275	FALSE
patient	TCGA-44-6146	TCGA-44-6146	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000947|M08124_2.00	1.0	-0.08451266382458858	FALSE
patient	TCGA-44-6146	TCGA-44-6146	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000409|MA1494.2	0.3357	0.07581276195033655	FALSE
patient	TCGA-44-6146	TCGA-44-6146	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.0524	0.12948640553521523	FALSE
patient	TCGA-44-6146	TCGA-44-6146	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	1.0	-0.09518497654357483	FALSE
patient	TCGA-44-6146	TCGA-44-6146	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.3357	0.09136223446825287	FALSE
patient	TCGA-44-6146	TCGA-44-6146	XBP1	LUAD_HC_TF	TESTED	JASPAR2024|000675|MA0844.2	0.0524	0.11371729172408655	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZBTB18	LUAD_HC_TF	TESTED	CIS-BP2.00|000988|M08257_2.00	1.0	-0.05811714016803504	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF141	LUAD_HC_TF	TESTED	CIS-BP2.00|000653|M07586_2.00	0.1542	0.08589739663438226	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF19	LUAD_HC_TF	TESTED	CIS-BP2.00|000670|M07603_2.00	0.2603	0.42542806505416686	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF254	LUAD_HC_TF	TESTED	CIS-BP2.00|000827|M07760_2.00	1.0	-0.141723165387333	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF281	LUAD_HC_TF	TESTED	JASPAR2024|000706|MA1630.3	1.0	-0.07701237751858016	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF33A	LUAD_HC_TF	TESTED	CIS-BP2.00|000762|M07695_2.00	0.1391	0.1491768913374421	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF33B	LUAD_HC_TF	TESTED	CIS-BP2.00|000777|M07710_2.00	0.3357	0.04898823497838044	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF341	LUAD_HC_TF	TESTED	CIS-BP2.00|001017|M08310_2.00	0.1031	1.8504092340969083	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF444	LUAD_HC_TF	TESTED	CIS-BP2.00|000420|M04529_2.00	0.0005	0.19638653552815855	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF540	LUAD_HC_TF	TESTED	CIS-BP2.00|000701|M07634_2.00	0.7216	0.0070291137855549145	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF75D	LUAD_HC_TF	TESTED	CIS-BP2.00|000750|M07683_2.00	0.7301	0.0026089225818454157	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000926|M08076_2.00	0.1559	0.09038916540784339	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0	0.4518306410851551	TRUE
patient	TCGA-44-A47F	TCGA-44-A47F	CREB3L2	LUAD_HC_TF	TESTED	CIS-BP2.00|000117|M01812_2.00	0.2369	0.07121228210622636	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	0.9061	-0.037841472060734085	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000227|M03002_2.00	0.0	0.30747423721236355	TRUE
patient	TCGA-44-A47F	TCGA-44-A47F	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000311|MA0761.3	0.4893	-0.08160561705466389	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000890|M07960_2.00	0.4184	0.04930166186498437	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000889|M07959_2.00	0.4893	0.03664285245545018	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	FOXA3	LUAD_HC_TF	TESTED	CIS-BP2.00|000469|M04831_2.00	0.0	0.8699888185121135	TRUE
patient	TCGA-44-A47F	TCGA-44-A47F	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.3967	0.05609587734066546	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000947|M08124_2.00	1.0	-0.11571346180440893	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000410|MA0114.5	0.4573	0.06738163934640667	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.2369	0.07829971229068168	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	0.6472	0.0038234415512153684	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.9061	-0.011232800825094095	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	XBP1	LUAD_HC_TF	TESTED	JASPAR2024|000675|MA0844.2	0.0013	0.17209979980802936	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZBTB18	LUAD_HC_TF	TESTED	JASPAR2024|000681|MA0698.2	0.9061	-0.02190761398675044	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF141	LUAD_HC_TF	TESTED	CIS-BP2.00|000653|M07586_2.00	0.2369	0.08051146269498706	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF19	LUAD_HC_TF	TESTED	CIS-BP2.00|000670|M07603_2.00	0.5095	-0.23939968820502283	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF254	LUAD_HC_TF	TESTED	CIS-BP2.00|000827|M07760_2.00	1.0	-0.34515409610133807	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF281	LUAD_HC_TF	TESTED	JASPAR2024|000706|MA1630.3	0.6472	0.011313848567742474	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF33A	LUAD_HC_TF	TESTED	CIS-BP2.00|000762|M07695_2.00	0.6472	0.014346820483711619	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF33B	LUAD_HC_TF	TESTED	CIS-BP2.00|000777|M07710_2.00	0.9267	-0.040290354897693406	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF341	LUAD_HC_TF	TESTED	CIS-BP2.00|001017|M08310_2.00	0.4858	-1.7184890076132529	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF444	LUAD_HC_TF	TESTED	CIS-BP2.00|000420|M04529_2.00	0.0	0.23203801073657768	TRUE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF540	LUAD_HC_TF	TESTED	CIS-BP2.00|000701|M07634_2.00	1.0	-0.09466883721653147	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF75D	LUAD_HC_TF	TESTED	JASPAR2024|000169|MA1601.2	0.5095	0.0317483128296403	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000234|MA0102.5	0.4254	0.058417400087892826	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0112	0.2757989670955067	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	CREB3L2	LUAD_HC_TF	TESTED	JASPAR2024|000025|MA0608.1	0.0001	0.21176377336530058	FALSE
