system	TF	TF_role	n_all_samples	n_peak_count_matchable_samples	n_motif_enriched	fraction_enriched_all_samples	fraction_enriched_matchable_samples	half_threshold_all_samples	half_threshold_matchable_samples	support_fixed_original_denominator	support_matchable_denominator	mean_log2_odds_ratio_tested
patient	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.08026936088011744
patient	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	9	0.4090909090909091	0.4090909090909091	11	11	FALSE	FALSE	0.3779422593943076
patient	CREB3L2	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.1117127311715266
patient	E2F5	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.07676359255554328
patient	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.3399187813500341
patient	ETV1	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.5376268097602835
patient	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.14429083147976696
patient	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.10482550893947286
patient	FOXA3	LUAD_HC_TF	22	22	21	0.9545454545454546	0.9545454545454546	11	11	TRUE	TRUE	0.8741611030390191
patient	FOXD2	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.11918942451525945
patient	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.05930286313978672
patient	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.012100291088335723
patient	NFATC4	LUAD_HC_TF	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.13109249907788276
patient	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.01033363327820879
patient	NR3C2	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.06795437250541676
patient	XBP1	LUAD_HC_TF	22	22	2	0.09090909090909091	0.09090909090909091	11	11	FALSE	FALSE	0.17278485056020326
patient	ZBTB18	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.028238717818584495
patient	ZNF141	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.028674018420480302
patient	ZNF19	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.38036122094693353
patient	ZNF254	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.195780540440471
patient	ZNF281	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.053310915099728406
patient	ZNF33A	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.09749280430229855
patient	ZNF33B	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.002871896558094943
patient	ZNF341	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.8237997291224671
patient	ZNF444	LUAD_HC_TF	22	22	4	0.18181818181818182	0.18181818181818182	11	11	FALSE	FALSE	0.18414303927542675
patient	ZNF540	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.008014651231911096
patient	ZNF75D	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.06915300111048779
PDX	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.12185988942439852
PDX	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	7	0.5384615384615384	0.7	7	5	TRUE	TRUE	0.4642265858964611
PDX	CREB3L2	LUAD_HC_TF	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.14925865093419613
PDX	E2F5	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.09762417254159413
PDX	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	13	10	10	0.7692307692307693	1.0	7	5	TRUE	TRUE	0.5211669995542809
PDX	ETV1	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.331534816083821
PDX	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.1279398881524386
PDX	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.11497092948270335
PDX	FOXA3	LUAD_HC_TF	13	10	2	0.15384615384615385	0.2	7	5	FALSE	FALSE	0.3405141309544056
PDX	FOXD2	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.038977677755459426
PDX	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.10459631863363102
PDX	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.15590471866002775
PDX	NFATC4	LUAD_HC_TF	13	10	9	0.6923076923076923	0.9	7	5	TRUE	TRUE	0.3182084781477882
PDX	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.15628016439459624
PDX	NR3C2	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	-0.17439872420585115
PDX	XBP1	LUAD_HC_TF	13	10	8	0.6153846153846154	0.8	7	5	TRUE	TRUE	0.2776510359837824
PDX	ZBTB18	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	-0.08732538185496878
PDX	ZNF141	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.08037697850074688
PDX	ZNF19	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.29783972640360945
PDX	ZNF254	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	-0.12046589868104549
PDX	ZNF281	LUAD_HC_TF	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.12789790130646145
PDX	ZNF33A	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.13777056476619007
PDX	ZNF33B	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	-0.09807220286927859
PDX	ZNF341	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.7989825381678152
PDX	ZNF444	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.07881889030817206
PDX	ZNF540	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	-0.06891023947561274
PDX	ZNF75D	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.12367390851398638
cell_line	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.08304954080878323
cell_line	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	2	0.10526315789473684	0.10526315789473684	10	10	FALSE	FALSE	0.26773025252442706
cell_line	CREB3L2	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.06710033165292976
cell_line	E2F5	LUAD_HC_TF	19	19	1	0.05263157894736842	0.05263157894736842	10	10	FALSE	FALSE	0.11998880991320096
cell_line	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	19	19	19	1.0	1.0	10	10	TRUE	TRUE	0.4626501414424536
cell_line	ETV1	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.7191109969864466
cell_line	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.1316788085140073
cell_line	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.1306312601772802
cell_line	FOXA3	LUAD_HC_TF	19	19	3	0.15789473684210525	0.15789473684210525	10	10	FALSE	FALSE	0.3235149033158509
cell_line	FOXD2	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.028807962765352416
cell_line	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.09020246563425813
cell_line	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.009160693813057041
cell_line	NFATC4	LUAD_HC_TF	19	19	17	0.8947368421052632	0.8947368421052632	10	10	TRUE	TRUE	0.2982084727058053
cell_line	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.10420685635026868
cell_line	NR3C2	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.20605527222698428
cell_line	XBP1	LUAD_HC_TF	19	19	13	0.6842105263157895	0.6842105263157895	10	10	TRUE	TRUE	0.27839073855294577
cell_line	ZBTB18	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.09804627262735024
cell_line	ZNF141	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.01645196165421963
cell_line	ZNF19	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.33288495280774244
cell_line	ZNF254	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.13182543062452665
cell_line	ZNF281	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.0266580555490245
cell_line	ZNF33A	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.14831965091612742
cell_line	ZNF33B	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.07004730942216714
cell_line	ZNF341	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.7984500225518095
cell_line	ZNF444	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.04418409516916533
cell_line	ZNF540	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.030059309033639247
cell_line	ZNF75D	LUAD_HC_TF	19	19	1	0.05263157894736842	0.05263157894736842	10	10	FALSE	FALSE	0.12119380849535188
