system	TF	TF_role	n_all_samples	n_peak_count_matchable_samples	n_motif_enriched	fraction_enriched_all_samples	fraction_enriched_matchable_samples	half_threshold_all_samples	half_threshold_matchable_samples	support_fixed_original_denominator	support_matchable_denominator	mean_log2_odds_ratio_tested	catalogued_motif_tokens
patient	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.08026936088011744	CIS-BP2.00|000926|M08076_2.00;JASPAR2024|000234|MA0102.5
patient	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	9	0.4090909090909091	0.4090909090909091	11	11	FALSE	FALSE	0.3779422593943076	CIS-BP2.00|000866|M07830_2.00;JASPAR2024|000235|MA0466.4
patient	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.3399187813500341	CIS-BP2.00|000227|M03002_2.00;JASPAR2024|000276|MA0640.3
patient	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.14429083147976696	CIS-BP2.00|000890|M07960_2.00;JASPAR2024|000356|MA0148.5
patient	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.10482550893947286	CIS-BP2.00|000889|M07959_2.00;JASPAR2024|000357|MA0047.4
patient	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.05930286313978672	CIS-BP2.00|000947|M08124_2.00;JASPAR2024|000382|MA1104.3
patient	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.012100291088335723	CIS-BP2.00|000974|M08219_2.00;JASPAR2024|000409|MA1494.2;JASPAR2024|000410|MA0114.5
patient	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.01033363327820879	JASPAR2024|000822|MA1994.2
PDX	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.12185988942439852	CIS-BP2.00|000926|M08076_2.00;JASPAR2024|000234|MA0102.5
PDX	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	7	0.5384615384615384	0.7	7	5	TRUE	TRUE	0.4642265858964611	CIS-BP2.00|000866|M07830_2.00;JASPAR2024|000235|MA0466.4
PDX	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	13	10	10	0.7692307692307693	1.0	7	5	TRUE	TRUE	0.5211669995542809	CIS-BP2.00|000227|M03002_2.00;JASPAR2024|000276|MA0640.3
PDX	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.1279398881524386	CIS-BP2.00|000890|M07960_2.00;JASPAR2024|000356|MA0148.5
PDX	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.11497092948270335	CIS-BP2.00|000889|M07959_2.00;JASPAR2024|000357|MA0047.4
PDX	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.10459631863363102	CIS-BP2.00|000947|M08124_2.00;JASPAR2024|000382|MA1104.3
PDX	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.15590471866002775	CIS-BP2.00|000974|M08219_2.00;JASPAR2024|000409|MA1494.2;JASPAR2024|000410|MA0114.5
PDX	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.15628016439459624	JASPAR2024|000822|MA1994.2
cell_line	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.08304954080878323	CIS-BP2.00|000926|M08076_2.00;JASPAR2024|000234|MA0102.5
cell_line	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	2	0.10526315789473684	0.10526315789473684	10	10	FALSE	FALSE	0.26773025252442706	CIS-BP2.00|000866|M07830_2.00;JASPAR2024|000235|MA0466.4
cell_line	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	19	19	19	1.0	1.0	10	10	TRUE	TRUE	0.4626501414424536	CIS-BP2.00|000227|M03002_2.00;JASPAR2024|000276|MA0640.3
cell_line	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.1316788085140073	CIS-BP2.00|000890|M07960_2.00;JASPAR2024|000356|MA0148.5
cell_line	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.1306312601772802	CIS-BP2.00|000889|M07959_2.00;JASPAR2024|000357|MA0047.4
cell_line	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.09020246563425813	CIS-BP2.00|000947|M08124_2.00;JASPAR2024|000382|MA1104.3
cell_line	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.009160693813057041	CIS-BP2.00|000974|M08219_2.00;JASPAR2024|000409|MA1494.2;JASPAR2024|000410|MA0114.5
cell_line	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.10420685635026868	JASPAR2024|000822|MA1994.2
