TF	motif_token	p_value	q_value	target_with_motif	target_total	background_with_motif	background_total	log2_odds_ratio	motif_enriched_q1e-5	system	sample_id	sample_slug
FOXA3	CIS-BP2.00|000469|M04831_2.00	1e-18	0.0	212.0	3585.0	842.6	27578.0	0.9982192575064781	TRUE	patient	TCGA-44-3918	TCGA-44-3918
ELF3	CIS-BP2.00|000227|M03002_2.00	1e-08	0.0	1525.0	3585.0	10423.5	27578.0	0.2850078531750394	TRUE	patient	TCGA-44-3918	TCGA-44-3918
CEBPB	JASPAR2024|000235|MA0466.4	1e-06	0.0	297.0	3585.0	1699.1	27578.0	0.4620689189923028	TRUE	patient	TCGA-44-3918	TCGA-44-3918
ZNF444	CIS-BP2.00|000420|M04529_2.00	0.001	0.0052	1374.0	3585.0	9813.2	27578.0	0.1700746413550178	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA1	CIS-BP2.00|000890|M07960_2.00	0.001	0.0076	1927.0	3585.0	14067.5	27578.0	0.15856906584785274	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF75D	CIS-BP2.00|000750|M07683_2.00	0.01	0.0298	2313.0	3585.0	17179.8	27578.0	0.13805939398078587	FALSE	patient	TCGA-44-3918	TCGA-44-3918
XBP1	JASPAR2024|000675|MA0844.2	0.01	0.0306	1698.0	3585.0	12430.1	27578.0	0.13305406154676588	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXD2	JASPAR2024|000361|MA0847.4	0.01	0.0331	1373.0	3585.0	9957.7	27578.0	0.1355019847780694	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA2	CIS-BP2.00|000889|M07959_2.00	0.1	0.1278	2183.0	3585.0	16327.6	27578.0	0.101325249545181	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF19	CIS-BP2.00|000670|M07603_2.00	0.1	0.128	3575.0	3585.0	27444.4	27578.0	0.7345268300375786	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CEBPB	CIS-BP2.00|000866|M07830_2.00	0.1	0.1355	1628.0	3585.0	12060.7	27578.0	0.09808199766427513	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CREB3L2	CIS-BP2.00|000117|M01812_2.00	0.1	0.1855	1847.0	3585.0	13787.5	27578.0	0.08804516547657584	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CREB3L2	JASPAR2024|000025|MA0608.1	0.1	0.2071	1835.0	3585.0	13710.7	27578.0	0.08479014720513832	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF33A	CIS-BP2.00|000762|M07695_2.00	0.1	0.23	3289.0	3585.0	25082.1	27578.0	0.14299842269119895	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NFATC4	JASPAR2024|000506|MA1525.3	0.1	0.2949	2526.0	3585.0	19108.1	27578.0	0.08003651480507723	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF75D	JASPAR2024|000169|MA1601.2	0.1	0.3679	2538.0	3585.0	19239.9	27578.0	0.07076431311671423	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ETV1	JASPAR2024|000311|MA0761.3	0.1	0.386	3565.0	3585.0	27379.7	27578.0	0.33666526630071736	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ETV1	CIS-BP2.00|000457|M04708_2.00	1.0	0.4035	3580.0	3585.0	27519.0	27578.0	0.49316485887806727	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CEBPA	CIS-BP2.00|000926|M08076_2.00	1.0	0.4306	1355.0	3585.0	10156.3	27578.0	0.0599388393905185	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NR3C2	JASPAR2024|000539|MA0727.2	1.0	0.4702	258.0	3585.0	1855.0	27578.0	0.10700456587439264	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZBTB18	CIS-BP2.00|000988|M08257_2.00	1.0	0.5843	3173.0	3585.0	24288.3	27578.0	0.05956479170041515	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CEBPA	JASPAR2024|000234|MA0102.5	1.0	0.6559	2599.0	3585.0	19857.5	27578.0	0.03498248821669967	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NKX2-1	JASPAR2024|000822|MA1994.2	1.0	0.7159	3422.0	3585.0	26275.7	27578.0	0.053618878901523774	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXD2	CIS-BP2.00|000235|M03042_2.00	1.0	0.7366	1305.0	3585.0	9929.5	27578.0	0.024973106673812334	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF141	CIS-BP2.00|000653|M07586_2.00	1.0	0.84	2584.0	3585.0	19831.1	27578.0	0.011705836593495235	FALSE	patient	TCGA-44-3918	TCGA-44-3918
HNF4A	JASPAR2024|000409|MA1494.2	1.0	0.844	416.0	3585.0	3166.3	27578.0	0.018637786130653533	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF33B	CIS-BP2.00|000777|M07710_2.00	1.0	0.905	1228.0	3585.0	9444.3	27578.0	0.0007610362322169196	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF540	CIS-BP2.00|000701|M07634_2.00	1.0	0.9699	758.0	3585.0	5871.7	27578.0	-0.01213188858264514	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA2	JASPAR2024|000357|MA0047.4	1.0	0.9825	2786.0	3585.0	21486.3	27578.0	-0.01713121579535229	FALSE	patient	TCGA-44-3918	TCGA-44-3918
XBP1	CIS-BP2.00|000375|M04231_2.00	1.0	0.9929	3265.0	3585.0	25158.7	27578.0	-0.029218685850741794	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ELF3	JASPAR2024|000276|MA0640.3	1.0	1.0	3569.0	3585.0	27469.8	27578.0	-0.22426474813861544	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA3	JASPAR2024|000358|MA1683.2	1.0	1.0	3161.0	3585.0	24385.5	27578.0	-0.03629591573587366	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA1	JASPAR2024|000356|MA0148.5	1.0	1.0	2864.0	3585.0	22117.5	27578.0	-0.028771837219815376	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZBTB18	JASPAR2024|000681|MA0698.2	1.0	1.0	2033.0	3585.0	15804.2	27578.0	-0.03534063637193673	FALSE	patient	TCGA-44-3918	TCGA-44-3918
E2F5	CIS-BP2.00|000940|M08109_2.00	1.0	1.0	3070.0	3585.0	23739.8	27578.0	-0.05421917469796684	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NFATC4	CIS-BP2.00|000101|M01306_2.00	1.0	1.0	3584.0	3585.0	27579.9	27578.0	-4.528762083897794	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NR3C2	CIS-BP2.00|000154|M02395_2.00	1.0	1.0	3584.0	3585.0	27579.9	27578.0	-4.528762083897794	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ETV1	JASPAR2024|000652|MA1966.2	1.0	1.0	3454.0	3585.0	26676.2	27578.0	-0.17048700799255853	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF281	JASPAR2024|000706|MA1630.3	1.0	1.0	2914.0	3585.0	22659.4	27578.0	-0.08588610865481482	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF341	CIS-BP2.00|001017|M08310_2.00	1.0	1.0	3576.0	3585.0	27539.7	27578.0	-0.9148614560286843	FALSE	patient	TCGA-44-3918	TCGA-44-3918
HNF4A	JASPAR2024|000410|MA0114.5	1.0	1.0	3427.0	3585.0	26514.6	27578.0	-0.2047778110532321	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF341	JASPAR2024|000712|MA1655.2	1.0	1.0	3579.0	3585.0	27559.8	27578.0	-1.4202349605158056	FALSE	patient	TCGA-44-3918	TCGA-44-3918
GATA6	JASPAR2024|000382|MA1104.3	1.0	1.0	2912.0	3585.0	22704.3	27578.0	-0.10725177497751168	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF254	CIS-BP2.00|000827|M07760_2.00	1.0	1.0	557.0	3585.0	4592.9	27578.0	-0.11846370163725806	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF281	CIS-BP2.00|001020|M08321_2.00	1.0	1.0	2899.0	3585.0	22631.5	27578.0	-0.11526576445233816	FALSE	patient	TCGA-44-3918	TCGA-44-3918
GATA6	CIS-BP2.00|000947|M08124_2.00	1.0	1.0	2619.0	3585.0	20629.9	27578.0	-0.13152773040839202	FALSE	patient	TCGA-44-3918	TCGA-44-3918
HNF4A	CIS-BP2.00|000974|M08219_2.00	1.0	1.0	3246.0	3585.0	25333.8	27578.0	-0.23909568776710613	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ELF3	CIS-BP2.00|000227|M03002_2.00	1e-11	0.0	1555.0	3583.0	10360.9	27479.0	0.34131086320278853	TRUE	patient	TCGA-44-6146	TCGA-44-6146
FOXA3	CIS-BP2.00|000469|M04831_2.00	1e-09	0.0	185.0	3583.0	861.7	27479.0	0.7528179317298437	TRUE	patient	TCGA-44-6146	TCGA-44-6146
CEBPB	JASPAR2024|000235|MA0466.4	1e-06	0.0	300.0	3583.0	1724.7	27479.0	0.4502082513061054	TRUE	patient	TCGA-44-6146	TCGA-44-6146
ZNF444	CIS-BP2.00|000420|M04529_2.00	0.0001	0.0008	1383.0	3583.0	9728.9	27479.0	0.19793631951185875	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXA1	CIS-BP2.00|000890|M07960_2.00	0.0001	0.0011	1959.0	3583.0	14130.8	27479.0	0.1882948855931834	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ETV1	JASPAR2024|000311|MA0761.3	0.01	0.0454	3569.0	3583.0	27259.7	27479.0	0.9890643412138229	FALSE	patient	TCGA-44-6146	TCGA-44-6146
