system	sample_id	sample_slug	TF	TF_role	motif_test_status	motif_token	q_value	log2_odds_ratio	motif_enriched_q1e-5
patient	TCGA-44-3918	TCGA-44-3918	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000926|M08076_2.00	0.4306	0.0599388393905185	FALSE
patient	TCGA-44-3918	TCGA-44-3918	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0	0.4620689189923028	TRUE
patient	TCGA-44-3918	TCGA-44-3918	CREB3L2	LUAD_HC_TF	TESTED	CIS-BP2.00|000117|M01812_2.00	0.1855	0.08804516547657584	FALSE
patient	TCGA-44-3918	TCGA-44-3918	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	1.0	-0.05421917469796684	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000227|M03002_2.00	0.0	0.2850078531750394	TRUE
patient	TCGA-44-3918	TCGA-44-3918	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000311|MA0761.3	0.386	0.33666526630071736	FALSE
patient	TCGA-44-3918	TCGA-44-3918	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000890|M07960_2.00	0.0076	0.15856906584785274	FALSE
patient	TCGA-44-3918	TCGA-44-3918	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	CIS-BP2.00|000889|M07959_2.00	0.1278	0.101325249545181	FALSE
patient	TCGA-44-3918	TCGA-44-3918	FOXA3	LUAD_HC_TF	TESTED	CIS-BP2.00|000469|M04831_2.00	0.0	0.9982192575064781	TRUE
patient	TCGA-44-3918	TCGA-44-3918	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.0331	0.1355019847780694	FALSE
patient	TCGA-44-3918	TCGA-44-3918	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000382|MA1104.3	1.0	-0.10725177497751168	FALSE
patient	TCGA-44-3918	TCGA-44-3918	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000409|MA1494.2	0.844	0.018637786130653533	FALSE
patient	TCGA-44-3918	TCGA-44-3918	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.2949	0.08003651480507723	FALSE
patient	TCGA-44-3918	TCGA-44-3918	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	0.7159	0.053618878901523774	FALSE
patient	TCGA-44-3918	TCGA-44-3918	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.4702	0.10700456587439264	FALSE
patient	TCGA-44-3918	TCGA-44-3918	XBP1	LUAD_HC_TF	TESTED	JASPAR2024|000675|MA0844.2	0.0306	0.13305406154676588	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZBTB18	LUAD_HC_TF	TESTED	CIS-BP2.00|000988|M08257_2.00	0.5843	0.05956479170041515	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF141	LUAD_HC_TF	TESTED	CIS-BP2.00|000653|M07586_2.00	0.84	0.011705836593495235	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF19	LUAD_HC_TF	TESTED	CIS-BP2.00|000670|M07603_2.00	0.128	0.7345268300375786	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF254	LUAD_HC_TF	TESTED	CIS-BP2.00|000827|M07760_2.00	1.0	-0.11846370163725806	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF281	LUAD_HC_TF	TESTED	JASPAR2024|000706|MA1630.3	1.0	-0.08588610865481482	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF33A	LUAD_HC_TF	TESTED	CIS-BP2.00|000762|M07695_2.00	0.23	0.14299842269119895	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF33B	LUAD_HC_TF	TESTED	CIS-BP2.00|000777|M07710_2.00	0.905	0.0007610362322169196	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF341	LUAD_HC_TF	TESTED	CIS-BP2.00|001017|M08310_2.00	1.0	-0.9148614560286843	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF444	LUAD_HC_TF	TESTED	CIS-BP2.00|000420|M04529_2.00	0.0052	0.1700746413550178	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF540	LUAD_HC_TF	TESTED	CIS-BP2.00|000701|M07634_2.00	0.9699	-0.01213188858264514	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF75D	LUAD_HC_TF	TESTED	CIS-BP2.00|000750|M07683_2.00	0.0298	0.13805939398078587	FALSE
