system	TF	TF_role	n_all_samples	n_peak_count_matchable_samples	n_motif_enriched	fraction_enriched_all_samples	fraction_enriched_matchable_samples	half_threshold_all_samples	half_threshold_matchable_samples	support_fixed_original_denominator	support_matchable_denominator	mean_log2_odds_ratio_tested
patient	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.08073236234130228
patient	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	9	0.4090909090909091	0.4090909090909091	11	11	FALSE	FALSE	0.3784321983976649
patient	CREB3L2	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.11265559080123164
patient	E2F5	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.07330045859341702
patient	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.3406816695442478
patient	ETV1	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.534837786804551
patient	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.14525152002541544
patient	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.1059788039012333
patient	FOXA3	LUAD_HC_TF	22	22	20	0.9090909090909091	0.9090909090909091	11	11	TRUE	TRUE	0.8746493816466923
patient	FOXD2	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.11993337948692184
patient	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.05747026148266298
patient	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.01601048625546685
patient	NFATC4	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.13265281421871944
patient	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.020158945559347167
patient	NR3C2	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.149722147312471
patient	XBP1	LUAD_HC_TF	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.17727344793472408
patient	ZBTB18	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.03007886058790296
patient	ZNF141	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.03036784702201133
patient	ZNF19	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.46794091833256024
patient	ZNF254	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.19521387962144648
patient	ZNF281	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.05069071016480453
patient	ZNF33A	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.10265372359147368
patient	ZNF33B	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.003595796063721856
patient	ZNF341	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.6156372578738172
patient	ZNF444	LUAD_HC_TF	22	22	3	0.13636363636363635	0.13636363636363635	11	11	FALSE	FALSE	0.18488058384002834
patient	ZNF540	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.007411383941456087
patient	ZNF75D	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.07036576211300248
PDX	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.12180756710184704
PDX	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	7	0.5384615384615384	0.7	7	5	TRUE	TRUE	0.46427257863273386
PDX	CREB3L2	LUAD_HC_TF	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.14933691869324495
PDX	E2F5	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.0978280967125776
PDX	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	13	10	10	0.7692307692307693	1.0	7	5	TRUE	TRUE	0.5212519453040805
PDX	ETV1	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.32134656689498703
PDX	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.1278926026796932
PDX	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.11490030845663435
PDX	FOXA3	LUAD_HC_TF	13	10	2	0.15384615384615385	0.2	7	5	FALSE	FALSE	0.34017201001705294
PDX	FOXD2	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.03903537051745447
PDX	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.10477130731929868
PDX	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.15857107252129996
PDX	NFATC4	LUAD_HC_TF	13	10	9	0.6923076923076923	0.9	7	5	TRUE	TRUE	0.3183852904304454
PDX	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.15727900154687388
PDX	NR3C2	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.158243944631819
PDX	XBP1	LUAD_HC_TF	13	10	8	0.6153846153846154	0.8	7	5	TRUE	TRUE	0.2937665197712786
PDX	ZBTB18	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	-0.08678683436528772
PDX	ZNF141	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.08051515852013859
PDX	ZNF19	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.308987835665531
PDX	ZNF254	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	-0.1204285042955577
PDX	ZNF281	LUAD_HC_TF	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.12811373449957045
PDX	ZNF33A	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.13827746966240698
PDX	ZNF33B	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	-0.09802658012858562
PDX	ZNF341	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.795635485581683
PDX	ZNF444	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.07887274066012989
PDX	ZNF540	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	-0.06887111935639689
PDX	ZNF75D	LUAD_HC_TF	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.12382048629466458
cell_line	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.08267562901584569
cell_line	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	2	0.10526315789473684	0.10526315789473684	10	10	FALSE	FALSE	0.2676080177779645
cell_line	CREB3L2	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.06689292652222506
cell_line	E2F5	LUAD_HC_TF	19	19	1	0.05263157894736842	0.05263157894736842	10	10	FALSE	FALSE	0.11920589595493057
cell_line	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	19	19	19	1.0	1.0	10	10	TRUE	TRUE	0.4624898451511371
cell_line	ETV1	LUAD_HC_TF	19	19	1	0.05263157894736842	0.05263157894736842	10	10	FALSE	FALSE	0.7249081095655943
cell_line	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.13143029169205156
cell_line	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.13038444448842298
cell_line	FOXA3	LUAD_HC_TF	19	19	3	0.15789473684210525	0.15789473684210525	10	10	FALSE	FALSE	0.323682108055275
cell_line	FOXD2	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.028648201137178204
cell_line	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.08856542962193788
cell_line	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.012272362317896943
cell_line	NFATC4	LUAD_HC_TF	19	19	17	0.8947368421052632	0.8947368421052632	10	10	TRUE	TRUE	0.2978808533223534
cell_line	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.10228522100720454
cell_line	NR3C2	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.00488653894604432
cell_line	XBP1	LUAD_HC_TF	19	19	13	0.6842105263157895	0.6842105263157895	10	10	TRUE	TRUE	0.2779891131989914
cell_line	ZBTB18	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.09822665890962623
cell_line	ZNF141	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.016110906047557452
cell_line	ZNF19	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.31862059829471273
cell_line	ZNF254	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.13194506987960553
cell_line	ZNF281	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.026149847296566553
cell_line	ZNF33A	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.14735142402276732
cell_line	ZNF33B	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.07020113655607085
cell_line	ZNF341	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.8344054796982608
cell_line	ZNF444	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.04433585492435486
cell_line	ZNF540	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.030189773044073515
cell_line	ZNF75D	LUAD_HC_TF	19	19	1	0.05263157894736842	0.05263157894736842	10	10	FALSE	FALSE	0.12091763912360959
