system	TF	TF_role	n_all_samples	n_peak_count_matchable_samples	n_motif_enriched	fraction_enriched_all_samples	fraction_enriched_matchable_samples	half_threshold_all_samples	half_threshold_matchable_samples	support_fixed_original_denominator	support_matchable_denominator	mean_log2_odds_ratio_tested	catalogued_motif_tokens
patient	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.08073236234130228	CIS-BP2.00|000926|M08076_2.00;JASPAR2024|000234|MA0102.5
patient	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	9	0.4090909090909091	0.4090909090909091	11	11	FALSE	FALSE	0.3784321983976649	CIS-BP2.00|000866|M07830_2.00;JASPAR2024|000235|MA0466.4
patient	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.3406816695442478	CIS-BP2.00|000227|M03002_2.00;JASPAR2024|000276|MA0640.3
patient	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.14525152002541544	CIS-BP2.00|000890|M07960_2.00;JASPAR2024|000356|MA0148.5
patient	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	1	0.045454545454545456	0.045454545454545456	11	11	FALSE	FALSE	0.1059788039012333	CIS-BP2.00|000889|M07959_2.00;JASPAR2024|000357|MA0047.4
patient	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.05747026148266298	CIS-BP2.00|000947|M08124_2.00;JASPAR2024|000382|MA1104.3
patient	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.01601048625546685	CIS-BP2.00|000974|M08219_2.00;JASPAR2024|000409|MA1494.2;JASPAR2024|000410|MA0114.5
patient	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.020158945559347167	JASPAR2024|000822|MA1994.2
PDX	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.12180756710184704	CIS-BP2.00|000926|M08076_2.00;JASPAR2024|000234|MA0102.5
PDX	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	7	0.5384615384615384	0.7	7	5	TRUE	TRUE	0.46427257863273386	CIS-BP2.00|000866|M07830_2.00;JASPAR2024|000235|MA0466.4
PDX	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	13	10	10	0.7692307692307693	1.0	7	5	TRUE	TRUE	0.5212519453040805	CIS-BP2.00|000227|M03002_2.00;JASPAR2024|000276|MA0640.3
PDX	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.1278926026796932	CIS-BP2.00|000890|M07960_2.00;JASPAR2024|000356|MA0148.5
PDX	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.11490030845663435	CIS-BP2.00|000889|M07959_2.00;JASPAR2024|000357|MA0047.4
PDX	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.10477130731929868	CIS-BP2.00|000947|M08124_2.00;JASPAR2024|000382|MA1104.3
PDX	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.15857107252129996	CIS-BP2.00|000974|M08219_2.00;JASPAR2024|000409|MA1494.2;JASPAR2024|000410|MA0114.5
PDX	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.15727900154687388	JASPAR2024|000822|MA1994.2
cell_line	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.08267562901584569	CIS-BP2.00|000926|M08076_2.00;JASPAR2024|000234|MA0102.5
cell_line	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	2	0.10526315789473684	0.10526315789473684	10	10	FALSE	FALSE	0.2676080177779645	CIS-BP2.00|000866|M07830_2.00;JASPAR2024|000235|MA0466.4
cell_line	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	19	19	19	1.0	1.0	10	10	TRUE	TRUE	0.4624898451511371	CIS-BP2.00|000227|M03002_2.00;JASPAR2024|000276|MA0640.3
cell_line	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.13143029169205156	CIS-BP2.00|000890|M07960_2.00;JASPAR2024|000356|MA0148.5
cell_line	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.13038444448842298	CIS-BP2.00|000889|M07959_2.00;JASPAR2024|000357|MA0047.4
