TR	Sample_Group	Mean_LOR	SD_LOR	n_samples	total	Pct_samples	sig_cohort
ATOH7	TCGA	-0.09312080602253454	0.36933784499253836	7	7	100.0	FALSE
ATOH7	PDX	0.11401216174208868	0.36228711795330604	38	38	100.0	TRUE
ATOH7	CellLines	0.22756071411434645	0.4365418647870518	26	26	100.0	FALSE
BARX2	TCGA	0.0700027389477509	0.03232294514035772	7	7	100.0	TRUE
BARX2	PDX	0.0620181557288586	0.04794863821098867	38	38	100.0	TRUE
BARX2	CellLines	0.08979418140990622	0.04039659874725229	26	26	100.0	TRUE
BATF3	TCGA	0.0773944743839652	0.021262250473368587	7	7	100.0	TRUE
BATF3	PDX	0.11837746350533045	0.06600649486469727	38	38	100.0	TRUE
BATF3	CellLines	0.13934942750669552	0.049197961327325845	26	26	100.0	TRUE
CEBPB	TCGA	0.06496094314273448	0.22907467939955947	7	7	100.0	TRUE
CEBPB	PDX	0.050934081186675945	0.19444590874760118	38	38	100.0	FALSE
CEBPB	CellLines	0.012670267761602823	0.23890265813428194	26	26	100.0	FALSE
CREB5	TCGA	0.03642453969961557	0.07816420895746361	7	7	100.0	FALSE
CREB5	PDX	0.12640218315907467	0.1059377198666791	38	38	100.0	TRUE
CREB5	CellLines	0.15392381616620546	0.10452583903807318	26	26	100.0	TRUE
DLX4	TCGA	0.20946980046705974	0.0633067862084444	7	7	100.0	TRUE
DLX4	PDX	0.21669445353834207	0.09555618991755695	38	38	100.0	TRUE
DLX4	CellLines	0.24950782455474232	0.0882903643637194	26	26	100.0	TRUE
DMRTA1	TCGA	0.11348958951368579	0.040153621680777206	7	7	100.0	TRUE
DMRTA1	PDX	0.13313688553437658	0.04759500232376608	38	38	100.0	TRUE
DMRTA1	CellLines	0.1563597975571671	0.03306669641565102	26	26	100.0	TRUE
DMRTA2	TCGA	0.6106544787935824	0.17427132701201337	7	7	100.0	TRUE
DMRTA2	PDX	0.7772303361569152	0.17488610291397275	38	38	100.0	TRUE
DMRTA2	CellLines	0.8591622759728731	0.14952624996900157	26	26	100.0	TRUE
E2F2	TCGA	0.04114042111362946	0.037634609193058506	7	7	100.0	TRUE
E2F2	PDX	0.053248533185243904	0.05285302359153569	38	38	100.0	TRUE
E2F2	CellLines	0.047241424072139784	0.06687203929024409	26	26	100.0	TRUE
E2F3	TCGA	0.3394486511150876	0.06332536327860218	7	7	100.0	TRUE
E2F3	PDX	0.38810675952568796	0.11809119116421717	38	38	100.0	TRUE
E2F3	CellLines	0.417744453233654	0.14239887140436397	26	26	100.0	TRUE
E2F8	TCGA	0.16287954500368138	0.10063980199999135	7	7	100.0	TRUE
E2F8	PDX	0.1832912998294846	0.14691088394899246	38	38	100.0	TRUE
E2F8	CellLines	0.14274503723589965	0.13438253918706775	26	26	100.0	TRUE
EN1	TCGA	0.10388232838412968	0.028921912488279657	7	7	100.0	TRUE
EN1	PDX	0.10171796373618217	0.05512322072705315	38	38	100.0	TRUE
EN1	CellLines	0.1374277873244899	0.06489674652778546	26	26	100.0	TRUE
ETV4	TCGA	0.21005305211750583	0.12059630478406727	7	7	100.0	TRUE
ETV4	PDX	0.18143712415734953	0.1422525028125514	38	38	100.0	TRUE
ETV4	CellLines	0.23461751690417557	0.14495760121368845	26	26	100.0	TRUE
ETV6	TCGA	0.3092679904713098	0.11100642689428801	7	7	100.0	TRUE
ETV6	PDX	0.31544457058182324	0.14389806073535572	38	38	100.0	TRUE
ETV6	CellLines	0.39021787138748787	0.10765030011135758	26	26	100.0	TRUE
FOSL1	TCGA	-0.03237122737995914	0.03584916296333077	7	7	100.0	FALSE
FOSL1	PDX	0.017356663736366518	0.07062827345316765	38	38	100.0	FALSE
FOSL1	CellLines	0.07783285895630511	0.08738580773971324	26	26	100.0	TRUE
FOXC1	TCGA	0.05997741153209726	0.028987255913338235	7	7	100.0	TRUE
FOXC1	PDX	0.056419004356117734	0.045683050686207566	38	38	100.0	TRUE
FOXC1	CellLines	0.06773574052132235	0.03149992857048932	26	26	100.0	TRUE
FOXN2	TCGA	0.46631535649151346	0.15483801335160405	7	7	100.0	TRUE
FOXN2	PDX	0.6952653846042337	0.15254291218934288	36	38	94.73684210526315	TRUE
FOXN2	CellLines	0.8068013773561106	0.16691784935719503	26	26	100.0	TRUE
FOXP4	TCGA	0.29095351216571524	0.08356302945445591	7	7	100.0	TRUE
FOXP4	PDX	0.3164724355961233	0.0908425484458692	38	38	100.0	TRUE
FOXP4	CellLines	0.34485623534223775	0.07768585863357332	26	26	100.0	TRUE
GATA6	TCGA	0.10165108451618257	0.06211999043111657	7	7	100.0	TRUE
GATA6	PDX	0.06395312299978088	0.06032806242775007	38	38	100.0	TRUE
GATA6	CellLines	0.09895450316143481	0.09277336671816815	26	26	100.0	TRUE
GRHL1	TCGA	0.14781094836411168	0.06515570974915473	7	7	100.0	TRUE
GRHL1	PDX	0.17899567500763575	0.09522201579339235	38	38	100.0	TRUE
GRHL1	CellLines	0.12532679631113183	0.0759841673476147	26	26	100.0	TRUE
HIF1A	TCGA	0.04279456270134771	0.03719133760083773	7	7	100.0	TRUE
HIF1A	PDX	0.041780168400736485	0.04264119678481942	38	38	100.0	TRUE
HIF1A	CellLines	0.03751231012713377	0.0731448643808626	26	26	100.0	TRUE
HMGA1	TCGA	0.05958144452882876	0.04036944979753849	7	7	100.0	TRUE
HMGA1	PDX	0.0401049747118841	0.04801423847883136	38	38	100.0	TRUE
HMGA1	CellLines	0.04589786729977475	0.03481318258631548	26	26	100.0	TRUE
KLF11	TCGA	0.05658204098976304	0.047907251190202886	7	7	100.0	TRUE
KLF11	PDX	0.0441457083449072	0.11101105464490572	38	38	100.0	TRUE
KLF11	CellLines	0.10617644879947608	0.07228080232231886	26	26	100.0	TRUE
KLF5	TCGA	0.03397105537314706	0.0532020234680942	7	7	100.0	TRUE
KLF5	PDX	0.009732253909162497	0.11044697037636572	38	38	100.0	FALSE
KLF5	CellLines	0.08714090803077405	0.09748047922616042	26	26	100.0	TRUE
MESP1	TCGA	0.12279703680493925	0.16586108518706952	7	7	100.0	TRUE
MESP1	PDX	0.05268132549089917	0.24009758023266994	36	38	94.73684210526315	FALSE
MESP1	CellLines	0.07060658662480117	0.1666180037816702	26	26	100.0	FALSE
MYBL2	TCGA	0.12612051839461444	0.029005360576322546	7	7	100.0	TRUE
MYBL2	PDX	0.1308883880041809	0.05234667782396138	38	38	100.0	TRUE
MYBL2	CellLines	0.15601505792533896	0.05843640469996659	26	26	100.0	TRUE
NFIL3	TCGA	0.1073970684204762	0.0398273203120137	7	7	100.0	TRUE
NFIL3	PDX	0.12944640902948854	0.0603846491724316	38	38	100.0	TRUE
NFIL3	CellLines	0.11303554522513547	0.04294879226117921	26	26	100.0	TRUE
OTX1	TCGA	0.20353665857473566	0.06022475769506749	7	7	100.0	TRUE
OTX1	PDX	0.2313976487469658	0.08095711547254411	38	38	100.0	TRUE
OTX1	CellLines	0.25609244562585415	0.061381640316305885	26	26	100.0	TRUE
PLAG1	TCGA	0.05670428391636529	0.019973381346208373	7	7	100.0	TRUE
PLAG1	PDX	0.019742990512268604	0.07569446180945974	38	38	100.0	FALSE
PLAG1	CellLines	0.03808395505852839	0.0510243416722035	26	26	100.0	FALSE
PLAGL1	TCGA	0.09970073752859016	0.14043285071589362	7	7	100.0	TRUE
PLAGL1	PDX	0.20356758354445584	0.15063458686213171	38	38	100.0	TRUE
PLAGL1	CellLines	0.11601458958407777	0.18600853863679084	26	26	100.0	TRUE
PPARA	TCGA	0.1493486533139744	0.07867676805331361	7	7	100.0	TRUE
PPARA	PDX	0.07196066791283989	0.09389427345121858	38	38	100.0	FALSE
PPARA	CellLines	0.1855082064512531	0.081022397473959	26	26	100.0	TRUE
RELB	TCGA	0.023449382842812252	0.1257779219687354	7	7	100.0	FALSE
RELB	PDX	0.1594147119152462	0.12110445406684549	38	38	100.0	FALSE
RELB	CellLines	0.2881827824162789	0.13219257043717367	26	26	100.0	TRUE
RUNX3	TCGA	0.11867411865979796	0.11395622950926809	7	7	100.0	TRUE
RUNX3	PDX	-0.009348765400356424	0.11928307050666916	38	38	100.0	FALSE
RUNX3	CellLines	0.1535223562352614	0.12528436083616168	26	26	100.0	TRUE
SOX6	TCGA	-0.007038182752159917	0.033996502498155196	7	7	100.0	FALSE
SOX6	PDX	0.041917622237195876	0.04234810782061494	38	38	100.0	TRUE
SOX6	CellLines	0.009460402902662575	0.03943542949101675	26	26	100.0	FALSE
SOX9	TCGA	0.24189873551356886	0.05615439942679076	7	7	100.0	TRUE
SOX9	PDX	0.30411468372824746	0.10124867555171517	38	38	100.0	TRUE
SOX9	CellLines	0.32740583785213156	0.0717250860194397	26	26	100.0	TRUE
TCF7L1	TCGA	0.07014930840188371	0.021577712795761594	7	7	100.0	TRUE
TCF7L1	PDX	0.055540195286567104	0.0435041993980894	38	38	100.0	TRUE
TCF7L1	CellLines	0.10214844378056759	0.032909834635121676	26	26	100.0	TRUE
