TF	hc_group	TCGA_n_q_le_1e-5	TCGA_cutoff	TCGA	PDX_n_q_le_1e-5	PDX_cutoff	PDX	CellLines_n_q_le_1e-5	CellLines_cutoff	CellLines	any_system_support	triple_system_support
ATOH7	Both	1	4	0	20	19	1	11	13	0	TRUE	FALSE
BARX2	Both	7	4	1	29	19	1	23	13	1	TRUE	TRUE
BATF3	Both	7	4	1	34	19	1	25	13	1	TRUE	TRUE
CEBPB	Both	4	4	1	18	19	0	10	13	0	TRUE	FALSE
CREB5	Both	3	4	0	31	19	1	22	13	1	TRUE	FALSE
DLX4	Both	7	4	1	37	19	1	26	13	1	TRUE	TRUE
DMRTA1	Both	7	4	1	36	19	1	26	13	1	TRUE	TRUE
DMRTA2	Both	7	4	1	38	19	1	26	13	1	TRUE	TRUE
E2F2	Both	5	4	1	27	19	1	15	13	1	TRUE	TRUE
E2F3	Both	7	4	1	37	19	1	26	13	1	TRUE	TRUE
E2F8	Both	6	4	1	26	19	1	17	13	1	TRUE	TRUE
EN1	Both	7	4	1	34	19	1	25	13	1	TRUE	TRUE
ETV4	Both	7	4	1	31	19	1	23	13	1	TRUE	TRUE
ETV6	Both	7	4	1	36	19	1	26	13	1	TRUE	TRUE
FOSL1	Both	0	4	0	13	19	0	16	13	1	TRUE	FALSE
FOXC1	Both	6	4	1	26	19	1	22	13	1	TRUE	TRUE
FOXN2	CISBP only	7	4	1	36	19	1	26	13	1	TRUE	TRUE
FOXP4	JASPAR only	7	4	1	38	19	1	26	13	1	TRUE	TRUE
GATA6	Both	7	4	1	32	19	1	25	13	1	TRUE	TRUE
GRHL1	Both	7	4	1	35	19	1	22	13	1	TRUE	TRUE
HIF1A	Both	4	4	1	21	19	1	16	13	1	TRUE	TRUE
HMGA1	JASPAR only	5	4	1	22	19	1	18	13	1	TRUE	TRUE
KLF11	Both	5	4	1	20	19	1	20	13	1	TRUE	TRUE
KLF5	Both	4	4	1	12	19	0	18	13	1	TRUE	FALSE
MESP1	CISBP only	4	4	1	3	19	0	5	13	0	TRUE	FALSE
MYBL2	Both	7	4	1	36	19	1	24	13	1	TRUE	TRUE
NFIL3	Both	7	4	1	35	19	1	25	13	1	TRUE	TRUE
OTX1	Both	7	4	1	37	19	1	26	13	1	TRUE	TRUE
PLAG1	Both	7	4	1	17	19	0	12	13	0	TRUE	FALSE
PLAGL1	JASPAR only	5	4	1	26	19	1	14	13	1	TRUE	TRUE
PPARA	JASPAR only	5	4	1	13	19	0	20	13	1	TRUE	FALSE
RELB	Both	1	4	0	14	19	0	20	13	1	TRUE	FALSE
RUNX3	Both	4	4	1	3	19	0	14	13	1	TRUE	FALSE
SOX6	Both	2	4	0	23	19	1	5	13	0	TRUE	FALSE
SOX9	Both	7	4	1	38	19	1	26	13	1	TRUE	TRUE
TCF7L1	Both	7	4	1	26	19	1	26	13	1	TRUE	TRUE
TFCP2L1	Both	1	4	0	20	19	1	5	13	0	TRUE	FALSE
TLX3	CISBP only	7	4	1	34	19	1	25	13	1	TRUE	TRUE
VAX1	Both	7	4	1	38	19	1	26	13	1	TRUE	TRUE
VAX2	Both	7	4	1	38	19	1	26	13	1	TRUE	TRUE
ZIC4	Both	7	4	1	32	19	1	25	13	1	TRUE	TRUE
ZNF454	Both	7	4	1	37	19	1	23	13	1	TRUE	TRUE
ZNF695	CISBP only	7	4	1	33	19	1	26	13	1	TRUE	TRUE
