TF	JASPAR_motif_count	CISBP_motif_count	total_tested_motif_count	motif_database_category	primary_source	primary_motif_count	motif_testable
ABHD14B	0	0	0	none	none	0	FALSE
CREB3L2	1	1	2	both	JASPAR2024	1	TRUE
CREBRF	0	0	0	none	none	0	FALSE
CRY2	0	0	0	none	none	0	FALSE
CSRNP1	0	0	0	none	none	0	FALSE
E2F5	0	1	1	CIS-BP_only	CIS-BP2.00	1	TRUE
ELF3	1	1	2	both	JASPAR2024	1	TRUE
ETV1	2	1	3	both	JASPAR2024	2	TRUE
FOXA3	1	1	2	both	JASPAR2024	1	TRUE
FOXD2	1	1	2	both	JASPAR2024	1	TRUE
MAGED2	0	0	0	none	none	0	FALSE
MXD4	0	0	0	none	none	0	FALSE
NCOA7	0	0	0	none	none	0	FALSE
NFATC4	1	1	2	both	JASPAR2024	1	TRUE
NR3C2	1	1	2	both	JASPAR2024	1	TRUE
PHC2	0	0	0	none	none	0	FALSE
WWC2	0	0	0	none	none	0	FALSE
XBP1	1	1	2	both	JASPAR2024	1	TRUE
ZBTB18	1	1	2	both	JASPAR2024	1	TRUE
ZNF117	0	0	0	none	none	0	FALSE
ZNF141	0	1	1	CIS-BP_only	CIS-BP2.00	1	TRUE
ZNF19	0	1	1	CIS-BP_only	CIS-BP2.00	1	TRUE
ZNF254	0	1	1	CIS-BP_only	CIS-BP2.00	1	TRUE
ZNF281	1	1	2	both	JASPAR2024	1	TRUE
ZNF33A	0	1	1	CIS-BP_only	CIS-BP2.00	1	TRUE
ZNF33B	0	1	1	CIS-BP_only	CIS-BP2.00	1	TRUE
ZNF341	1	1	2	both	JASPAR2024	1	TRUE
ZNF444	0	1	1	CIS-BP_only	CIS-BP2.00	1	TRUE
ZNF540	0	1	1	CIS-BP_only	CIS-BP2.00	1	TRUE
ZNF678	0	0	0	none	none	0	FALSE
ZNF75D	1	1	2	both	JASPAR2024	1	TRUE
