scenario	q_threshold	prevalence_threshold	system	TF	n_all_samples	n_tested	n_enriched	fraction_enriched_all_samples	support_count_required	system_supported
primary_anchor	1e-05	0.5	patient	CREB3L2	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	E2F5	22	22	2	0.0909090909091	11	FALSE
primary_anchor	1e-05	0.5	patient	ELF3	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	ETV1	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	FOXA3	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	FOXD2	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	NFATC4	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	NR3C2	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	XBP1	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	ZBTB18	22	22	0	0	11	FALSE
primary_anchor	1e-05	0.5	patient	ZNF141	22	22	2	0.0909090909091	11	FALSE
primary_anchor	1e-05	0.5	patient	ZNF19	22	22	0	0	11	FALSE
primary_anchor	1e-05	0.5	patient	ZNF254	22	22	0	0	11	FALSE
primary_anchor	1e-05	0.5	patient	ZNF281	22	22	0	0	11	FALSE
primary_anchor	1e-05	0.5	patient	ZNF33A	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	ZNF33B	22	22	0	0	11	FALSE
primary_anchor	1e-05	0.5	patient	ZNF341	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	ZNF444	22	22	22	1	11	TRUE
primary_anchor	1e-05	0.5	patient	ZNF540	22	22	16	0.727272727273	11	TRUE
primary_anchor	1e-05	0.5	patient	ZNF75D	22	22	18	0.818181818182	11	TRUE
primary_anchor	1e-05	0.5	PDX	CREB3L2	13	11	8	0.615384615385	7	TRUE
primary_anchor	1e-05	0.5	PDX	E2F5	13	11	9	0.692307692308	7	TRUE
primary_anchor	1e-05	0.5	PDX	ELF3	13	11	0	0	7	FALSE
primary_anchor	1e-05	0.5	PDX	ETV1	13	11	5	0.384615384615	7	FALSE
primary_anchor	1e-05	0.5	PDX	FOXA3	13	11	10	0.769230769231	7	TRUE
primary_anchor	1e-05	0.5	PDX	FOXD2	13	11	0	0	7	FALSE
primary_anchor	1e-05	0.5	PDX	NFATC4	13	11	10	0.769230769231	7	TRUE
primary_anchor	1e-05	0.5	PDX	NR3C2	13	11	0	0	7	FALSE
primary_anchor	1e-05	0.5	PDX	XBP1	13	11	10	0.769230769231	7	TRUE
primary_anchor	1e-05	0.5	PDX	ZBTB18	13	11	0	0	7	FALSE
primary_anchor	1e-05	0.5	PDX	ZNF141	13	11	6	0.461538461538	7	FALSE
primary_anchor	1e-05	0.5	PDX	ZNF19	13	11	1	0.0769230769231	7	FALSE
primary_anchor	1e-05	0.5	PDX	ZNF254	13	11	0	0	7	FALSE
primary_anchor	1e-05	0.5	PDX	ZNF281	13	11	9	0.692307692308	7	TRUE
primary_anchor	1e-05	0.5	PDX	ZNF33A	13	11	2	0.153846153846	7	FALSE
primary_anchor	1e-05	0.5	PDX	ZNF33B	13	11	0	0	7	FALSE
primary_anchor	1e-05	0.5	PDX	ZNF341	13	11	0	0	7	FALSE
primary_anchor	1e-05	0.5	PDX	ZNF444	13	11	1	0.0769230769231	7	FALSE
primary_anchor	1e-05	0.5	PDX	ZNF540	13	11	0	0	7	FALSE
primary_anchor	1e-05	0.5	PDX	ZNF75D	13	11	1	0.0769230769231	7	FALSE
primary_anchor	1e-05	0.5	cell_line	CREB3L2	19	19	1	0.0526315789474	10	FALSE
primary_anchor	1e-05	0.5	cell_line	E2F5	19	19	9	0.473684210526	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ELF3	19	19	4	0.210526315789	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ETV1	19	19	8	0.421052631579	10	FALSE
primary_anchor	1e-05	0.5	cell_line	FOXA3	19	19	18	0.947368421053	10	TRUE
primary_anchor	1e-05	0.5	cell_line	FOXD2	19	19	0	0	10	FALSE
primary_anchor	1e-05	0.5	cell_line	NFATC4	19	19	19	1	10	TRUE
primary_anchor	1e-05	0.5	cell_line	NR3C2	19	19	0	0	10	FALSE
primary_anchor	1e-05	0.5	cell_line	XBP1	19	19	18	0.947368421053	10	TRUE
primary_anchor	1e-05	0.5	cell_line	ZBTB18	19	19	0	0	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ZNF141	19	19	2	0.105263157895	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ZNF19	19	19	2	0.105263157895	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ZNF254	19	19	0	0	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ZNF281	19	19	4	0.210526315789	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ZNF33A	19	19	5	0.263157894737	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ZNF33B	19	19	0	0	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ZNF341	19	19	1	0.0526315789474	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ZNF444	19	19	1	0.0526315789474	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ZNF540	19	19	0	0	10	FALSE
primary_anchor	1e-05	0.5	cell_line	ZNF75D	19	19	2	0.105263157895	10	FALSE
relaxed_q05_half_samples	0.05	0.5	patient	CREB3L2	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	E2F5	22	22	5	0.227272727273	11	FALSE
relaxed_q05_half_samples	0.05	0.5	patient	ELF3	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	ETV1	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	FOXA3	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	FOXD2	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	NFATC4	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	NR3C2	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	XBP1	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	ZBTB18	22	22	2	0.0909090909091	11	FALSE
relaxed_q05_half_samples	0.05	0.5	patient	ZNF141	22	22	19	0.863636363636	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	ZNF19	22	22	3	0.136363636364	11	FALSE
relaxed_q05_half_samples	0.05	0.5	patient	ZNF254	22	22	0	0	11	FALSE
relaxed_q05_half_samples	0.05	0.5	patient	ZNF281	22	22	0	0	11	FALSE
relaxed_q05_half_samples	0.05	0.5	patient	ZNF33A	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	ZNF33B	22	22	3	0.136363636364	11	FALSE
relaxed_q05_half_samples	0.05	0.5	patient	ZNF341	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	ZNF444	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	ZNF540	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	patient	ZNF75D	22	22	22	1	11	TRUE
relaxed_q05_half_samples	0.05	0.5	PDX	CREB3L2	13	11	10	0.769230769231	7	TRUE
relaxed_q05_half_samples	0.05	0.5	PDX	E2F5	13	11	9	0.692307692308	7	TRUE
relaxed_q05_half_samples	0.05	0.5	PDX	ELF3	13	11	5	0.384615384615	7	FALSE
relaxed_q05_half_samples	0.05	0.5	PDX	ETV1	13	11	10	0.769230769231	7	TRUE
relaxed_q05_half_samples	0.05	0.5	PDX	FOXA3	13	11	10	0.769230769231	7	TRUE
relaxed_q05_half_samples	0.05	0.5	PDX	FOXD2	13	11	0	0	7	FALSE
relaxed_q05_half_samples	0.05	0.5	PDX	NFATC4	13	11	10	0.769230769231	7	TRUE
relaxed_q05_half_samples	0.05	0.5	PDX	NR3C2	13	11	0	0	7	FALSE
relaxed_q05_half_samples	0.05	0.5	PDX	XBP1	13	11	10	0.769230769231	7	TRUE
relaxed_q05_half_samples	0.05	0.5	PDX	ZBTB18	13	11	0	0	7	FALSE
relaxed_q05_half_samples	0.05	0.5	PDX	ZNF141	13	11	9	0.692307692308	7	TRUE
relaxed_q05_half_samples	0.05	0.5	PDX	ZNF19	13	11	5	0.384615384615	7	FALSE
relaxed_q05_half_samples	0.05	0.5	PDX	ZNF254	13	11	0	0	7	FALSE
relaxed_q05_half_samples	0.05	0.5	PDX	ZNF281	13	11	9	0.692307692308	7	TRUE
relaxed_q05_half_samples	0.05	0.5	PDX	ZNF33A	13	11	5	0.384615384615	7	FALSE
relaxed_q05_half_samples	0.05	0.5	PDX	ZNF33B	13	11	0	0	7	FALSE
relaxed_q05_half_samples	0.05	0.5	PDX	ZNF341	13	11	9	0.692307692308	7	TRUE
relaxed_q05_half_samples	0.05	0.5	PDX	ZNF444	13	11	4	0.307692307692	7	FALSE
relaxed_q05_half_samples	0.05	0.5	PDX	ZNF540	13	11	0	0	7	FALSE
relaxed_q05_half_samples	0.05	0.5	PDX	ZNF75D	13	11	7	0.538461538462	7	TRUE
relaxed_q05_half_samples	0.05	0.5	cell_line	CREB3L2	19	19	7	0.368421052632	10	FALSE
relaxed_q05_half_samples	0.05	0.5	cell_line	E2F5	19	19	15	0.789473684211	10	TRUE
relaxed_q05_half_samples	0.05	0.5	cell_line	ELF3	19	19	14	0.736842105263	10	TRUE
relaxed_q05_half_samples	0.05	0.5	cell_line	ETV1	19	19	16	0.842105263158	10	TRUE
relaxed_q05_half_samples	0.05	0.5	cell_line	FOXA3	19	19	19	1	10	TRUE
