analysis_definition	system	activity_cohort	TF	n_samples	half_sample_threshold	n_promoter_accessible	fraction_promoter_accessible	system_promoter_accessible	mean_LUAD_NES	mean_NES_nonnegative
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ABHD14B	22	11	22	1.0	TRUE	7.10698272703473	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ABRA	22	11	0	0.0	FALSE	0.206699213130157	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	APBB1	22	11	22	1.0	TRUE	5.0153538926171	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ARX	22	11	18	0.8181818181818182	TRUE	0.95303801457753	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ASCL5	22	11	22	1.0	TRUE	3.07181774747895	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ATOH8	22	11	22	1.0	TRUE	2.53261058157945	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	BATF3	22	11	22	1.0	TRUE	3.94560987563308	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	BCLAF3	22	11	22	1.0	TRUE	3.68348095820866	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	CIITA	22	11	22	1.0	TRUE	5.42767678164645	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	CREB3L2	22	11	22	1.0	TRUE	4.45765773984776	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	CREBRF	22	11	22	1.0	TRUE	5.416577110246	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	CRY2	22	11	22	1.0	TRUE	5.38384025110411	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	CSRNP1	22	11	22	1.0	TRUE	6.11739335691758	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	DMRTC2	22	11	7	0.3181818181818182	FALSE	0.520576545946646	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	DRGX	22	11	21	0.9545454545454546	TRUE	3.90867861386881	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	E2F5	22	11	22	1.0	TRUE	2.91040354712077	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ELF3	22	11	22	1.0	TRUE	4.00945264575307	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ELF5	22	11	22	1.0	TRUE	2.56962158847614	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	EPAS1	22	11	22	1.0	TRUE	5.22667080485923	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ESR1	22	11	21	0.9545454545454546	TRUE	0.530483568592893	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	ETV1	22	11	22	1.0	TRUE	1.99272053365005	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	FOXA1	22	11	22	1.0	TRUE	0.937325721431246	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	FOXA2	22	11	22	1.0	TRUE	0.575309830146304	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	FOXA3	22	11	22	1.0	TRUE	1.31925548460377	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	FOXD2	22	11	22	1.0	TRUE	3.80933362119302	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	FOXP1	22	11	22	1.0	TRUE	2.54973236279028	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	FOXP4	22	11	22	1.0	TRUE	4.98516499160216	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	GATA5	22	11	0	0.0	FALSE	0.752933072354766	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	GATA6	22	11	22	1.0	TRUE	0.833904903216028	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	GCM1	22	11	0	0.0	FALSE	0.186097921178939	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	GLIS3	22	11	22	1.0	TRUE	2.05440998226087	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	HNF1A	22	11	18	0.8181818181818182	TRUE	0.709980926982564	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	HNF1B	22	11	22	1.0	TRUE	6.67481166513423	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	HNF4G	22	11	22	1.0	TRUE	2.71229115490242	TRUE
