variant	layer	system	TF	selected_samples	half_sample_threshold	motif_enriched_samples	support_at_least_half
B0	TRU_like	patient	CEBPA	6	3	6	TRUE
B0	TRU_like	PDX	CEBPA	5	3	1	FALSE
B0	TRU_like	cell_line	CEBPA	10	5	6	TRUE
B0	TRU_like	patient	CEBPB	6	3	6	TRUE
B0	TRU_like	PDX	CEBPB	5	3	2	FALSE
B0	TRU_like	cell_line	CEBPB	10	5	3	FALSE
B0	TRU_like	patient	ELF3	6	3	6	TRUE
B0	TRU_like	PDX	ELF3	5	3	0	FALSE
B0	TRU_like	cell_line	ELF3	10	5	2	FALSE
B0	TRU_like	patient	FOXA1	6	3	6	TRUE
B0	TRU_like	PDX	FOXA1	5	3	1	FALSE
B0	TRU_like	cell_line	FOXA1	10	5	10	TRUE
B0	TRU_like	patient	FOXA2	6	3	6	TRUE
B0	TRU_like	PDX	FOXA2	5	3	2	FALSE
B0	TRU_like	cell_line	FOXA2	10	5	10	TRUE
B0	TRU_like	patient	GATA6	6	3	3	TRUE
B0	TRU_like	PDX	GATA6	5	3	2	FALSE
B0	TRU_like	cell_line	GATA6	10	5	9	TRUE
B0	TRU_like	patient	HNF4A	6	3	1	FALSE
B0	TRU_like	PDX	HNF4A	5	3	1	FALSE
B0	TRU_like	cell_line	HNF4A	10	5	0	FALSE
B0	TRU_like	patient	NKX2-1	6	3	6	TRUE
B0	TRU_like	PDX	NKX2-1	5	3	1	FALSE
B0	TRU_like	cell_line	NKX2-1	10	5	1	FALSE
B0	NKX2_1_high_TRU_concordant	patient	CEBPA	5	3	5	TRUE
B0	NKX2_1_high_TRU_concordant	PDX	CEBPA	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B0	NKX2_1_high_TRU_concordant	cell_line	CEBPA	3	2	1	FALSE
B0	NKX2_1_high_TRU_concordant	patient	CEBPB	5	3	5	TRUE
B0	NKX2_1_high_TRU_concordant	PDX	CEBPB	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B0	NKX2_1_high_TRU_concordant	cell_line	CEBPB	3	2	0	FALSE
B0	NKX2_1_high_TRU_concordant	patient	ELF3	5	3	5	TRUE
B0	NKX2_1_high_TRU_concordant	PDX	ELF3	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B0	NKX2_1_high_TRU_concordant	cell_line	ELF3	3	2	0	FALSE
B0	NKX2_1_high_TRU_concordant	patient	FOXA1	5	3	5	TRUE
B0	NKX2_1_high_TRU_concordant	PDX	FOXA1	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B0	NKX2_1_high_TRU_concordant	cell_line	FOXA1	3	2	3	TRUE
B0	NKX2_1_high_TRU_concordant	patient	FOXA2	5	3	5	TRUE
B0	NKX2_1_high_TRU_concordant	PDX	FOXA2	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B0	NKX2_1_high_TRU_concordant	cell_line	FOXA2	3	2	3	TRUE
B0	NKX2_1_high_TRU_concordant	patient	GATA6	5	3	3	TRUE
B0	NKX2_1_high_TRU_concordant	PDX	GATA6	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B0	NKX2_1_high_TRU_concordant	cell_line	GATA6	3	2	3	TRUE
B0	NKX2_1_high_TRU_concordant	patient	HNF4A	5	3	0	FALSE
