TF	direction	target_class	motif_three_system	targets	component
ABHD14B	Activated	Private	FALSE	96	Activated / Private
ABHD14B	Activated	Shared	FALSE	24	Activated / Shared
ABHD14B	Repressed	Private	FALSE	27	Repressed / Private
ABHD14B	Repressed	Shared	FALSE	1	Repressed / Shared
CREB3L2	Activated	Private	FALSE	51	Activated / Private
CREB3L2	Activated	Shared	FALSE	13	Activated / Shared
CREB3L2	Repressed	Private	FALSE	20	Repressed / Private
CREB3L2	Repressed	Shared	FALSE	0	Repressed / Shared
CREBRF	Activated	Private	FALSE	98	Activated / Private
CREBRF	Activated	Shared	FALSE	19	Activated / Shared
CREBRF	Repressed	Private	FALSE	16	Repressed / Private
CREBRF	Repressed	Shared	FALSE	1	Repressed / Shared
CRY2	Activated	Private	FALSE	85	Activated / Private
CRY2	Activated	Shared	FALSE	27	Activated / Shared
CRY2	Repressed	Private	FALSE	23	Repressed / Private
CRY2	Repressed	Shared	FALSE	3	Repressed / Shared
CSRNP1	Activated	Private	FALSE	48	Activated / Private
CSRNP1	Activated	Shared	FALSE	19	Activated / Shared
CSRNP1	Repressed	Private	FALSE	11	Repressed / Private
CSRNP1	Repressed	Shared	FALSE	0	Repressed / Shared
E2F5	Activated	Private	FALSE	50	Activated / Private
E2F5	Activated	Shared	FALSE	4	Activated / Shared
E2F5	Repressed	Private	FALSE	19	Repressed / Private
E2F5	Repressed	Shared	FALSE	1	Repressed / Shared
ELF3	Activated	Private	FALSE	98	Activated / Private
ELF3	Activated	Shared	FALSE	26	Activated / Shared
ELF3	Repressed	Private	FALSE	27	Repressed / Private
ELF3	Repressed	Shared	FALSE	0	Repressed / Shared
ETV1	Activated	Private	FALSE	32	Activated / Private
ETV1	Activated	Shared	FALSE	3	Activated / Shared
ETV1	Repressed	Private	FALSE	19	Repressed / Private
ETV1	Repressed	Shared	FALSE	0	Repressed / Shared
FOXA3	Activated	Private	TRUE	44	Activated / Private
FOXA3	Activated	Shared	TRUE	2	Activated / Shared
FOXA3	Repressed	Private	TRUE	23	Repressed / Private
FOXA3	Repressed	Shared	TRUE	0	Repressed / Shared
FOXD2	Activated	Private	FALSE	82	Activated / Private
FOXD2	Activated	Shared	FALSE	20	Activated / Shared
FOXD2	Repressed	Private	FALSE	18	Repressed / Private
FOXD2	Repressed	Shared	FALSE	0	Repressed / Shared
MAGED2	Activated	Private	FALSE	122	Activated / Private
MAGED2	Activated	Shared	FALSE	40	Activated / Shared
MAGED2	Repressed	Private	FALSE	27	Repressed / Private
MAGED2	Repressed	Shared	FALSE	1	Repressed / Shared
MXD4	Activated	Private	FALSE	15	Activated / Private
MXD4	Activated	Shared	FALSE	19	Activated / Shared
MXD4	Repressed	Private	FALSE	21	Repressed / Private
MXD4	Repressed	Shared	FALSE	0	Repressed / Shared
NCOA7	Activated	Private	FALSE	50	Activated / Private
NCOA7	Activated	Shared	FALSE	6	Activated / Shared
NCOA7	Repressed	Private	FALSE	25	Repressed / Private
NCOA7	Repressed	Shared	FALSE	0	Repressed / Shared
NFATC4	Activated	Private	TRUE	65	Activated / Private
NFATC4	Activated	Shared	TRUE	8	Activated / Shared
NFATC4	Repressed	Private	TRUE	11	Repressed / Private
NFATC4	Repressed	Shared	TRUE	0	Repressed / Shared
NR3C2	Activated	Private	FALSE	97	Activated / Private
NR3C2	Activated	Shared	FALSE	18	Activated / Shared
NR3C2	Repressed	Private	FALSE	9	Repressed / Private
NR3C2	Repressed	Shared	FALSE	0	Repressed / Shared
PHC2	Activated	Private	FALSE	85	Activated / Private
PHC2	Activated	Shared	FALSE	17	Activated / Shared
PHC2	Repressed	Private	FALSE	23	Repressed / Private
PHC2	Repressed	Shared	FALSE	0	Repressed / Shared
WWC2	Activated	Private	FALSE	44	Activated / Private
WWC2	Activated	Shared	FALSE	9	Activated / Shared
WWC2	Repressed	Private	FALSE	10	Repressed / Private
WWC2	Repressed	Shared	FALSE	0	Repressed / Shared
XBP1	Activated	Private	TRUE	30	Activated / Private
XBP1	Activated	Shared	TRUE	4	Activated / Shared
XBP1	Repressed	Private	TRUE	23	Repressed / Private
XBP1	Repressed	Shared	TRUE	0	Repressed / Shared
ZBTB18	Activated	Private	FALSE	51	Activated / Private
ZBTB18	Activated	Shared	FALSE	16	Activated / Shared
ZBTB18	Repressed	Private	FALSE	11	Repressed / Private
ZBTB18	Repressed	Shared	FALSE	0	Repressed / Shared
ZNF117	Activated	Private	FALSE	81	Activated / Private
ZNF117	Activated	Shared	FALSE	8	Activated / Shared
ZNF117	Repressed	Private	FALSE	6	Repressed / Private
ZNF117	Repressed	Shared	FALSE	0	Repressed / Shared
ZNF141	Activated	Private	FALSE	84	Activated / Private
ZNF141	Activated	Shared	FALSE	6	Activated / Shared
ZNF141	Repressed	Private	FALSE	5	Repressed / Private
ZNF141	Repressed	Shared	FALSE	0	Repressed / Shared
ZNF19	Activated	Private	FALSE	133	Activated / Private
ZNF19	Activated	Shared	FALSE	31	Activated / Shared
ZNF19	Repressed	Private	FALSE	8	Repressed / Private
ZNF19	Repressed	Shared	FALSE	0	Repressed / Shared
ZNF254	Activated	Private	FALSE	44	Activated / Private
ZNF254	Activated	Shared	FALSE	4	Activated / Shared
ZNF254	Repressed	Private	FALSE	13	Repressed / Private
ZNF254	Repressed	Shared	FALSE	0	Repressed / Shared
ZNF281	Activated	Private	FALSE	36	Activated / Private
ZNF281	Activated	Shared	FALSE	6	Activated / Shared
ZNF281	Repressed	Private	FALSE	11	Repressed / Private
ZNF281	Repressed	Shared	FALSE	0	Repressed / Shared
ZNF33A	Activated	Private	FALSE	58	Activated / Private
ZNF33A	Activated	Shared	FALSE	8	Activated / Shared
ZNF33A	Repressed	Private	FALSE	7	Repressed / Private
ZNF33A	Repressed	Shared	FALSE	0	Repressed / Shared
ZNF33B	Activated	Private	FALSE	31	Activated / Private
ZNF33B	Activated	Shared	FALSE	3	Activated / Shared
ZNF33B	Repressed	Private	FALSE	2	Repressed / Private
ZNF33B	Repressed	Shared	FALSE	0	Repressed / Shared
ZNF341	Activated	Private	FALSE	54	Activated / Private
ZNF341	Activated	Shared	FALSE	11	Activated / Shared
ZNF341	Repressed	Private	FALSE	18	Repressed / Private
ZNF341	Repressed	Shared	FALSE	0	Repressed / Shared
ZNF444	Activated	Private	FALSE	49	Activated / Private
ZNF444	Activated	Shared	FALSE	24	Activated / Shared
ZNF444	Repressed	Private	FALSE	11	Repressed / Private
ZNF444	Repressed	Shared	FALSE	1	Repressed / Shared
ZNF540	Activated	Private	FALSE	212	Activated / Private
ZNF540	Activated	Shared	FALSE	17	Activated / Shared
ZNF540	Repressed	Private	FALSE	10	Repressed / Private
ZNF540	Repressed	Shared	FALSE	2	Repressed / Shared
ZNF678	Activated	Private	FALSE	41	Activated / Private
ZNF678	Activated	Shared	FALSE	1	Activated / Shared
ZNF678	Repressed	Private	FALSE	6	Repressed / Private
ZNF678	Repressed	Shared	FALSE	0	Repressed / Shared
ZNF75D	Activated	Private	FALSE	45	Activated / Private
ZNF75D	Activated	Shared	FALSE	11	Activated / Shared
ZNF75D	Repressed	Private	FALSE	6	Repressed / Private
ZNF75D	Repressed	Shared	FALSE	0	Repressed / Shared
