ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	module	module_TFs	module_activated_targets
GO:0002181	cytoplasmic translation	16/382	22/1129	0.727272727272727	2.14945264159924	3.89183610747247	0.000194185346150417	0.258072325033904	0.258072325033904	RPL23A/RPL14/RPL32/RPL11/RPL26/RPL23/RPL19/RPL15/RPL29/RPS4X/RACK1/RPS25/RPL30/MIF4GD/RPL12/EIF3H	16	1	8	644
GO:0043043	peptide biosynthetic process	30/382	55/1129	0.545454545454545	1.61208948119943	3.32674911960421	0.000972471030752798	0.430804666623489	0.430804666623489	RPL36AL/RPL23A/RPL14/RPL32/RPL11/RPL26/RPL23/APEH/RPL19/QARS1/IFRD2/RPL15/RPL29/MRPS25/RPS4X/MRPS27/RACK1/DALRD3/RPS25/RPL30/MIF4GD/MGST2/RPL12/YTHDF3/EIF3H/COPS5/EIF4E1B/RBM3/DAP/CELF4	30	1	8	644
GO:0006412	translation	29/382	52/1129	0.557692307692308	1.64825815545711	3.4211155242241	0.000728367156575716	0.430804666623489	0.430804666623489	RPL36AL/RPL23A/RPL14/RPL32/RPL11/RPL26/RPL23/APEH/RPL19/QARS1/IFRD2/RPL15/RPL29/MRPS25/RPS4X/MRPS27/RACK1/DALRD3/RPS25/RPL30/MIF4GD/RPL12/YTHDF3/EIF3H/COPS5/EIF4E1B/RBM3/DAP/CELF4	29	1	8	644
GO:0043170	macromolecule metabolic process	166/382	499/1129	0.332665330661323	0.983191513917888	-0.359281228733114	0.663515813419034	0.999999693174998	0.999999693174998	DNAJC4/SLC25A26/RPL36AL/HEMK1/RPL23A/BABAM2/RPL14/RPL32/RPL11/CHCHD4/RPL26/RPL23/APEH/RPL19/ENDOV/QARS1/MAPKAPK3/RNF135/IFRD2/RPL15/RPL29/NAGLU/TNFSF12/GPD1L/TCEA3/PARP3/TEX264/NAPSA/MRPS25/RPS4X/NSA2/TMEM129/SPCS1/MRPS27/LTA4H/MRM1/RILP/SCRN2/PCBD1/SIL1/RACK1/YBEY/PIGP/DALRD3/CISD3/IGBP1/PIGV/RPS25/PCBD2/RPL30/MIF4GD/NAA80/RPL12/MIR425/UBE2W/YTHDF3/CUEDC2/PTP4A3/MCMDC2/INTS8/LAPTM4B/TRDMT1/EIF3H/TMEM67/OTUD6B/PCMTD1/MTMR7/COPS5/ITGA3/EPHA10/HECTD3/PHLDA2/IL37/BST2/RIPK3/ANXA4/KPNA7/BOK/PTPRH/B3GNT7/MVP/ZNFX1/EIF4E1B/DLG3/FHOD1/MST1R/STK39/TRIM64C/HYAL2/TRIM68/C1GALT1C1/PRDX5/LIMCH1/TMEM107/GMPPB/TUSC2/GLMP/UBB/CST3/PRSS8/CAPN5/GNPTG/NUDT16L1/ERLEC1/SMARCA1/HPN/GLB1/RNF5/MMP24/MOSPD1/SHLD1/PBXIP1/MGRN1/USP27X/CLDN3/EPB41L5/ARMCX3/UFC1/WDR45/PARK7/CHID1/SYAP1/RBM3/GYG2/TMEM9/FKBP7/HEXA/ARF4/DERL2/MIR519B/FBXL15/RPS6KA2/TNS2/RNPEPL1/PCBP4/IL17RC/CANT1/PTTG1IP/TIMP1/MICAL2/TRIM8/ZFAND2B/ADPRS/ERRFI1/WDTC1/RHOBTB3/CCNG2/PHETA1/ADORA1/DAP/KLHL2/SEC22B/LYPLA2/ADAM8/CALCR/PWWP2A/PRKAR1A/CELF4/LEFTY1/TRPC4AP/IGHMBP2/TRIM34/CHMP4B/ABHD12/ATG16L1/TOP1	166	1	8	644
GO:0071840	cellular component organization or biogenesis	148/382	433/1129	0.341801385681293	1.01019310061304	0.193095240742323	0.44824988329266	0.999999693174998	0.999999693174998	TRAPPC4/RPL23A/BABAM2/RPL14/RPL11/CHCHD4/RPL26/RPL23/APEH/ADPRHL1/RNF135/NAGLU/HDAC11/PARP3/TEX264/NDNF/RPS4X/EMC3/NSA2/S100A6/MRM1/RILP/NDUFAF3/REEP6/RACK1/KLHDC8B/YBEY/SYNGR2/OXA1L/DGAT1/RPS25/NAA80/YTHDF3/ARMC1/CHCHD7/ZFAND1/MTFR1/TMEM70/MCMDC2/NDUFAF6/RAB2A/LAPTM4B/EIF3H/TMEM67/OTUD6B/RBIS/COPS5/ITGA3/EPHA10/FAM161B/CCDC120/BST2/RIPK3/KPNA7/BOK/METRN/ZNFX1/PDZD7/FHOD1/EFNA2/STK39/DNAH2/TMEM30B/RTN4RL2/ITPKA/BRK1/HYAL2/BBOF1/LIMCH1/TMEM107/TMED3/GRAMD1A/UBB/CST3/RHOU/ARF1/RHOBTB1/SMARCA1/HPN/RNF5/MMP24/FNBP1L/NDUFB11/SHLD1/TXNDC15/PBXIP1/MIEF2/GOLM1/CLDN3/MICU1/EPB41L5/ARMCX3/CD63/NUBP1/UFC1/WDR45/SPATA7/PARK7/KISS1/ARL3/TMEM9/ARMC9/HEXA/ARF4/SEC13/DERL2/NME7/BMF/XKR8/TMEM175/RHOBTB2/RPS6KA2/SDC4/KRT7/MICAL2/CD151/SLC12A7/CAPZB/VASP/TWF2/MAP7D1/EMP3/FHL3/NECTIN2/EHD1/WDTC1/PHETA1/CAP1/KCNN4/SEC22B/ICAM1/LYPLA2/CSRP1/ADAM8/TSPAN4/PWWP2A/PRKAR1A/CELF4/CEP131/ARHGEF10L/IGHMBP2/LLGL2/RHPN1/H2BC6/CHMP4B/ATG16L1/ARFGAP1/TOP1	148	1	8	644
GO:1901564	organonitrogen compound metabolic process	146/382	423/1129	0.345153664302601	1.02010075130271	0.373685334304903	0.378116968910016	0.999999693174998	0.999999693174998	DNAJC4/RPL36AL/GSTK1/RPL23A/BABAM2/RPL14/NDUFV3/RPL32/RPL11/CHCHD4/RPL26/RPL23/APEH/RPL19/QARS1/AK1/MAPKAPK3/RNF135/IFRD2/RPL15/RPL29/NAGLU/TNFSF12/TKT/GPD1L/PARP3/NAPSA/MRPS25/RPS4X/TMEM129/IMPDH2/SPCS1/MRPS27/LTA4H/RILP/SCRN2/PCBD1/SIL1/RACK1/PIGP/DALRD3/CISD3/IGBP1/PIGV/DGAT1/SUCLG2/CRAT/RPS25/PCBD2/RPL30/MIF4GD/MGST2/NAA80/RPL12/UBE2W/YTHDF3/LAPTM4B/EIF3H/TMEM67/OTUD6B/PCMTD1/MTMR7/COPS5/EPHA10/HECTD3/RIPK3/BOK/PTPRH/B3GNT7/MVP/EIF4E1B/DLG3/MST1R/STK39/ACOT2/TRIM64C/HYAL2/TRIM68/PDHB/C1GALT1C1/LIMCH1/GMPPB/QPRT/UBB/CST3/SLC19A2/PRSS8/CAPN5/GNPTG/ASAH1/ENPP4/ERLEC1/HPN/GLB1/RNF5/MMP24/NDUFB11/MGRN1/USP27X/CLDN3/PLA2G2C/UFC1/WDR45/PARK7/SYAP1/RBM3/TMEM9/FKBP7/SMPDL3B/HEXA/NME4/DERL2/NME7/FBXL15/RPS6KA2/TNS2/RNPEPL1/CANT1/PTTG1IP/TIMP1/TRIM8/PGM1/ZFAND2B/ADPRS/ERRFI1/PDXK/WDTC1/RHOBTB3/CCNG2/ADORA1/DAP/TP53I3/KLHL2/SEC22B/LYPLA2/AK2/ADAM8/PRKAR1A/CELF4/GDPD3/TRPC4AP/TRIM34/CHMP4B/ABHD12/ATG16L1/TOP1	146	1	8	644
GO:0051179	localization	144/382	436/1129	0.330275229357798	0.976127575772131	-0.454777616555563	0.69789913503884	0.999999693174998	0.999999693174998	SLC25A26/TRAPPC4/RPL11/CHCHD4/RPL23/MAPKAPK3/G6PC3/NAGLU/TMEM150A/GPD1L/PARP3/GPR108/MON1A/EMC3/TMEM115/S100A6/TMEM129/SPCS1/SLC16A5/RILP/SLC37A4/REEP6/SIL1/RACK1/SYNGR2/SLC22A31/OXA1L/DGAT1/SLC22A18/ARMC1/ZFAND1/PTP4A3/RAB2A/LAPTM4B/COPS5/ITGA3/SNX21/SFXN3/CCDC120/KPNA7/BOK/MVP/PDZD7/DLG3/FHOD1/MST1R/STK39/RTBDN/TMEM30B/KCNK5/HYAL2/TRIM68/TMEM107/TMED3/GOLT1A/GRAMD1A/TUSC2/GLMP/YIPF6/PRAF2/UBB/SLC19A2/PRSS8/GNPTG/RHOU/MLPH/RHCE/ERGIC3/ERLEC1/INSIG2/ARF1/RHOBTB1/HPN/RNF5/FNBP1L/ANO10/CYB561D2/MIEF2/MGRN1/CLDN3/PLA2G2C/TMEM50B/MICU1/EPB41L5/ARMCX3/CD63/NUBP1/WDR45/SPATA7/PARK7/KISS1/ARL3/CACFD1/TMEM9/HEXA/SELENOM/ARF4/TMEM53/FCGRT/NME4/ERGIC1/SEC13/DERL2/DENND1C/XKR8/TMEM175/RHOBTB2/TPCN1/SELENBP1/PTTG1IP/SDC4/OCIAD2/SLC43A3/CD151/SLC12A7/TRIM8/TWF2/MYL12A/UNC13D/ACTR1A/ZFAND2B/NECTIN2/ERRFI1/YIPF1/NECAP2/EHD1/RHOBTB3/PHETA1/ADORA1/CAP1/GNAI2/CATSPER1/KCNN4/SEC22B/ADAM8/PRKAR1A/CEP131/RHBG/TRPC4AP/LLGL2/TRIM34/CHMP4B/ATG16L1/ARFGAP1	144	1	8	644
GO:0016043	cellular component organization	139/382	419/1129	0.331742243436754	0.980463332042135	-0.360457663165535	0.664285445441383	0.999999693174998	0.999999693174998	TRAPPC4/RPL23A/BABAM2/RPL11/CHCHD4/RPL23/APEH/ADPRHL1/RNF135/NAGLU/HDAC11/PARP3/TEX264/NDNF/EMC3/S100A6/RILP/NDUFAF3/REEP6/RACK1/KLHDC8B/SYNGR2/OXA1L/DGAT1/NAA80/YTHDF3/ARMC1/CHCHD7/ZFAND1/MTFR1/TMEM70/MCMDC2/NDUFAF6/RAB2A/LAPTM4B/EIF3H/TMEM67/OTUD6B/ITGA3/EPHA10/FAM161B/CCDC120/BST2/RIPK3/KPNA7/BOK/METRN/ZNFX1/PDZD7/FHOD1/EFNA2/STK39/DNAH2/TMEM30B/RTN4RL2/ITPKA/BRK1/HYAL2/BBOF1/LIMCH1/TMEM107/TMED3/GRAMD1A/UBB/CST3/RHOU/ARF1/RHOBTB1/SMARCA1/HPN/RNF5/MMP24/FNBP1L/NDUFB11/SHLD1/TXNDC15/PBXIP1/MIEF2/GOLM1/CLDN3/MICU1/EPB41L5/ARMCX3/CD63/NUBP1/UFC1/WDR45/SPATA7/PARK7/KISS1/ARL3/TMEM9/ARMC9/HEXA/ARF4/SEC13/DERL2/NME7/BMF/XKR8/TMEM175/RHOBTB2/RPS6KA2/SDC4/KRT7/MICAL2/CD151/SLC12A7/CAPZB/VASP/TWF2/MAP7D1/EMP3/FHL3/NECTIN2/EHD1/WDTC1/PHETA1/CAP1/KCNN4/SEC22B/ICAM1/LYPLA2/CSRP1/ADAM8/TSPAN4/PWWP2A/PRKAR1A/CELF4/CEP131/ARHGEF10L/IGHMBP2/LLGL2/RHPN1/H2BC6/CHMP4B/ATG16L1/ARFGAP1/TOP1	139	1	8	644
GO:0051716	cellular response to stimulus	137/382	484/1129	0.283057851239669	0.836576738349704	-3.40002905168472	0.999749755957688	0.999999693174998	0.999999693174998	GSTK1/BABAM2/RPL11/CHCHD4/RPL26/RPL23/ENDOV/QARS1/MAPKAPK3/ACAA1/NPRL2/RNF135/NAGLU/TNFSF12/GPD1L/PARP3/GPR108/TEX264/NDNF/S100A6/TMEM129/IMPDH2/RACK1/IGBP1/MGST2/UBE2W/YTHDF3/ZFAND1/PTP4A3/MCMDC2/TMEM67/COPS5/ITGA3/EPHA10/IL37/CNKSR1/BST2/RIPK3/ANXA4/BOK/METRN/MVP/EFNA2/MST1R/STK39/RTN4RL2/ITPKA/BRK1/HYAL2/TRIM68/ANXA5/PRDX5/GRAMD1A/UBB/LURAP1L/CAPN5/RHOU/ASAH1/NUDT16L1/PLEKHB1/ERLEC1/INSIG2/RHOBTB1/CMBL/RNF5/FNBP1L/SHLD1/TXNDC15/PBXIP1/MGRN1/USP27X/YPEL3/MICU1/CD63/UFC1/WDR45/PARK7/KISS1/ARL3/CMTM8/SYAP1/TMEM9/SMPDL3B/ARMC9/DOK4/TMDD1/TMEM53/TSPAN6/SEC13/DERL2/BMF/ADGRD1/FBXL15/RHOBTB2/TPCN1/RPS6KA2/TNS2/IL17RC/CANT1/PTTG1IP/TIMP1/OCIAD2/G0S2/SLC12A7/TRIM8/TWF2/ZFAND2B/ADPRS/TNFRSF12A/NECTIN2/ERRFI1/RGS3/WDTC1/IFNGR2/GPR39/ADORA1/DAP/CMTM3/GDF5/VASN/CAP1/GNAI2/KCNN4/ICAM1/MT1E/ADAM8/OR2M7/CALCR/PRKAR1A/CELF4/LEFTY1/ARHGEF10L/LLGL2/TRIM34/RHPN1/SAMD10/ARFGAP1	137	1	8	644
GO:0009058	biosynthetic process	134/382	397/1129	0.337531486146096	0.997573423714508	-0.0429199880349207	0.542488753661088	0.999999693174998	0.999999693174998	DNAJC4/RPL36AL/RPL23A/RPL14/NDUFV3/RPL32/RPL11/CHCHD4/RPL26/RPL23/APEH/RPL19/QARS1/AK1/RNF135/IFRD2/DHRS11/G6PC3/RPL15/RPL29/NAGLU/MTMR14/TMEM150A/TKT/TCEA3/PARP3/MRPS25/RPS4X/NSA2/IMPDH2/SPCS1/MRPS27/LTA4H/MRM1/SLC37A4/PCBD1/SIL1/RACK1/YBEY/PIGP/DALRD3/CISD3/IGBP1/PIGV/DGAT1/RPS25/PCBD2/RPL30/MIF4GD/MGST2/NAA80/RPL12/MIR425/YTHDF3/CUEDC2/PTP4A3/NDUFAF6/INTS8/LAPTM4B/TRDMT1/EIF3H/MTMR7/COPS5/ITGA3/PHLDA2/IL37/BST2/RIPK3/ANXA4/KPNA7/B3GNT7/ZNFX1/EIF4E1B/FHOD1/TRIM64C/LIPH/ITPKA/HYAL2/TRIM68/PDHB/C1GALT1C1/PRDX5/TMEM107/GMPPB/TUSC2/ACOX2/GLMP/QPRT/SLC19A2/ASAH1/INSIG2/SMARCA1/HPN/NDUFB11/MOSPD1/SHLD1/PBXIP1/CLDN3/PLA2G2C/EPB41L5/ARMCX3/WDR45/PARK7/CHID1/RBM3/GYG2/HEXA/ARF4/NME4/MIR519B/NME7/RPS6KA2/PCBP4/IL17RC/CANT1/MICAL2/TRIM8/PGM1/ERRFI1/PDXK/WDTC1/DAP/GMPPA/AK2/ADAM8/CALCR/PWWP2A/PRKAR1A/CELF4/LEFTY1/TRIM34/GATD1/ATG16L1/TOP1	134	1	8	644
