TF	n	mean_activity	sd_activity	skewness	z	p_value	FDR	strong_skew	motif_three_system
ABHD14B	516	7.10698272703473	0.598915477128584	-0.817723160264974	-7.58325262322847	3.36997762532972e-14	2.61173265963053e-13	FALSE	FALSE
CREB3L2	516	4.45765773984776	0.439646467972225	-0.217350987810992	-2.01563014057828	0.0438386656079395	0.0754999241025625	FALSE	FALSE
CREBRF	516	5.416577110246	0.597355593455189	0.269789857940023	2.50192821648976	0.0123518966420863	0.0255272530603117	FALSE	FALSE
CRY2	516	5.38384025110411	0.930286766935108	0.0577294097204309	0.535360521717437	0.592400583486086	0.633255796140298	FALSE	FALSE
CSRNP1	516	6.11739335691758	0.662124194216301	-0.226530199861337	-2.10075465122243	0.0356625091572435	0.0650316343455616	FALSE	FALSE
E2F5	516	2.91040354712077	0.592463338467763	0.313658039157828	2.90874499319495	0.00362882723849464	0.00865335726102568	FALSE	FALSE
ELF3	516	4.00945264575307	0.480176433582934	-1.14459081016403	-10.6144985069116	2.55160889006633e-26	3.95499377960281e-25	TRUE	FALSE
ETV1	516	1.99272053365005	0.471710665475102	-0.282920325115918	-2.62369515974663	0.0086981596990132	0.0192602107621007	FALSE	FALSE
FOXA3	516	1.31925548460377	0.640743073578648	0.228646493120479	2.1203803475323	0.0339739826749513	0.0650316343455616	FALSE	TRUE
FOXD2	516	3.80933362119302	0.544797709772251	-0.752690908165703	-6.98016832735692	2.94826604269165e-12	1.82792494646882e-11	FALSE	FALSE
MAGED2	516	8.35806459495649	0.56972665835092	-1.05126517854346	-9.74903220341118	1.86235183245451e-22	1.92443022686966e-21	TRUE	FALSE
MXD4	516	4.44392740904078	0.545354114444769	-0.628539688288921	-5.82883727846924	5.58148945424344e-09	2.47180247259353e-08	FALSE	FALSE
NCOA7	516	3.85216585680798	0.402109076449053	-0.691796316140882	-6.41545511247987	1.40402780815773e-10	7.25414367548161e-10	FALSE	FALSE
NFATC4	516	3.63066285829657	0.488384491256493	-0.0411178203753015	-0.381310979526867	0.702972507513979	0.726404924431111	FALSE	TRUE
NR3C2	516	4.62937391164314	0.873975115082549	-0.367337880197302	-3.40655135989388	0.000657891711344201	0.00203946430516702	FALSE	FALSE
PHC2	516	8.73096313861103	0.614058674987498	-1.36374166424746	-12.6468199206433	1.16495414364787e-36	3.61135784530841e-35	TRUE	FALSE
WWC2	516	3.69844054143666	0.337509889934599	-0.111733618637171	-1.03617495236233	0.30012052991018	0.332276300971985	FALSE	FALSE
XBP1	516	1.38467043956622	0.615617254068527	-0.153958473119383	-1.42775214385819	0.153363211715836	0.188371174613083	FALSE	TRUE
ZBTB18	516	2.7129559504431	0.565914735106937	-0.340110140407231	-3.15405168858614	0.00161020563821461	0.00453785225315025	FALSE	FALSE
ZNF117	516	1.45397263073166	0.272458906879246	0.141611434096611	1.31325041441201	0.189098581122035	0.217113185732707	FALSE	FALSE
ZNF141	516	1.93869288473252	0.271242031199878	0.623419046871724	5.78135040351393	7.41033593942664e-09	2.87150517652782e-08	FALSE	FALSE
ZNF19	516	3.51263691428844	0.514685132917066	-0.3145091133777	-2.91663753082139	0.00353826694409882	0.00865335726102568	FALSE	FALSE
ZNF254	516	1.48441996619309	0.312201979893764	0.170665369462159	1.58268552678488	0.113493158740123	0.148192866737566	FALSE	FALSE
ZNF281	516	3.15495766754712	0.288423985657409	0.209786795853132	1.94548271013439	0.0517169086657391	0.0843802194019954	FALSE	FALSE
ZNF33A	516	1.03386505705428	0.378837918596259	-0.152245680077767	-1.4118683546285	0.157988727094844	0.188371174613083	FALSE	FALSE
ZNF33B	516	1.3727921999881	0.176502279551859	0.170083016114723	1.57728500401119	0.114729961345213	0.148192866737566	FALSE	FALSE
ZNF341	516	3.3306570610196	0.359100260632682	-0.509995709120802	-4.72950564072611	2.25067202158972e-06	7.75231474103125e-06	FALSE	FALSE
ZNF444	516	3.24278335615053	0.486260473130609	-0.190893580094494	-1.77027423503569	0.0766814679921916	0.108051159443543	FALSE	FALSE
ZNF540	516	1.45945279939804	0.859192570742905	-0.0329347554646894	-0.305424357421972	0.760042972954244	0.760042972954244	FALSE	FALSE
ZNF678	516	2.72591062384592	0.190555647493853	0.191152996109014	1.77267996018597	0.0762817536033559	0.108051159443543	FALSE	FALSE
ZNF75D	516	1.96492041190927	0.334437310282191	0.194919647570203	1.80761044884254	0.0706671508454642	0.108051159443543	FALSE	FALSE
