TF1	TF2	shared_targets	union_targets	jaccard
ABHD14B	CREB3L2	0	184	0
ABHD14B	CREBRF	0	237	0
ABHD14B	CRY2	0	232	0
ABHD14B	CSRNP1	1	186	0.00537634408602151
ABHD14B	E2F5	0	174	0
ABHD14B	ELF3	0	244	0
ABHD14B	ETV1	1	154	0.00649350649350649
ABHD14B	FOXA3	0	166	0
ABHD14B	FOXD2	5	217	0.0230414746543779
ABHD14B	MAGED2	6	276	0.0217391304347826
ABHD14B	MXD4	4	150	0.0266666666666667
ABHD14B	NCOA7	0	176	0
ABHD14B	NFATC4	0	193	0
ABHD14B	NR3C2	3	232	0.0129310344827586
ABHD14B	PHC2	1	221	0.00452488687782806
ABHD14B	WWC2	0	173	0
ABHD14B	XBP1	0	154	0
ABHD14B	ZBTB18	0	187	0
ABHD14B	ZNF117	0	209	0
ABHD14B	ZNF141	1	209	0.00478468899521531
ABHD14B	ZNF19	4	280	0.0142857142857143
ABHD14B	ZNF254	0	168	0
ABHD14B	ZNF281	0	162	0
ABHD14B	ZNF33A	0	186	0
ABHD14B	ZNF33B	1	153	0.0065359477124183
ABHD14B	ZNF341	0	185	0
ABHD14B	ZNF444	1	192	0.00520833333333333
ABHD14B	ZNF540	1	348	0.0028735632183908
ABHD14B	ZNF678	0	162	0
ABHD14B	ZNF75D	0	176	0
CREB3L2	CREBRF	2	179	0.0111731843575419
CREB3L2	CRY2	2	174	0.0114942528735632
CREB3L2	CSRNP1	0	131	0
CREB3L2	E2F5	0	118	0
CREB3L2	ELF3	0	188	0
CREB3L2	ETV1	0	99	0
CREB3L2	FOXA3	0	110	0
CREB3L2	FOXD2	0	166	0
CREB3L2	MAGED2	3	223	0.0134529147982063
CREB3L2	MXD4	1	97	0.0103092783505155
CREB3L2	NCOA7	0	120	0
CREB3L2	NFATC4	0	137	0
CREB3L2	NR3C2	0	179	0
CREB3L2	PHC2	1	165	0.00606060606060606
CREB3L2	WWC2	2	115	0.0173913043478261
CREB3L2	XBP1	1	97	0.0103092783505155
CREB3L2	ZBTB18	1	130	0.00769230769230769
CREB3L2	ZNF117	0	153	0
CREB3L2	ZNF141	0	154	0
CREB3L2	ZNF19	0	228	0
CREB3L2	ZNF254	0	112	0
CREB3L2	ZNF281	2	104	0.0192307692307692
CREB3L2	ZNF33A	0	130	0
CREB3L2	ZNF33B	0	98	0
CREB3L2	ZNF341	0	129	0
CREB3L2	ZNF444	0	137	0
CREB3L2	ZNF540	0	293	0
CREB3L2	ZNF678	0	106	0
CREB3L2	ZNF75D	0	120	0
CREBRF	CRY2	6	223	0.0269058295964126
CREBRF	CSRNP1	1	183	0.00546448087431694
CREBRF	E2F5	0	171	0
CREBRF	ELF3	0	241	0
CREBRF	ETV1	0	152	0
CREBRF	FOXA3	0	163	0
CREBRF	FOXD2	0	219	0
CREBRF	MAGED2	0	279	0
CREBRF	MXD4	0	151	0
CREBRF	NCOA7	0	173	0
CREBRF	NFATC4	0	190	0
CREBRF	NR3C2	4	228	0.0175438596491228
CREBRF	PHC2	0	219	0
CREBRF	WWC2	3	167	0.0179640718562874
CREBRF	XBP1	0	151	0
CREBRF	ZBTB18	1	183	0.00546448087431694
CREBRF	ZNF117	0	206	0
CREBRF	ZNF141	0	207	0
CREBRF	ZNF19	2	279	0.00716845878136201
CREBRF	ZNF254	1	164	0.00609756097560976
CREBRF	ZNF281	2	157	0.0127388535031847
CREBRF	ZNF33A	0	183	0
CREBRF	ZNF33B	1	150	0.00666666666666667
CREBRF	ZNF341	0	182	0
CREBRF	ZNF444	0	190	0
CREBRF	ZNF540	1	345	0.00289855072463768
CREBRF	ZNF678	0	159	0
CREBRF	ZNF75D	0	173	0
CRY2	CSRNP1	4	175	0.0228571428571429
CRY2	E2F5	0	166	0
CRY2	ELF3	1	235	0.00425531914893617
CRY2	ETV1	1	146	0.00684931506849315
CRY2	FOXA3	0	158	0
CRY2	FOXD2	1	213	0.00469483568075117
CRY2	MAGED2	2	272	0.00735294117647059
CRY2	MXD4	4	142	0.028169014084507
CRY2	NCOA7	0	168	0
CRY2	NFATC4	0	185	0
CRY2	NR3C2	2	225	0.00888888888888889
CRY2	PHC2	1	213	0.00469483568075117
CRY2	WWC2	1	164	0.00609756097560976
CRY2	XBP1	0	146	0
CRY2	ZBTB18	4	175	0.0228571428571429
CRY2	ZNF117	1	200	0.005
CRY2	ZNF141	1	201	0.00497512437810945
CRY2	ZNF19	2	274	0.0072992700729927
CRY2	ZNF254	0	160	0
CRY2	ZNF281	0	154	0
CRY2	ZNF33A	1	177	0.00564971751412429
CRY2	ZNF33B	0	146	0
CRY2	ZNF341	0	177	0
CRY2	ZNF444	1	184	0.00543478260869565
CRY2	ZNF540	2	339	0.00589970501474926
CRY2	ZNF678	0	154	0
CRY2	ZNF75D	1	167	0.00598802395209581
CSRNP1	E2F5	0	121	0
CSRNP1	ELF3	0	191	0
CSRNP1	ETV1	3	99	0.0303030303030303
CSRNP1	FOXA3	0	113	0
CSRNP1	FOXD2	1	168	0.00595238095238095
CSRNP1	MAGED2	0	229	0
CSRNP1	MXD4	2	99	0.0202020202020202
CSRNP1	NCOA7	5	118	0.0423728813559322
CSRNP1	NFATC4	0	140	0
CSRNP1	NR3C2	4	178	0.0224719101123596
CSRNP1	PHC2	3	166	0.0180722891566265
CSRNP1	WWC2	2	118	0.0169491525423729
CSRNP1	XBP1	0	101	0
CSRNP1	ZBTB18	0	134	0
CSRNP1	ZNF117	0	156	0
CSRNP1	ZNF141	0	157	0
CSRNP1	ZNF19	0	231	0
CSRNP1	ZNF254	0	115	0
CSRNP1	ZNF281	0	109	0
CSRNP1	ZNF33A	0	133	0
CSRNP1	ZNF33B	0	101	0
CSRNP1	ZNF341	0	132	0
CSRNP1	ZNF444	0	140	0
CSRNP1	ZNF540	1	295	0.00338983050847458
CSRNP1	ZNF678	0	109	0
CSRNP1	ZNF75D	0	123	0
E2F5	ELF3	0	178	0
E2F5	ETV1	0	89	0
E2F5	FOXA3	0	100	0
E2F5	FOXD2	0	156	0
E2F5	MAGED2	2	214	0.00934579439252336
E2F5	MXD4	0	88	0
E2F5	NCOA7	0	110	0
E2F5	NFATC4	1	126	0.00793650793650794
E2F5	NR3C2	0	169	0
E2F5	PHC2	0	156	0
E2F5	WWC2	0	107	0
E2F5	XBP1	0	88	0
E2F5	ZBTB18	1	120	0.00833333333333333
E2F5	ZNF117	0	143	0
E2F5	ZNF141	0	144	0
E2F5	ZNF19	0	218	0
E2F5	ZNF254	0	102	0
E2F5	ZNF281	0	96	0
E2F5	ZNF33A	0	120	0
E2F5	ZNF33B	0	88	0
E2F5	ZNF341	0	119	0
E2F5	ZNF444	0	127	0
E2F5	ZNF540	0	283	0
E2F5	ZNF678	0	96	0
E2F5	ZNF75D	0	110	0
ELF3	ETV1	0	159	0
ELF3	FOXA3	0	170	0
ELF3	FOXD2	6	220	0.0272727272727273
ELF3	MAGED2	4	282	0.0141843971631206
ELF3	MXD4	0	158	0
ELF3	NCOA7	0	180	0
ELF3	NFATC4	2	195	0.0102564102564103
ELF3	NR3C2	1	238	0.00420168067226891
ELF3	PHC2	0	226	0
ELF3	WWC2	0	177	0
ELF3	XBP1	0	158	0
ELF3	ZBTB18	0	191	0
ELF3	ZNF117	1	212	0.00471698113207547
ELF3	ZNF141	0	214	0
ELF3	ZNF19	2	286	0.00699300699300699
ELF3	ZNF254	0	172	0
ELF3	ZNF281	0	166	0
ELF3	ZNF33A	1	189	0.00529100529100529
ELF3	ZNF33B	0	158	0
ELF3	ZNF341	3	186	0.0161290322580645
ELF3	ZNF444	7	190	0.0368421052631579
ELF3	ZNF540	0	353	0
ELF3	ZNF678	0	166	0
ELF3	ZNF75D	2	178	0.0112359550561798
ETV1	FOXA3	0	81	0
ETV1	FOXD2	0	137	0
ETV1	MAGED2	0	197	0
ETV1	MXD4	0	69	0
ETV1	NCOA7	0	91	0
ETV1	NFATC4	0	108	0
ETV1	NR3C2	2	148	0.0135135135135135
ETV1	PHC2	0	137	0
ETV1	WWC2	0	88	0
ETV1	XBP1	0	69	0
ETV1	ZBTB18	0	102	0
ETV1	ZNF117	0	124	0
ETV1	ZNF141	0	125	0
ETV1	ZNF19	0	199	0
ETV1	ZNF254	0	83	0
ETV1	ZNF281	0	77	0
ETV1	ZNF33A	0	101	0
ETV1	ZNF33B	0	69	0
ETV1	ZNF341	0	100	0
ETV1	ZNF444	0	108	0
ETV1	ZNF540	0	264	0
ETV1	ZNF678	0	77	0
ETV1	ZNF75D	0	91	0
FOXA3	FOXD2	0	148	0
FOXA3	MAGED2	1	207	0.00483091787439614
FOXA3	MXD4	0	80	0
FOXA3	NCOA7	1	101	0.0099009900990099
FOXA3	NFATC4	0	119	0
FOXA3	NR3C2	0	161	0
FOXA3	PHC2	0	148	0
FOXA3	WWC2	0	99	0
FOXA3	XBP1	0	80	0
FOXA3	ZBTB18	0	113	0
FOXA3	ZNF117	0	135	0
FOXA3	ZNF141	0	136	0
FOXA3	ZNF19	0	210	0
FOXA3	ZNF254	0	94	0
FOXA3	ZNF281	0	88	0
FOXA3	ZNF33A	0	112	0
FOXA3	ZNF33B	0	80	0
FOXA3	ZNF341	0	111	0
FOXA3	ZNF444	0	119	0
FOXA3	ZNF540	0	275	0
FOXA3	ZNF678	0	88	0
FOXA3	ZNF75D	0	102	0
FOXD2	MAGED2	1	263	0.00380228136882129
FOXD2	MXD4	1	135	0.00740740740740741
FOXD2	NCOA7	0	158	0
FOXD2	NFATC4	0	175	0
FOXD2	NR3C2	0	217	0
FOXD2	PHC2	4	200	0.02
FOXD2	WWC2	0	155	0
FOXD2	XBP1	0	136	0
FOXD2	ZBTB18	0	169	0
FOXD2	ZNF117	0	191	0
FOXD2	ZNF141	0	192	0
FOXD2	ZNF19	1	265	0.00377358490566038
FOXD2	ZNF254	0	150	0
FOXD2	ZNF281	0	144	0
FOXD2	ZNF33A	0	168	0
FOXD2	ZNF33B	0	136	0
FOXD2	ZNF341	3	164	0.0182926829268293
FOXD2	ZNF444	0	175	0
FOXD2	ZNF540	0	331	0
FOXD2	ZNF678	0	144	0
FOXD2	ZNF75D	0	158	0
MAGED2	MXD4	6	190	0.0315789473684211
MAGED2	NCOA7	0	218	0
MAGED2	NFATC4	0	235	0
MAGED2	NR3C2	1	276	0.0036231884057971
MAGED2	PHC2	5	259	0.0193050193050193
MAGED2	WWC2	1	214	0.00467289719626168
MAGED2	XBP1	0	196	0
MAGED2	ZBTB18	3	226	0.0132743362831858
MAGED2	ZNF117	0	251	0
MAGED2	ZNF141	0	252	0
MAGED2	ZNF19	3	323	0.00928792569659443
MAGED2	ZNF254	2	208	0.00961538461538462
MAGED2	ZNF281	2	202	0.0099009900990099
MAGED2	ZNF33A	0	228	0
MAGED2	ZNF33B	0	196	0
MAGED2	ZNF341	1	226	0.00442477876106195
MAGED2	ZNF444	3	232	0.0129310344827586
MAGED2	ZNF540	0	391	0
MAGED2	ZNF678	0	204	0
MAGED2	ZNF75D	1	217	0.00460829493087558
MXD4	NCOA7	0	90	0
MXD4	NFATC4	0	107	0
MXD4	NR3C2	1	148	0.00675675675675676
MXD4	PHC2	1	135	0.00740740740740741
MXD4	WWC2	0	87	0
MXD4	XBP1	0	68	0
MXD4	ZBTB18	2	99	0.0202020202020202
MXD4	ZNF117	0	123	0
MXD4	ZNF141	0	124	0
MXD4	ZNF19	0	198	0
MXD4	ZNF254	0	82	0
MXD4	ZNF281	0	76	0
MXD4	ZNF33A	0	100	0
MXD4	ZNF33B	0	68	0
MXD4	ZNF341	2	97	0.0206185567010309
MXD4	ZNF444	3	104	0.0288461538461538
MXD4	ZNF540	0	263	0
MXD4	ZNF678	0	76	0
MXD4	ZNF75D	0	90	0
NCOA7	NFATC4	0	129	0
NCOA7	NR3C2	1	170	0.00588235294117647
NCOA7	PHC2	0	158	0
NCOA7	WWC2	1	108	0.00925925925925926
NCOA7	XBP1	0	90	0
NCOA7	ZBTB18	0	123	0
NCOA7	ZNF117	0	145	0
NCOA7	ZNF141	0	146	0
NCOA7	ZNF19	0	220	0
NCOA7	ZNF254	0	104	0
NCOA7	ZNF281	0	98	0
NCOA7	ZNF33A	0	122	0
NCOA7	ZNF33B	0	90	0
NCOA7	ZNF341	0	121	0
NCOA7	ZNF444	0	129	0
NCOA7	ZNF540	0	285	0
NCOA7	ZNF678	0	98	0
NCOA7	ZNF75D	0	112	0
NFATC4	NR3C2	0	188	0
NFATC4	PHC2	0	175	0
NFATC4	WWC2	0	126	0
NFATC4	XBP1	0	107	0
NFATC4	ZBTB18	0	140	0
NFATC4	ZNF117	1	161	0.0062111801242236
NFATC4	ZNF141	0	163	0
NFATC4	ZNF19	1	236	0.00423728813559322
NFATC4	ZNF254	1	120	0.00833333333333333
NFATC4	ZNF281	0	115	0
NFATC4	ZNF33A	0	139	0
NFATC4	ZNF33B	0	107	0
NFATC4	ZNF341	2	136	0.0147058823529412
NFATC4	ZNF444	1	145	0.00689655172413793
NFATC4	ZNF540	0	302	0
NFATC4	ZNF678	0	115	0
NFATC4	ZNF75D	0	129	0
NR3C2	PHC2	0	217	0
NR3C2	WWC2	2	166	0.0120481927710843
NR3C2	XBP1	1	148	0.00675675675675676
NR3C2	ZBTB18	1	181	0.00552486187845304
NR3C2	ZNF117	0	204	0
NR3C2	ZNF141	0	205	0
NR3C2	ZNF19	0	279	0
NR3C2	ZNF254	0	163	0
NR3C2	ZNF281	0	157	0
NR3C2	ZNF33A	0	181	0
NR3C2	ZNF33B	0	149	0
NR3C2	ZNF341	0	180	0
NR3C2	ZNF444	0	188	0
NR3C2	ZNF540	1	343	0.00291545189504373
NR3C2	ZNF678	0	157	0
NR3C2	ZNF75D	0	171	0
PHC2	WWC2	1	154	0.00649350649350649
PHC2	XBP1	0	136	0
PHC2	ZBTB18	0	169	0
PHC2	ZNF117	0	191	0
PHC2	ZNF141	0	192	0
PHC2	ZNF19	1	265	0.00377358490566038
PHC2	ZNF254	1	149	0.00671140939597315
PHC2	ZNF281	0	144	0
PHC2	ZNF33A	0	168	0
PHC2	ZNF33B	0	136	0
PHC2	ZNF341	2	165	0.0121212121212121
PHC2	ZNF444	0	175	0
PHC2	ZNF540	0	331	0
PHC2	ZNF678	0	144	0
PHC2	ZNF75D	0	158	0
WWC2	XBP1	0	87	0
WWC2	ZBTB18	0	120	0
WWC2	ZNF117	0	142	0
WWC2	ZNF141	0	143	0
WWC2	ZNF19	0	217	0
WWC2	ZNF254	0	101	0
WWC2	ZNF281	1	94	0.0106382978723404
WWC2	ZNF33A	0	119	0
WWC2	ZNF33B	0	87	0
WWC2	ZNF341	0	118	0
WWC2	ZNF444	0	126	0
WWC2	ZNF540	0	282	0
WWC2	ZNF678	0	95	0
WWC2	ZNF75D	0	109	0
XBP1	ZBTB18	0	101	0
XBP1	ZNF117	0	123	0
XBP1	ZNF141	0	124	0
XBP1	ZNF19	0	198	0
XBP1	ZNF254	0	82	0
XBP1	ZNF281	0	76	0
XBP1	ZNF33A	0	100	0
XBP1	ZNF33B	0	68	0
XBP1	ZNF341	0	99	0
XBP1	ZNF444	0	107	0
XBP1	ZNF540	0	263	0
XBP1	ZNF678	0	76	0
XBP1	ZNF75D	0	90	0
ZBTB18	ZNF117	0	156	0
ZBTB18	ZNF141	1	156	0.00641025641025641
ZBTB18	ZNF19	4	227	0.0176211453744493
ZBTB18	ZNF254	0	115	0
ZBTB18	ZNF281	0	109	0
ZBTB18	ZNF33A	0	133	0
ZBTB18	ZNF33B	0	101	0
ZBTB18	ZNF341	0	132	0
ZBTB18	ZNF444	1	139	0.00719424460431655
ZBTB18	ZNF540	2	294	0.00680272108843537
ZBTB18	ZNF678	1	108	0.00925925925925926
ZBTB18	ZNF75D	1	122	0.00819672131147541
ZNF117	ZNF141	2	177	0.0112994350282486
ZNF117	ZNF19	2	251	0.00796812749003984
ZNF117	ZNF254	0	137	0
ZNF117	ZNF281	0	131	0
ZNF117	ZNF33A	0	155	0
ZNF117	ZNF33B	0	123	0
ZNF117	ZNF341	0	154	0
ZNF117	ZNF444	1	161	0.0062111801242236
ZNF117	ZNF540	1	317	0.00315457413249211
ZNF117	ZNF678	0	131	0
ZNF117	ZNF75D	1	144	0.00694444444444444
ZNF141	ZNF19	1	253	0.00395256916996047
ZNF141	ZNF254	0	138	0
ZNF141	ZNF281	0	132	0
ZNF141	ZNF33A	1	155	0.00645161290322581
ZNF141	ZNF33B	0	124	0
ZNF141	ZNF341	0	155	0
ZNF141	ZNF444	0	163	0
ZNF141	ZNF540	0	319	0
ZNF141	ZNF678	0	132	0
ZNF141	ZNF75D	0	146	0
ZNF19	ZNF254	0	212	0
ZNF19	ZNF281	0	206	0
ZNF19	ZNF33A	2	228	0.0087719298245614
ZNF19	ZNF33B	1	197	0.0050761421319797
ZNF19	ZNF341	0	229	0
ZNF19	ZNF444	7	230	0.0304347826086957
ZNF19	ZNF540	4	389	0.0102827763496144
ZNF19	ZNF678	0	206	0
ZNF19	ZNF75D	2	218	0.0091743119266055
ZNF254	ZNF281	0	90	0
ZNF254	ZNF33A	0	114	0
ZNF254	ZNF33B	0	82	0
ZNF254	ZNF341	1	112	0.00892857142857143
ZNF254	ZNF444	0	121	0
ZNF254	ZNF540	0	277	0
ZNF254	ZNF678	0	90	0
ZNF254	ZNF75D	0	104	0
