TF	pearson_r	p_value	FDR
ABHD14B	-0.531740088335827	5.32300822054367e-39	8.25066274184269e-38
CREB3L2	-0.0457757139331468	0.299341445285147	0.33141374299427
CREBRF	-0.373981439758961	1.42024013612184e-18	3.3867264784444e-18
CRY2	-0.503642120164075	1.53854314969327e-34	9.53896752809827e-34
CSRNP1	-0.444580073182725	2.07136106829571e-26	8.02652413964589e-26
E2F5	-0.0328668462037592	0.456282667663397	0.471968778193343
ELF3	-0.382186271979572	2.16363776934617e-19	6.09752462270283e-19
ETV1	-0.332408761720069	8.89422367498707e-15	1.75678640254362e-14
FOXA3	-0.244233788783079	1.91182821664523e-08	2.96333373580011e-08
FOXD2	-0.292108055221839	1.31044302842204e-11	2.25687410450462e-11
MAGED2	-0.517766650913873	9.92298391001228e-37	7.69031253025951e-36
MXD4	-0.500688281966706	4.28941024493304e-34	1.89959596561321e-33
NCOA7	-0.35362205253559	1.207483842031e-16	2.67371422164008e-16
NFATC4	-0.103779228591915	0.0183705251237654	0.0210920844013603
NR3C2	-0.527226128366358	2.95931776934395e-38	3.05796169498875e-37
PHC2	-0.120208803661061	0.00625858572833196	0.00776064630313163
WWC2	-0.107629959007868	0.0144425938685411	0.0172200157663375
XBP1	-0.332309915447637	9.06728465828964e-15	1.75678640254362e-14
ZBTB18	-0.440675426888281	6.30704239339856e-26	2.17242571328173e-25
ZNF117	-0.309154233495406	6.85526540921915e-13	1.25007780991643e-12
ZNF141	-0.145434877721798	0.000922133768466255	0.00119108945093558
ZNF19	-0.502600658515314	2.21108397512862e-34	1.14239338714978e-33
ZNF254	-0.249582726196542	9.09089569054284e-09	1.4832514021412e-08
ZNF281	-0.0222075119771677	0.614755918890909	0.614755918890909
ZNF33A	-0.223212685501324	3.00880150160058e-07	4.44156412141038e-07
ZNF33B	-0.168580761007857	0.000119230119718426	0.000160701465707444
ZNF341	-0.0328332086188874	0.456743978896784	0.471968778193343
ZNF444	-0.412164599627645	1.40090312467793e-22	4.34279968650157e-22
ZNF540	-0.546575723478138	1.57312866631257e-41	4.87669886556897e-40
ZNF678	-0.179240486572946	4.22359383064403e-05	5.95142767045295e-05
ZNF75D	-0.380458856387659	3.2296943635396e-19	8.34337710581062e-19
