system	TF	n	skewness	FDR	p_value
TCGA_LUAD	ABHD14B	516	-0.817723160264974	2.61173265963053e-13	
TCGA_LUAD	CREB3L2	516	-0.217350987810992	0.0754999241025625	
TCGA_LUAD	CREBRF	516	0.269789857940023	0.0255272530603117	
TCGA_LUAD	CRY2	516	0.0577294097204309	0.633255796140298	
TCGA_LUAD	CSRNP1	516	-0.226530199861337	0.0650316343455616	
TCGA_LUAD	E2F5	516	0.313658039157828	0.00865335726102568	
TCGA_LUAD	ELF3	516	-1.14459081016403	3.95499377960281e-25	
TCGA_LUAD	ETV1	516	-0.282920325115918	0.0192602107621007	
TCGA_LUAD	FOXA3	516	0.228646493120479	0.0650316343455616	
TCGA_LUAD	FOXD2	516	-0.752690908165703	1.82792494646882e-11	
TCGA_LUAD	MAGED2	516	-1.05126517854346	1.92443022686966e-21	
TCGA_LUAD	MXD4	516	-0.628539688288921	2.47180247259353e-08	
TCGA_LUAD	NCOA7	516	-0.691796316140882	7.25414367548161e-10	
TCGA_LUAD	NFATC4	516	-0.0411178203753015	0.726404924431111	
TCGA_LUAD	NR3C2	516	-0.367337880197302	0.00203946430516702	
TCGA_LUAD	PHC2	516	-1.36374166424746	3.61135784530841e-35	
TCGA_LUAD	WWC2	516	-0.111733618637171	0.332276300971985	
TCGA_LUAD	XBP1	516	-0.153958473119383	0.188371174613083	
TCGA_LUAD	ZBTB18	516	-0.340110140407231	0.00453785225315025	
TCGA_LUAD	ZNF117	516	0.141611434096611	0.217113185732707	
TCGA_LUAD	ZNF141	516	0.623419046871724	2.87150517652782e-08	
TCGA_LUAD	ZNF19	516	-0.3145091133777	0.00865335726102568	
TCGA_LUAD	ZNF254	516	0.170665369462159	0.148192866737566	
TCGA_LUAD	ZNF281	516	0.209786795853132	0.0843802194019954	
TCGA_LUAD	ZNF33A	516	-0.152245680077767	0.188371174613083	
TCGA_LUAD	ZNF33B	516	0.170083016114723	0.148192866737566	
TCGA_LUAD	ZNF341	516	-0.509995709120802	7.75231474103125e-06	
TCGA_LUAD	ZNF444	516	-0.190893580094494	0.108051159443543	
TCGA_LUAD	ZNF540	516	-0.0329347554646894	0.760042972954244	
TCGA_LUAD	ZNF678	516	0.191152996109014	0.108051159443543	
TCGA_LUAD	ZNF75D	516	0.194919647570203	0.108051159443543	
PDMR_PDX	ABHD14B	22	-0.656230918455514	0.927892867284421	0.208903391001663
PDMR_PDX	CREB3L2	22	-0.322039317444288	0.978990768276233	0.537460102201577
PDMR_PDX	CREBRF	22	0.105610569390562	0.978990768276233	0.839737824702373
PDMR_PDX	CRY2	22	0.0181745263479905	0.978990768276233	0.9722379699943
PDMR_PDX	CSRNP1	22	-0.606483073301646	0.927892867284421	0.245509077747794
PDMR_PDX	E2F5	22	-0.658991718980343	0.927892867284421	0.206994463336817
PDMR_PDX	ELF3	22	-0.715957265182482	0.927892867284421	0.170389362444893
PDMR_PDX	ETV1	22	0.384044497492272	0.955011796476306	0.462102482165955
PDMR_PDX	FOXA3	22	0.907075410848897	0.927892867284421	0.0824017915220835
PDMR_PDX	FOXD2	22	-0.661588092755563	0.927892867284421	0.205210808034456
PDMR_PDX	MAGED2	22	0.165678016273697	0.978990768276233	0.75105448399406
PDMR_PDX	MXD4	22	-0.593452934378164	0.927892867284421	0.255799297219332
PDMR_PDX	NCOA7	22	-0.0648680431972018	0.978990768276233	0.901146751397035
PDMR_PDX	NFATC4	22	0.187289835484353	0.978990768276233	0.719869857684853
PDMR_PDX	NR3C2	22	0.539453302635026	0.927892867284421	0.30161586469981
PDMR_PDX	PHC2	22	-0.0964363145554055	0.978990768276233	0.853494558292872
PDMR_PDX	WWC2	22	0.0424794589108183	0.978990768276233	0.935169996551163
