cohort	endpoint	model	TF	n	events	beta	HR	lower95	upper95	p_value	model_likelihood_p	FDR	log2_HR	log2_lower95	log2_upper95	direction	nominal_significant	FDR_significant
GSE41271_LUAD	OS	multivariable	CRY2	178	69	-0.633486033077203	0.530738400756172	0.30845742470708	0.913199772398781	0.0221433626800142	0.000211173535874615	0.368175712289413	-0.913927158392902	-1.6968567218912	-0.130997594894602	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	CSRNP1	178	69	-0.581108702715697	0.559277949718351	0.337960791195231	0.925526964044982	0.0237532717606073	0.000230787694984425	0.368175712289413	-0.838362643625356	-1.56507221414727	-0.111653073103444	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	ETV1	178	69	-0.534528554402949	0.585945466448897	0.351949621549223	0.975514870965695	0.0398517782809812	0.000338405675619978	0.411801708903473	-0.77116169465068	-1.50655916018006	-0.0357642291212983	Favorable	TRUE	FALSE
GSE41271_LUAD	RFS	multivariable	ABHD14B	177	69	-0.54351571899479	0.580703070522863	0.349060956187762	0.966066385073704	0.0363581176524605	7.1683567065346e-05	0.319001048156569	-0.784127432438983	-1.51844909996875	-0.0498057649092121	Favorable	TRUE	FALSE
GSE41271_LUAD	RFS	multivariable	ETV1	177	69	-0.585180309343142	0.557005419475788	0.333900900734225	0.929182990052346	0.025007881483475	5.49183883883585e-05	0.319001048156569	-0.844236730315221	-1.58250810965331	-0.105965350977131	Favorable	TRUE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF141	177	69	-0.536469621653658	0.584809210025098	0.349443958508675	0.978702890127911	0.0411614255685895	7.80079945319333e-05	0.319001048156569	-0.773962062747311	-1.51686699054395	-0.0310571349506724	Favorable	TRUE	FALSE
GSE41271_LUAD	RFS	multivariable	ZNF540	177	69	-0.742713304969609	0.475821114637648	0.271630959053259	0.833504891799252	0.00941301779161423	2.48890826689848e-05	0.291803551540041	-1.07150880188191	-1.88028017521929	-0.262737428544522	Favorable	TRUE	FALSE
TCGA_LUAD	OS	multivariable	CREBRF	467	165	-0.382126228095458	0.682408908591714	0.48871258045047	0.952874833089201	0.024874032955252	8.27914448924925e-09	0.0963868777016014	-0.551291614266923	-1.03294185193589	-0.0696413765979555	Favorable	TRUE	FALSE
TCGA_LUAD	OS	multivariable	CRY2	467	165	-0.477104875613882	0.620577442440248	0.449021230910213	0.857679627497811	0.00385387648964209	1.74185525540937e-09	0.059155511688213	-0.688316838032092	-1.15514443387475	-0.221489242189433	Favorable	TRUE	FALSE
TCGA_LUAD	OS	multivariable	E2F5	467	165	-0.332508035875193	0.717122906130659	0.524840268818987	0.979851000485347	0.036818723300147	1.14668243871217e-08	0.121931034609932	-0.479707694412871	-0.930049678672449	-0.0293657101532931	Favorable	TRUE	FALSE
TCGA_LUAD	OS	multivariable	MXD4	467	165	-0.396243830832475	0.672842616159123	0.491442922579084	0.921199930490402	0.0134352141631694	4.97353918837973e-09	0.0594988055797501	-0.571659009724856	-1.02490422683384	-0.11841379261587	Favorable	TRUE	FALSE
TCGA_LUAD	OS	multivariable	NCOA7	467	165	-0.409633695248547	0.663893392905704	0.48395225703907	0.91073950112452	0.0110969258452718	4.19201335362604e-09	0.0594988055797501	-0.5909765007161	-1.04706336542545	-0.134889636006754	Favorable	TRUE	FALSE
TCGA_LUAD	OS	multivariable	NR3C2	467	165	-0.344756708325188	0.70839267854551	0.510348353549673	0.983289518867898	0.0393325918096555	1.19109135959889e-08	0.121931034609932	-0.497378793413951	-0.970445756865673	-0.0243118299622285	Favorable	TRUE	FALSE
TCGA_LUAD	OS	multivariable	ZBTB18	467	165	-0.440296501669283	0.643845491516078	0.465911147182176	0.889734060781102	0.007632969250092	3.15798966774975e-09	0.059155511688213	-0.635213579479034	-1.10187324675037	-0.168553912207693	Favorable	TRUE	FALSE
TCGA_LUAD	OS	multivariable	ZNF254	467	165	-0.439829521440791	0.644146224843613	0.468998020381541	0.884703860034906	0.00659569434136507	2.83035665876038e-09	0.059155511688213	-0.634539869419196	-1.09234626168138	-0.176733477157008	Favorable	TRUE	FALSE
TCGA_LUAD	OS	multivariable	ZNF540	467	165	-0.417476344206396	0.658707073902318	0.476238142012693	0.911088321013542	0.0116484927318681	4.46593968591337e-09	0.0594988055797501	-0.602291051475022	-1.07024492390337	-0.134337179046672	Favorable	TRUE	FALSE
TCGA_LUAD	OS	multivariable	ZNF75D	467	165	-0.577317771336412	0.561402157867401	0.40590607645887	0.776466284042215	0.000484917758509776	2.74787657158984e-10	0.0150324505138031	-0.832893485724109	-1.30078215738573	-0.365004814062488	Favorable	TRUE	TRUE
TCGA_LUAD	RFS	multivariable	CREBRF	277	80	-0.53723493267455	0.584361820309523	0.364193563415489	0.937629797278662	0.0259532246071793	0.0460792404895787	0.426193475281332	-0.77506617316189	-1.457222669856	-0.0929096764677753	Favorable	TRUE	FALSE
TCGA_LUAD	RFS	multivariable	ELF3	277	80	0.510254746763974	1.66571547652876	1.05821072180307	2.62198066186649	0.0274963532439569	0.0466600329669484	0.426193475281332	0.736141992746439	0.0816269403345072	1.39065704515837	Adverse	TRUE	FALSE
