cohort	endpoint	model	TF	n	events	beta	HR	lower95	upper95	p_value	model_likelihood_p	FDR	log2_HR	direction	nominal_significant	FDR_significant
GSE41271_LUAD	OS	univariable	ABHD14B	178	69	-0.190526900688434	0.826523523378212	0.510987273066082	1.33690440194034	0.437429673229561	0.436538765008282	0.598587973893083	-0.274872214779148	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ABHD14B	178	69	0.111153302779515	1.11756621973053	0.661177679390151	1.88898429940161	0.678101749197262	0.00183401073268548	0.801392976324037	0.160360318698436	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	CREB3L2	178	69	-0.408309948549818	0.664772801521582	0.411962320844871	1.07272644919695	0.0944426234501172	0.0920107700561098	0.279936605576074	-0.58906673791845	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	CREB3L2	178	69	-0.499395209545772	0.606897594614003	0.359915893909344	1.02336322619038	0.0610225635249401	0.000465062344291648	0.364337987137079	-0.72047499225539	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	CRY2	178	69	-0.620052355838005	0.53791627380012	0.328739744121915	0.880191466936523	0.0135911244191512	0.0121410432839253	0.155993299452001	-0.894546458859009	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	CRY2	178	69	-0.348704265977327	0.705601769867328	0.399301576844758	1.24686173687081	0.229970931954962	0.00108510150801618	0.505368563060463	-0.503073915262316	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	E2F5	178	69	-0.487496772829857	0.614161858225351	0.378892790675111	0.995518514423913	0.0479072693061286	0.046032244515274	0.249117800391869	-0.703309176611008	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	E2F5	178	69	-0.437452840248592	0.645678975769881	0.395923102931907	1.05298563449313	0.0795913697501621	0.000554232593909248	0.364337987137079	-0.631111043249435	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ELF3	178	69	-0.0289664331951042	0.971449072360809	0.60283586558728	1.56545646014494	0.905286905932842	0.905272968568969	0.905286905932842	-0.0417897295228182	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ELF3	178	69	0.185697202044869	1.20405761898919	0.728408662873701	1.99030410226917	0.468962529615892	0.00159308553835307	0.647477481821586	0.267904432497088	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ETV1	178	69	-0.403591918280602	0.667916630229063	0.41474376970994	1.07563430126641	0.0969011326994102	0.0951039881767724	0.279936605576074	-0.582260059046288	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ETV1	178	69	-0.419645978632564	0.657279469607746	0.401223644623682	1.07674686414117	0.0956450182320577	0.000631263997863984	0.364337987137079	-0.605421172302196	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	FOXA3	178	69	-0.0787109494942786	0.924307057258132	0.575319936726263	1.48498858036912	0.744890136902563	0.744690603914217	0.827884630192184	-0.113555896499057	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	FOXA3	178	69	0.1375218879529	1.14742682052142	0.68478115185274	1.92264098521074	0.601544754412657	0.00176220411258454	0.74476969593948	0.198402145763336	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	FOXD2	178	69	-0.266435042113947	0.766105766721026	0.474215397951609	1.23766129977733	0.27628732630053	0.274337910618954	0.478898032254252	-0.384384513976834	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	FOXD2	178	69	-0.14451879105213	0.865438649747528	0.514091017385009	1.45690944044623	0.586551464864141	0.00174410834281783	0.74476969593948	-0.208496543166176	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	MAGED2	178	69	0.163123885984137	1.17718251706993	0.731633849300378	1.89406036888565	0.501430542752997	0.501199920412255	0.651859705578896	0.235338021359851	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	MAGED2	178	69	-0.0341020524549806	0.966472868675651	0.58737492808161	1.59024459715509	0.893230847981639	0.00195038534907291	0.922427999750403	-0.0491988619609358	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	MXD4	178	69	-0.586699575151877	0.556159822692487	0.34205314865947	0.904285633941862	0.0179992268598463	0.0164526302134505	0.155993299452001	-0.846428567563275	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	MXD4	178	69	-0.311519919614894	0.732333022568293	0.420001744899802	1.27692720912852	0.272121533955634	0.00119751096826661	0.505368563060463	-0.449428243166536	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	NCOA7	178	69	-0.423092521411716	0.655018027115605	0.405993181421275	1.05678773802169	0.0829818535343013	0.0806687430942347	0.279936605576074	-0.610393482477891	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	NCOA7	178	69	-0.369464962873074	0.691103998033161	0.418677206564751	1.14079469483503	0.148503650555139	0.000839609260997659	0.482636864304203	-0.533025269719208	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	NFATC4	178	69	-0.343149708196231	0.709531980855581	0.438050728020511	1.14926331507723	0.163145165028654	0.160581912866934	0.353481190895417	-0.495060382297197	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	NFATC4	178	69	-0.306451738167758	0.736054040638794	0.441176060978859	1.22802572183684	0.240621016073856	0.00111982650555558	0.505368563060463	-0.442116402926427	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	NR3C2	178	69	-0.377862534808939	0.685324702482152	0.425202120807409	1.1045804450373	0.120770672002363	0.118855371438882	0.285457952005584	-0.54514040510659	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	NR3C2	178	69	-0.244130941197532	0.783385050170169	0.47311740534206	1.29712441330799	0.342695850911079	0.00136434763627349	0.543895978577562	-0.352206498193234	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	PHC2	178	69	-0.305684646466439	0.736618878198495	0.457752610603786	1.18537253343612	0.207899744085436	0.207055175553314	0.415799488170873	-0.441009723533028	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	PHC2	178	69	-0.595889623046751	0.55107210129415	0.334748979428961	0.907188608439644	0.0191322117257114	0.00020492470521615	0.248718752434249	-0.859687004086741	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	univariable	WWC2	178	69	-0.715123394976642	0.489131751671268	0.299146295809187	0.799775473889238	0.00436428236983526	0.00354715373193868	0.113471341615717	-1.03170497555648	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	WWC2	178	69	-0.649787024049865	0.52215697179685	0.316927704718542	0.86028421982922	0.0107501564009871	0.000121307560371918	0.248718752434249	-0.937444517230738	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	univariable	XBP1	178	69	-0.236212711713204	0.789612696198644	0.488715819149631	1.27576842321774	0.334546207859334	0.333972533066844	0.511658906137805	-0.340782907783574	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	XBP1	178	69	-0.41563505734011	0.659921059891468	0.404359370533294	1.07700188748914	0.0962857159895728	0.000639923102258749	0.364337987137079	-0.599634636044176	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF117	178	69	0.438955954892802	1.55108696809138	0.960520466261075	2.50475743837922	0.0726173554321496	0.0704287769258453	0.279936605576074	0.633279579292525	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF117	178	69	0.296001364783882	1.34447199174451	0.802982581851449	2.25111350786416	0.26034210958821	0.00117655027756961	0.505368563060463	0.427039701070072	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF141	178	69	-0.122228968095486	0.884945720967264	0.551412332038953	1.42022382082479	0.612553361480016	0.61256165774302	0.758399399927639	-0.176339126124333	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF141	178	69	-0.227044781574587	0.796885095721744	0.492242289764693	1.29006765364881	0.355624293685329	0.00139509878353956	0.543895978577562	-0.327556380437375	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF19	178	69	-0.209571083410511	0.810931993572489	0.502566757834775	1.30850416973987	0.390619261393462	0.388408439026879	0.564227822012778	-0.302347162750072	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF19	178	69	-0.239867026445089	0.786732468724503	0.477585028358665	1.29599535285374	0.346259146233417	0.00136906353354436	0.543895978577562	-0.346054969525112	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF254	178	69	-0.101188784764265	0.903762400208271	0.561910196647963	1.45358899144863	0.67643557956547	0.676445460830866	0.799423866759191	-0.145984557972987	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF254	178	69	0.0244447282055327	1.02474594999436	0.626519766804034	1.67609119084393	0.922427999750403	0.00195703945972718	0.922427999750403	0.0352662881580007	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF281	178	69	0.390321282564174	1.47745539829632	0.917630742327304	2.3788157406526	0.108224291084953	0.107634248890422	0.281383156820879	0.563114578708753	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF281	178	69	0.313656067420232	1.36841901172231	0.850729129346971	2.20113609261324	0.195888127476561	0.000999050191054729	0.505368563060463	0.452510053011902	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF33A	178	69	-0.495039045397065	0.609547106822847	0.375782864191777	0.988729691640456	0.0448679440979238	0.0421369581787963	0.249117800391869	-0.714190375840753	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF33A	178	69	-0.416432970145472	0.659394710445659	0.40258627051631	1.08002039812756	0.0980909965369058	0.000633846260316371	0.364337987137079	-0.600785780891534	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF341	178	69	-0.0581398059118561	0.94351802881714	0.583714698875358	1.52510511114108	0.812424513151576	0.812392594033194	0.844921493677639	-0.0838780096672817	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF341	178	69	0.0492021082946042	1.0504326304351	0.632443999009657	1.74467417322422	0.849255266853602	0.00193633427136478	0.920026539091402	0.0709836376379074	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF444	178	69	0.241761796585966	1.27349080682591	0.790083167604816	2.05266850575571	0.320906806422974	0.319986332724205	0.511658906137805	0.348788545010979	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF444	178	69	0.336903269400062	1.40060357596156	0.848300240268231	2.31249536882839	0.187876748879851	0.000976673367844951	0.505368563060463	0.486048676022748	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF540	178	69	-0.283705346440494	0.752988482758617	0.466725654963846	1.21482855964077	0.245016425542171	0.243706386050333	0.455030504578317	-0.409300296383386	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF540	178	69	-0.178982275893061	0.836120718758738	0.512732498555143	1.36347483006764	0.473156621331159	0.00159749007906552	0.647477481821586	-0.258216841837939	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF678	178	69	0.0726887896680662	1.07539581054509	0.6688118666458	1.72915016466118	0.764201197100478	0.764348097262471	0.827884630192184	0.10486775638234	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF678	178	69	0.0835730591839539	1.0871646397529	0.664552217163468	1.77853135299724	0.739298948895767	0.00187952760908071	0.835729246577824	0.12057043803661	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ABHD14B	177	69	-0.0372389799317424	0.963445863608264	0.599534221313282	1.54824845539357	0.877717579158358	0.87771440278892	0.973997426930399	-0.0537244916752884	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ABHD14B	177	69	0.150990510472593	1.16298562184552	0.670996836219708	2.0157107807533	0.590519323633425	0.000412977329432286	0.774157686031748	0.217833260680104	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	CREB3L2	177	69	-0.227099323248994	0.796841633459577	0.496288830164956	1.279409388689	0.347197533283536	0.34639313220493	0.870304615804449	-0.327635067440563	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	CREB3L2	177	69	-0.350172344782661	0.704566650868024	0.418975876445172	1.18482756030548	0.186687753741202	0.00022604280573094	0.630457525566031	-0.505191905274405	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	CRY2	177	69	-0.133873357895773	0.874700831543182	0.544167730936661	1.4060031516117	0.580379308865888	0.580670999518186	0.887638942971358	-0.193138429543386	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	CRY2	177	69	0.0567629489813658	1.05840488469953	0.599731406550204	1.86787099645091	0.844722859942668	0.000458095821362917	0.915116431604557	0.0818916250016497	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	E2F5	177	69	-0.451404234974658	0.636733400238061	0.395185577372444	1.02592160795541	0.0636233983611458	0.0621361554480535	0.763393305907853	-0.651238651234216	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	E2F5	177	69	-0.437810883691732	0.645447836027737	0.394456792153882	1.05614332753172	0.0814117793941208	0.000129341136162851	0.630457525566031	-0.631627590749277	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ELF3	177	69	0.105392672391878	1.11114684139009	0.691358113503807	1.78582890547705	0.663313571334676	0.663129264893768	0.958119603038976	0.152049485805798	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ELF3	177	69	0.139810926774725	1.15005633343922	0.686351942995474	1.9270428000994	0.595505912332114	0.000414235912430769	0.774157686031748	0.201704530719985	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	ETV1	177	69	-0.136599648659021	0.872319390470977	0.543988887603712	1.39881739559723	0.570746136345438	0.570768484529733	0.887638942971358	-0.197071635707545	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	ETV1	177	69	-0.221866912117397	0.801021963558018	0.490861890724865	1.30716235712417	0.374568365937301	0.000336077500403577	0.695626965312131	-0.320086293849115	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	FOXA3	177	69	0.187291932091697	1.20597929772445	0.751156306107624	1.93619630789812	0.438121871573779	0.437819040205816	0.870304615804449	0.270205141627204	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	FOXA3	177	69	0.341588565175851	1.40718121503917	0.840415724413514	2.3561660193126	0.193986930943394	0.000231580693428426	0.630457525566031	0.492808129003577	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	FOXD2	177	69	0.0308768729946949	1.03135850798389	0.642438342708344	1.65572367226165	0.898270495413447	0.898264281576144	0.973997426930399	0.0445459115476046	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	FOXD2	177	69	0.0260498543759415	1.02639211733642	0.612164730717713	1.72091060733802	0.921302339892142	0.000463519874212822	0.958154433487828	0.0375819957240505	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	MAGED2	177	69	0.0729523369625351	1.0756792655517	0.670265584186616	1.72630955495352	0.762446100112657	0.762431918587276	0.973997426930399	0.10524797475711	Adverse	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	MAGED2	177	69	-0.103537434878778	0.90164226924103	0.54681054541519	1.48672842632331	0.684914842201664	0.000434846313718527	0.847989804630632	-0.149372943845977	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	MXD4	177	69	-0.174816178082469	0.839611345552154	0.523301013200794	1.34711608385403	0.468625562356241	0.468721782932086	0.870304615804449	-0.25220643318674	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	multivariable	MXD4	177	69	-0.0597330479910825	0.942015973078062	0.538501738691006	1.6478945744749	0.834175710145595	0.000457043950130788	0.915116431604557	-0.0861765721139172	Favorable	FALSE	FALSE
GSE41271_LUAD	RFS	univariable	NCOA7	177	69	-0.378137095031691	0.685136565407841	0.425435350060937	1.10336885073518	0.119861363520308	0.117917621842934	0.763393305907853	-0.54553651177838	Favorable	FALSE	FALSE
